source_term,canonical_term,wordpress_post_id,final_disposition,publication_eligible,launch_selected,pre_launch_status,post_launch_status,canonical_target,public_url,sitemap_present,related_links_ready,seo_ready,launch_result,launch_notes
АГС,АГС,2444,APPROVED,YES,YES,draft,publish,АГС,https://i-seo.su/glossary/ags/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Акцептор,Акцептор ссылки,2445,APPROVED_RENAME,YES,YES,draft,publish,Акцептор ссылки,https://i-seo.su/glossary/akczeptor-ssylki/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Алгоритм ранжирования,Алгоритм ранжирования,2446,APPROVED,YES,YES,draft,publish,Алгоритм ранжирования,https://i-seo.su/glossary/algoritm-ranzhirovaniya/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Алгоритмы поисковых систем,Алгоритм ранжирования,2447,MERGED,NO,NO,draft,draft,Алгоритм ранжирования,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Алгоритм ранжирования
Анкор (анкорный текст),Анкорный текст,2448,APPROVED_RENAME,YES,YES,draft,publish,Анкорный текст,https://i-seo.su/glossary/ankornyj-tekst/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Апдейт алгоритма,Апдейт алгоритма,2449,APPROVED,YES,YES,draft,publish,Апдейт алгоритма,https://i-seo.su/glossary/apdejt-algoritma/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Асессор,Асессор,2450,APPROVED,YES,YES,draft,publish,Асессор,https://i-seo.su/glossary/asessor/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
"Атрибут rel=""nofollow""",Nofollow,2451,APPROVED_RENAME,YES,YES,draft,publish,Nofollow,https://i-seo.su/glossary/nofollow/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Аудит сайта (SEO-аудит),SEO-аудит,2452,APPROVED_RENAME,YES,YES,draft,publish,SEO-аудит,https://i-seo.su/glossary/seo-audit/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Аутрич,Аутрич,2453,APPROVED,YES,YES,draft,publish,Аутрич,https://i-seo.su/glossary/autrich/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Аффилированность,Аффилированность,2454,APPROVED,YES,YES,draft,publish,Аффилированность,https://i-seo.su/glossary/affilirovannost/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Баден-Баден (алгоритм),Баден-Баден,2455,APPROVED_RENAME,YES,YES,draft,publish,Баден-Баден,https://i-seo.su/glossary/baden-baden/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Бан сайта,Бан сайта,2456,APPROVED,YES,YES,draft,publish,Бан сайта,https://i-seo.su/glossary/ban-sajta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Безанкорная ссылка,Безанкорная ссылка,2457,APPROVED,YES,YES,draft,publish,Безанкорная ссылка,https://i-seo.su/glossary/bezankornaya-ssylka/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Белая оптимизация,Белая оптимизация,2458,APPROVED,YES,YES,draft,publish,Белая оптимизация,https://i-seo.su/glossary/belaya-optimizacziya/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Биржа ссылок,Биржа ссылок,2459,APPROVED,YES,YES,draft,publish,Биржа ссылок,https://i-seo.su/glossary/birzha-ssylok/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Битые ссылки,Битые ссылки,2460,APPROVED,YES,YES,draft,publish,Битые ссылки,https://i-seo.su/glossary/bitye-ssylki/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Брендовый трафик,Брендовый трафик,2461,APPROVED,YES,YES,draft,publish,Брендовый трафик,https://i-seo.su/glossary/brendovyj-trafik/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Быстрые ссылки (сайтлинки),Быстрые ссылки,2462,APPROVED_RENAME,YES,YES,draft,publish,Быстрые ссылки,https://i-seo.su/glossary/bystrye-ssylki/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Веб-мастер,Веб-мастер,2463,APPROVED,YES,YES,draft,publish,Веб-мастер,https://i-seo.su/glossary/veb-master/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Веб-страница,Веб-страница,2464,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
Вертикальный поиск,Вертикальный поиск,2465,APPROVED,YES,YES,draft,publish,Вертикальный поиск,https://i-seo.su/glossary/vertikalnyj-poisk/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Видимость сайта,Видимость сайта,2466,APPROVED,YES,YES,draft,publish,Видимость сайта,https://i-seo.su/glossary/vidimost-sajta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Визит / Сессия,Сессия,2467,APPROVED_RENAME,YES,YES,draft,publish,Сессия,https://i-seo.su/glossary/sessiya/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Внешняя оптимизация,Внешняя оптимизация,2468,APPROVED,YES,YES,draft,publish,Внешняя оптимизация,https://i-seo.su/glossary/vneshnyaya-optimizacziya/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Внутренняя оптимизация,Внутренняя оптимизация,2469,APPROVED,YES,YES,draft,publish,Внутренняя оптимизация,https://i-seo.su/glossary/vnutrennyaya-optimizacziya/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Внутренняя перелинковка,Внутренняя перелинковка,2470,APPROVED,YES,YES,draft,publish,Внутренняя перелинковка,https://i-seo.su/glossary/vnutrennyaya-perelinkovka/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Вода в тексте,Вода в тексте,2471,APPROVED,YES,YES,draft,publish,Вода в тексте,https://i-seo.su/glossary/voda-v-tekste/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Воронка продаж,Воронка продаж,2472,APPROVED,YES,YES,draft,publish,Воронка продаж,https://i-seo.su/glossary/voronka-prodazh/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
ВЧ / СЧ / НЧ запросы,Частотность запроса,2473,MERGED,NO,NO,draft,draft,Частотность запроса,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Частотность запроса
Геозависимый запрос,Геозависимый запрос,2474,APPROVED,YES,YES,draft,publish,Геозависимый запрос,https://i-seo.su/glossary/geozavisimyj-zapros/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Геонезависимый запрос,Геонезависимый запрос,2475,APPROVED,YES,YES,draft,publish,Геонезависимый запрос,https://i-seo.su/glossary/geonezavisimyj-zapros/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Главная страница сайта,Главная страница сайта,2476,APPROVED,YES,YES,draft,publish,Главная страница сайта,https://i-seo.su/glossary/glavnaya-stranicza-sajta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Главное зеркало сайта,Главное зеркало сайта,2477,APPROVED,YES,YES,draft,publish,Главное зеркало сайта,https://i-seo.su/glossary/glavnoe-zerkalo-sajta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
