form_id,page_url,page_family,dynamic,trigger,dom_id,source_authority,js_handler,php_handler,endpoint,field_contract,site_required_html,site_required_js,site_required_server,consent,honeypot,browser_test,server_test,mail_test,status,defect_id
FS-001,https://i-seo.su/,homepage,0,visible-on-load,calculator__FORM,UA-001,common.js#ISEO_FORM_SECURITY_V1+family-handler,calc__FORM.php,,"calc_contact,calc_name,calc_phone,calc_site,personal_data_consent,radio_st_01,radio_st_02,radio_st_03,radio_st_04,radio_st_05",0,HTML-required-only (checkEmptyFields),present-not-must-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-002,https://i-seo.su/,homepage,0,visible-on-load,page__FORM,UA-002,page__FORM_send,page__FORM.php,,"personal_data_consent,pf_comment,pf_contact,pf_name,pf_phone,pf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-003,https://i-seo.su/,homepage,1,modal/popup,callback__FORM,UA-003,callback__FORM_send,callback__FORM.php,,"cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-004,https://i-seo.su/,homepage,1,modal/popup,audit__FORM,UA-004,audit__FORM_send,audit__FORM.php,,"af_comment,af_contact,af_name,af_phone,af_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-005,https://i-seo.su/about.html,about,1,modal/popup,callback__FORM_info,UA-005,callback__FORM_send_info,callback__FORM.php,#,"cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-006,https://i-seo.su/about.html,about,1,modal/popup,audit__FORM_info,UA-006,audit__FORM_send_info,audit__FORM.php,#,"af_coast,af_comment,af_contact,af_email,af_name,af_phone,af_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-007,https://i-seo.su/blog,blog,1,modal/popup,page__FORM_info,UA-007,page__FORM_send_info,page__FORM.php,#,"personal_data_consent,pf_comment,pf_contact,pf_name,pf_phone,pf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-008,https://i-seo.su/blog,blog,1,modal/popup,callback__FORM_info,UA-008,callback__FORM_send_info,callback__FORM.php,#,"cf_name,cf_phone,cf_site,personal_data_consent,сf_contact",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-009,https://i-seo.su/blog,blog,1,modal/popup,audit__FORM_seo,UA-009,audit__FORM_send_seo,audit__FORM.php,#,"af_comment,af_name,af_phone,af_site,cf_agree3,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-010,https://i-seo.su/blog,blog,1,modal/popup,tariff_1__FORM_seo,UA-010,tariff_1__FORM_send_seo,tariff_1__FORM.php,#,"cf_agree4,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-011,https://i-seo.su/blog,blog,1,modal/popup,tariff_2__FORM_seo,UA-011,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_2__FORM.php,#,"cf_agree5,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-012,https://i-seo.su/blog,blog,1,modal/popup,tariff_3__FORM_seo,UA-012,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_3__FORM.php,#,"cf_agree6,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-013,https://i-seo.su/blog,blog,1,modal/popup,tariff_4__FORM_seo,UA-013,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_4__FORM.php,#,"cf_agree7,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-014,https://i-seo.su/blog.html,blog,1,modal/popup,page__FORM_info,UA-014,page__FORM_send_info,page__FORM.php,#,"pf_comment,pf_contact,pf_name,pf_phone,pf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,FIXED,DEF-CONSENT-BLOG
FS-015,https://i-seo.su/blog.html,blog,1,modal/popup,callback__FORM_info,UA-015,callback__FORM_send_info,callback__FORM.php,#,"cf_contact,cf_name,cf_phone,cf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,FIXED,DEF-CONSENT-BLOG
FS-016,https://i-seo.su/blog,blog,1,modal/popup,page__FORM_info,UA-007,page__FORM_send_info,page__FORM.php,#,"personal_data_consent,pf_comment,pf_contact,pf_name,pf_phone,pf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
