slot_id,campaign_id,campaign_name,service,mode,group_id,group_name,phrase,normalized_phrase,source_decision,source_geo,expected_xlsx,authority_source_file,authority_source_row_or_key,status,filename,xlsx_row,bid,landing_url
EXP-000001,CA-01-LOCAL,Корво Неро — Программист 1С — Новосибирск и область — поиск,CA-01,LOCAL,ca-01-find-hire-specialist,Программист 1С — поиск специалиста,где найти программиста 1с,где найти программиста 1с,DEPLOYABLE_GROUP_PLAN,LOCAL,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,CORVONERO-CAMPAIGN-V2.6-FINAL-GROUP-PLAN-v1.json,CA-01-LOCAL::ca-01-find-hire-specialist::где найти программиста 1с,expected_and_present,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,17,500,
EXP-000002,CA-01-LOCAL,Корво Неро — Программист 1С — Новосибирск и область — поиск,CA-01,LOCAL,ca-01-find-hire-specialist,Программист 1С — поиск специалиста,ищу 1с программиста для разовой задачи,ищу 1с программиста для разовой задачи,DEPLOYABLE_GROUP_PLAN,LOCAL,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,CORVONERO-CAMPAIGN-V2.6-FINAL-GROUP-PLAN-v1.json,CA-01-LOCAL::ca-01-find-hire-specialist::ищу 1с программиста для разовой задачи,expected_and_present,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,18,490,
EXP-000003,CA-01-LOCAL,Корво Неро — Программист 1С — Новосибирск и область — поиск,CA-01,LOCAL,ca-01-find-hire-specialist,Программист 1С — поиск специалиста,ищу программист 1с,ищу программист 1с,DEPLOYABLE_GROUP_PLAN,LOCAL,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,CORVONERO-CAMPAIGN-V2.6-FINAL-GROUP-PLAN-v1.json,CA-01-LOCAL::ca-01-find-hire-specialist::ищу программист 1с,expected_and_present,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,19,480,
EXP-000004,CA-01-LOCAL,Корво Неро — Программист 1С — Новосибирск и область — поиск,CA-01,LOCAL,ca-01-find-hire-specialist,Программист 1С — поиск специалиста,найти программиста 1с,найти программиста 1с,DEPLOYABLE_GROUP_PLAN,LOCAL,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,CORVONERO-CAMPAIGN-V2.6-FINAL-GROUP-PLAN-v1.json,CA-01-LOCAL::ca-01-find-hire-specialist::найти программиста 1с,expected_and_present,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,20,470,
EXP-000005,CA-01-LOCAL,Корво Неро — Программист 1С — Новосибирск и область — поиск,CA-01,LOCAL,ca-01-find-hire-specialist,Программист 1С — поиск специалиста,нужен программист 1с,нужен программист 1с,DEPLOYABLE_GROUP_PLAN,LOCAL,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,CORVONERO-CAMPAIGN-V2.6-FINAL-GROUP-PLAN-v1.json,CA-01-LOCAL::ca-01-find-hire-specialist::нужен программист 1с,expected_and_present,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,21,460,
EXP-000006,CA-01-LOCAL,Корво Неро — Программист 1С — Новосибирск и область — поиск,CA-01,LOCAL,ca-01-find-hire-specialist,Программист 1С — поиск специалиста,нужен программист 1с для доработок,нужен программист 1с для доработок,DEPLOYABLE_GROUP_PLAN,LOCAL,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,CORVONERO-CAMPAIGN-V2.6-FINAL-GROUP-PLAN-v1.json,CA-01-LOCAL::ca-01-find-hire-specialist::нужен программист 1с для доработок,expected_and_present,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,22,450,
EXP-000007,CA-01-LOCAL,Корво Неро — Программист 1С — Новосибирск и область — поиск,CA-01,LOCAL,ca-01-find-hire-specialist,Программист 1С — поиск специалиста,программист 1с зуп,программист 1с зуп,DEPLOYABLE_GROUP_PLAN,LOCAL,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,CORVONERO-CAMPAIGN-V2.6-FINAL-GROUP-PLAN-v1.json,CA-01-LOCAL::ca-01-find-hire-specialist::программист 1с зуп,expected_and_present,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,23,440,
EXP-000008,CA-01-LOCAL,Корво Неро — Программист 1С — Новосибирск и область — поиск,CA-01,LOCAL,ca-01-find-hire-specialist,Программист 1С — поиск специалиста,программист 1с найти специалиста,программист 1с найти специалиста,DEPLOYABLE_GROUP_PLAN,LOCAL,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,CORVONERO-CAMPAIGN-V2.6-FINAL-GROUP-PLAN-v1.json,CA-01-LOCAL::ca-01-find-hire-specialist::программист 1с найти специалиста,expected_and_present,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,24,430,
EXP-000009,CA-01-LOCAL,Корво Неро — Программист 1С — Новосибирск и область — поиск,CA-01,LOCAL,ca-01-find-hire-specialist,Программист 1С — поиск специалиста,программист 1с унф,программист 1с унф,DEPLOYABLE_GROUP_PLAN,LOCAL,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,CORVONERO-CAMPAIGN-V2.6-FINAL-GROUP-PLAN-v1.json,CA-01-LOCAL::ca-01-find-hire-specialist::программист 1с унф,expected_and_present,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,25,420,
EXP-000010,CA-01-LOCAL,Корво Неро — Программист 1С — Новосибирск и область — поиск,CA-01,LOCAL,ca-01-find-hire-specialist,Программист 1С — поиск специалиста,программист 1с ут,программист 1с ут,DEPLOYABLE_GROUP_PLAN,LOCAL,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,CORVONERO-CAMPAIGN-V2.6-FINAL-GROUP-PLAN-v1.json,CA-01-LOCAL::ca-01-find-hire-specialist::программист 1с ут,expected_and_present,CORVONERO-CA-01-LOCAL-PROGRAMMIST-1S-COMMANDER-IMPORT-v2.6.1.xlsx,26,410,
