"phase","app","question","answer","note","utc"
"VEESP_BASELINE","Cursor","works","Y","","2026-08-29T10:41:09.4031450Z"
"VEESP_BASELINE","ChatGPT","prompt_works","Y","","2026-08-29T10:41:09.4041422Z"
"VEESP_BASELINE","YouTube","playback_works","Y","","2026-08-29T10:41:09.4051634Z"
"EQVPS","Cursor","complete_usable_response","N","Я сам остановил курсор","2026-08-29T10:43:44.6178382Z"
"EQVPS","Cursor","reconnecting","Y","","2026-08-29T10:43:44.6188341Z"
"EQVPS","Cursor","stuck_thinking","Y","","2026-08-29T10:43:44.6198304Z"
"EQVPS","Cursor","taking_longer","Y","","2026-08-29T10:43:44.6198304Z"
"EQVPS","Cursor","agent_stopped_retry","N","","2026-08-29T10:43:44.6208272Z"
"EQVPS","ChatGPT","homepage_ui","N","","2026-08-29T10:45:37.3205510Z"
"EQVPS","ChatGPT","prompt_submitted","N","","2026-08-29T10:45:37.3225468Z"
"EQVPS","ChatGPT","complete_response","N","","2026-08-29T10:45:37.3235439Z"
"EQVPS","YouTube","homepage","N","","2026-08-29T10:46:45.6569130Z"
"EQVPS","YouTube","video_page","N","","2026-08-29T10:46:45.6579402Z"
"EQVPS","YouTube","playback_starts","N","","2026-08-29T10:46:45.6584720Z"
"EQVPS","YouTube","playback_usable","N","","2026-08-29T10:46:45.6589880Z"
"EQVPS","Facebook","usable","N","","2026-08-29T10:47:01.4023007Z"
"VEESP_RECOVERY","Cursor","works_again","Y","","2026-08-29T10:50:30.7271420Z"
"VEESP_RECOVERY","ChatGPT","prompt_works","Y","","2026-08-29T10:50:30.7276682Z"
"VEESP_RECOVERY","YouTube","playback_works","Y","","2026-08-29T10:50:30.7286650Z"
"FINAL","Network","veesp_restored_internet_ok","Y","","2026-08-29T10:50:42.0692198Z"
