"utc","local","code","phase","detail"
"2026-08-29T10:39:12.0636935Z","2026-08-29T17:39:12.0686794+07:00","SESSION_START","PHASE0","X:\AI MARS\projects\mars-server-ops\evidence\EXP-A01b\2026-08-29_173912_live"
"2026-08-29T10:39:13.9174636Z","2026-08-29T17:39:13.9174636+07:00","PHASE0_DONE","PHASE0",""
"2026-08-29T10:39:34.7511028Z","2026-08-29T17:39:34.7511028+07:00","VEESP_BASELINE_CONFIRMED","PHASE1",""
"2026-08-29T10:39:35.6044222Z","2026-08-29T17:39:35.6044222+07:00","TRANSPORT_EGRESS","VEESP_BASELINE","ok=True;http=200"
"2026-08-29T10:39:36.1991940Z","2026-08-29T17:39:36.1991940+07:00","TRANSPORT_HTTPS","VEESP_BASELINE","ok=True;http=200"
"2026-08-29T10:39:39.4303311Z","2026-08-29T17:39:39.4312825+07:00","TRANSPORT_HTTPS_REPEAT","VEESP_BASELINE","pass=5/5"
"2026-08-29T10:39:42.0448967Z","2026-08-29T17:39:42.0448967+07:00","TRANSPORT_BODY_10MB","VEESP_BASELINE","ok=True;bytes=10000000"
"2026-08-29T10:41:09.4101568Z","2026-08-29T17:41:09.4101568+07:00","PHASE1_DONE","PHASE1",""
"2026-08-29T10:41:50.9644644Z","2026-08-29T17:41:50.9644644+07:00","EQVPS_SWITCH_CONFIRMED","PHASE2",""
"2026-08-29T10:41:51.6851658Z","2026-08-29T17:41:51.6851658+07:00","TRANSPORT_EGRESS","EQVPS","ok=True;http=200"
"2026-08-29T10:41:52.1498652Z","2026-08-29T17:41:52.1503758+07:00","TRANSPORT_HTTPS","EQVPS","ok=True;http=200"
"2026-08-29T10:41:54.4833077Z","2026-08-29T17:41:54.4833077+07:00","TRANSPORT_HTTPS_REPEAT","EQVPS","pass=5/5"
"2026-08-29T10:41:56.1510576Z","2026-08-29T17:41:56.1510576+07:00","TRANSPORT_BODY_10MB","EQVPS","ok=True;bytes=10000000"
"2026-08-29T10:41:56.1600089Z","2026-08-29T17:41:56.1600089+07:00","PHASE3_DONE","PHASE3",""
"2026-08-29T10:47:01.4048578Z","2026-08-29T17:47:01.4048578+07:00","PHASE4_DONE","PHASE4",""
"2026-08-29T10:47:05.0118518Z","2026-08-29T17:47:05.0118518+07:00","TRANSPORT_POST_APP","EQVPS_TRANSPORT_POST_APP","egress=True"
"2026-08-29T10:47:44.9466239Z","2026-08-29T17:47:44.9466239+07:00","VEESP_RECOVERY_SWITCH_CONFIRMED","PHASE5",""
"2026-08-29T10:47:45.5987119Z","2026-08-29T17:47:45.5987119+07:00","TRANSPORT_EGRESS","VEESP_RECOVERY","ok=True;http=200"
"2026-08-29T10:47:46.1852095Z","2026-08-29T17:47:46.1852095+07:00","TRANSPORT_HTTPS","VEESP_RECOVERY","ok=True;http=200"
"2026-08-29T10:47:49.1149248Z","2026-08-29T17:47:49.1149248+07:00","TRANSPORT_HTTPS_REPEAT","VEESP_RECOVERY","pass=5/5"
"2026-08-29T10:47:51.6747684Z","2026-08-29T17:47:51.6747684+07:00","TRANSPORT_BODY_10MB","VEESP_RECOVERY","ok=True;bytes=10000000"
"2026-08-29T10:50:30.7306598Z","2026-08-29T17:50:30.7306598+07:00","PHASE6_DONE","PHASE6",""
"2026-08-29T10:50:42.0940844Z","2026-08-29T17:50:42.0950814+07:00","SESSION_COMPLETED","PHASE7",""
