"group_id","direction_marker","group_export_name","viability","keywords","ads","planned_url"
"CORV-G08-01","[C08]","[C08] ТС ПИОТ настройка","ACTIVE NARROW","2","1","https://lk.corvonero.ru/ts-piot-1c/"
"CORV-G08-02","[C08]","[C08] ТС ПИОТ интеграция с 1С","ACTIVE NARROW","1","1","https://lk.corvonero.ru/ts-piot-1c/"
"CORV-G06-05","[C06]","[C06] Маркировка напитков и алкоголя","ACTIVE NARROW","2","1","https://lk.corvonero.ru/markirovka-napitkov-1c/"
"CORV-G06-06","[C06]","[C06] Маркировка воды","ACTIVE","5","1","https://lk.corvonero.ru/markirovka-vody-1c/"
"CORV-G06-07","[C06]","[C06] Маркировка косметики","ACTIVE NARROW","1","1","https://lk.corvonero.ru/markirovka-kosmetiki-1c/"
"CORV-G06-08","[C06]","[C06] Маркировка лекарств","ACTIVE","15","1","https://lk.corvonero.ru/markirovka-lekarstv-1c/"
"CORV-G06-09","[C06]","[C06] Маркировка бытовой химии","ACTIVE NARROW","1","1","https://lk.corvonero.ru/markirovka-byt-himii-1c/"
"CORV-G06-10","[C06]","[C06] Маркировка автозапчастей","ACTIVE","14","1","https://lk.corvonero.ru/markirovka-avtozapchastej-1c/"
"CORV-G06-11","[C06]","[C06] Маркировка масел","ACTIVE NARROW","2","1","https://lk.corvonero.ru/markirovka-masel-1c/"
"CORV-G06-12","[C06]","[C06] Маркировка техники","ACTIVE NARROW","1","1","https://lk.corvonero.ru/markirovka-tehniki-1c/"
"CORV-G06-13","[C06]","[C06] Маркировка строительных материалов","ACTIVE NARROW","1","1","https://lk.corvonero.ru/markirovka-stroymaterialov-1c/"
"CORV-G06-03","[C06]","[C06] Честный знак и 1С","ACTIVE","25","2","https://lk.corvonero.ru/chestnyj-znak-1c/"
"CORV-G06-04","[C06]","[C06] Устранение ошибок маркировки","ACTIVE NARROW","1","1","https://lk.corvonero.ru/markirovka-1c/"
"CORV-G06-01","[C06]","[C06] Подключение маркировки в 1С","ACTIVE","16","1","https://lk.corvonero.ru/markirovka-1c/"
"CORV-G06-02","[C06]","[C06] Настройка маркировки 1С","ACTIVE","3","1","https://lk.corvonero.ru/markirovka-1c/"
"CORV-G07-03","[C07]","[C07] Не работает обмен / синхронизация","ACTIVE","5","1","https://lk.corvonero.ru/obmen-1c-ne-rabotaet/"
"CORV-G07-02","[C07]","[C07] Ошибка 1С / после обновления","ACTIVE","5","1","https://lk.corvonero.ru/1c-ne-rabotaet/"
"CORV-G07-04","[C07]","[C07] Восстановление работы 1С","ACTIVE NARROW","1","1","https://lk.corvonero.ru/1c-ne-rabotaet/"
"CORV-G07-01","[C07]","[C07] Программа 1С не работает","ACTIVE","4","2","https://lk.corvonero.ru/1c-ne-rabotaet/"
"CORV-G05-02","[C05]","[C05] Интеграция 1С Битрикс","ACTIVE","20","1","https://lk.corvonero.ru/integraciya-1c-bitrix/"
"CORV-G05-01","[C05]","[C05] Интеграция 1С с сайтом","ACTIVE","9","1","https://lk.corvonero.ru/integraciya-1c-s-sajtom/"
"CORV-G05-03","[C05]","[C05] Интеграция 1С с кассой","ACTIVE","11","1","https://lk.corvonero.ru/integraciya-1c-kassa/"
"CORV-G05-06","[C05]","[C05] Перенос данных в 1С","ACTIVE NARROW","2","1","https://lk.corvonero.ru/perenos-dannyh-1c/"
"CORV-G05-04","[C05]","[C05] Синхронизация и обмен 1С","ACTIVE","20","1","https://lk.corvonero.ru/sinhronizaciya-1c/"
"CORV-G05-05","[C05]","[C05] Настройка обмена 1С","ACTIVE NARROW","1","1","https://lk.corvonero.ru/sinhronizaciya-1c/"
"CORV-G04-01","[C04]","[C04] Расчёт себестоимости в 1С","ACTIVE NARROW","2","1","https://lk.corvonero.ru/sebestoimost-1c/"
"CORV-G04-02","[C04]","[C04] Планирование закупок 1С","ACTIVE NARROW","1","1","https://lk.corvonero.ru/plan-zakupok-1c/"
"CORV-G04-03","[C04]","[C04] Платёжный календарь 1С","ACTIVE NARROW","1","1","https://lk.corvonero.ru/platezhnyj-kalendar-1c/"
"CORV-G03-04","[C03]","[C03] Доработка печатной формы","ACTIVE","7","1","https://lk.corvonero.ru/pechatnye-formy-1c/"
