"group_id","direction_marker","phrase","bid","tier","classification"
"CORV-G08-01","[C08]","настройка тс пиот 1с","350","T3","KEEP"
"CORV-G08-01","[C08]","ТС ПИОТ 1С","335","T3","KEEP"
"CORV-G08-02","[C08]","интеграция тс пиот 1с","350","T3","KEEP"
"CORV-G06-05","[C06]","1с маркировка пива","350","T3","KEEP"
"CORV-G06-05","[C06]","маркировка пива 1С","330","T3","KEEP"
"CORV-G06-06","[C06]","1с маркировка в производстве","350","T3","KEEP"
"CORV-G06-06","[C06]","1с маркировка ввод в оборот","338","T3","KEEP"
"CORV-G06-06","[C06]","1с маркировка воды","316","T3","KEEP"
"CORV-G06-06","[C06]","маркировка воды 1С","289","T3","KEEP"
"CORV-G06-06","[C06]","маркировка воды в 1с","272","T3","KEEP"
"CORV-G06-07","[C06]","маркировка косметики 1С","350","T3","KEEP"
"CORV-G06-08","[C06]","лекарство без маркировки -подлежит -сроки -как настроить -лекарства подлежащие","350","T3","KEEP"
"CORV-G06-08","[C06]","маркировка лекарств","345","T3","KEEP"
"CORV-G06-08","[C06]","маркировка лекарств 1С","325","T3","KEEP"
"CORV-G06-08","[C06]","маркировка лекарств аптека","315","T3","KEEP"
"CORV-G06-08","[C06]","маркировка лекарств личный кабинет","300","T3","KEEP"
"CORV-G06-08","[C06]","маркировка лекарств препаратов","285","T3","KEEP"
"CORV-G06-08","[C06]","маркировка лекарств проверить","270","T3","KEEP"
"CORV-G06-08","[C06]","маркировка лекарств средств","255","T3","KEEP"
"CORV-G06-08","[C06]","маркировка лекарств честный знак личный кабинет","250","T3","KEEP"
"CORV-G06-08","[C06]","маркировка лекарства с какого","250","T3","KEEP"
"CORV-G06-08","[C06]","маркировка упаковки лекарств","250","T3","KEEP"
"CORV-G06-08","[C06]","обязательной маркировки лекарств","250","T3","KEEP"
"CORV-G06-08","[C06]","проверка маркировки лекарств","250","T3","KEEP"
"CORV-G06-08","[C06]","систему маркировки лекарств","250","T3","KEEP"
"CORV-G06-08","[C06]","честный знак маркировка лекарств","250","T3","KEEP"
"CORV-G06-09","[C06]","маркировка бытовой химии 1С","250","T4","KEEP"
"CORV-G06-10","[C06]","автозапчасти маркировка честный знак -подлежит -какие -честный знак сроки","350","T3","KEEP"
"CORV-G06-10","[C06]","автозапчасти попадают под маркировку","345","T3","KEEP"
"CORV-G06-10","[C06]","когда начнется маркировка автозапчастей","330","T3","KEEP"
"CORV-G06-10","[C06]","маркировка автозапчастей","315","T3","KEEP"
"CORV-G06-10","[C06]","маркировка автозапчастей 1С","295","T3","KEEP"
"CORV-G06-10","[C06]","маркировка автозапчастей 2026","285","T3","KEEP"
"CORV-G06-10","[C06]","маркировка автозапчастей с какого года","270","T3","KEEP"
"CORV-G06-10","[C06]","маркировка автозапчастей честный","255","T3","KEEP"
"CORV-G06-10","[C06]","маркировка автозапчастей честный знак 2026","250","T3","KEEP"
"CORV-G06-10","[C06]","маркировка остатков автозапчастей","250","T3","KEEP"
"CORV-G06-10","[C06]","маркировка товара автозапчасти","250","T3","KEEP"
"CORV-G06-10","[C06]","нужна ли маркировка на автозапчасти","250","T3","KEEP"
"CORV-G06-10","[C06]","обязательная маркировка автозапчастей","250","T3","KEEP"
"CORV-G06-10","[C06]","опубликован проект по маркировке автозапчастей","250","T3","KEEP"
"CORV-G06-11","[C06]","в 1с маркировка моторные масла","250","T4","KEEP"
"CORV-G06-11","[C06]","маркировка масел 1С","235","T4","KEEP"
"CORV-G06-12","[C06]","маркировка техники 1С","250","T4","KEEP"
"CORV-G06-13","[C06]","маркировка строительных материалов 1С","250","T4","KEEP"
"CORV-G06-03","[C06]","1с 8.3 честный знак -скачать -инструкция -бесплатно -как настроить","550","T1","KEEP"
"CORV-G06-03","[C06]","1с бухгалтерия честный знак","545","T1","KEEP"
"CORV-G06-03","[C06]","1с номенклатура честный знак","530","T1","KEEP"
"CORV-G06-03","[C06]","1с торговля честный знак","515","T1","KEEP"
"CORV-G06-03","[C06]","1с унф честный знак","500","T1","KEEP"
"CORV-G06-03","[C06]","агрегация кодов маркировки честный знак в 1с","485","T1","KEEP"
"CORV-G06-03","[C06]","интеграция 1с и честный знак","470","T1","KEEP"
"CORV-G06-03","[C06]","коды маркировки честный знак в 1с","455","T1","KEEP"
"CORV-G06-03","[C06]","лм честный знак 1с","450","T1","KEEP"
"CORV-G06-03","[C06]","маркировка остатков честный знак в 1с","450","T1","KEEP"
"CORV-G06-03","[C06]","маркировка товаров в 1с честный знак","450","T1","KEEP"
"CORV-G06-03","[C06]","маркировка честный знак в 1с","450","T1","KEEP"
