"landing_id","path","url","groups"
"LP-01","/uslugi-1c/","https://lk.corvonero.ru/uslugi-1c/","CORV-G01-01; CORV-G01-02; CORV-G01-08"
"LP-02","/nastroyka-1c/","https://lk.corvonero.ru/nastroyka-1c/","CORV-G01-03"
"LP-03","/vnedrenie-1c/","https://lk.corvonero.ru/vnedrenie-1c/","CORV-G01-04"
"LP-04","/soprovozhdenie-1c/","https://lk.corvonero.ru/soprovozhdenie-1c/","CORV-G01-05; CORV-G01-06; CORV-G01-07"
"LP-05","/dorabotka-1c/","https://lk.corvonero.ru/dorabotka-1c/","CORV-G02-01; CORV-G02-02; CORV-G02-03"
"LP-06","/obnovlenie-dorabotok-1c/","https://lk.corvonero.ru/obnovlenie-dorabotok-1c/","CORV-G02-04; CORV-G02-05; CORV-G02-06"
"LP-07","/otchety-1c/","https://lk.corvonero.ru/otchety-1c/","CORV-G03-01; CORV-G03-02; CORV-G03-05"
"LP-08","/pechatnye-formy-1c/","https://lk.corvonero.ru/pechatnye-formy-1c/","CORV-G03-03; CORV-G03-04"
"LP-09","/rmk-1c/","https://lk.corvonero.ru/rmk-1c/","CORV-G03-06"
"LP-10","/sebestoimost-1c/","https://lk.corvonero.ru/sebestoimost-1c/","CORV-G04-01"
"LP-11","/plan-zakupok-1c/","https://lk.corvonero.ru/plan-zakupok-1c/","CORV-G04-02"
"LP-12","/platezhnyj-kalendar-1c/","https://lk.corvonero.ru/platezhnyj-kalendar-1c/","CORV-G04-03"
"LP-13","/integraciya-1c-s-sajtom/","https://lk.corvonero.ru/integraciya-1c-s-sajtom/","CORV-G05-01"
"LP-14","/integraciya-1c-bitrix/","https://lk.corvonero.ru/integraciya-1c-bitrix/","CORV-G05-02"
"LP-15","/integraciya-1c-kassa/","https://lk.corvonero.ru/integraciya-1c-kassa/","CORV-G05-03"
"LP-16","/sinhronizaciya-1c/","https://lk.corvonero.ru/sinhronizaciya-1c/","CORV-G05-04; CORV-G05-05"
"LP-17","/perenos-dannyh-1c/","https://lk.corvonero.ru/perenos-dannyh-1c/","CORV-G05-06"
"LP-18","/markirovka-1c/","https://lk.corvonero.ru/markirovka-1c/","CORV-G06-01; CORV-G06-02; CORV-G06-04"
"LP-19","/chestnyj-znak-1c/","https://lk.corvonero.ru/chestnyj-znak-1c/","CORV-G06-03"
"LP-20","/markirovka-napitkov-1c/","https://lk.corvonero.ru/markirovka-napitkov-1c/","CORV-G06-05"
"LP-21","/markirovka-vody-1c/","https://lk.corvonero.ru/markirovka-vody-1c/","CORV-G06-06"
"LP-22","/markirovka-kosmetiki-1c/","https://lk.corvonero.ru/markirovka-kosmetiki-1c/","CORV-G06-07"
"LP-23","/markirovka-lekarstv-1c/","https://lk.corvonero.ru/markirovka-lekarstv-1c/","CORV-G06-08"
"LP-24","/markirovka-byt-himii-1c/","https://lk.corvonero.ru/markirovka-byt-himii-1c/","CORV-G06-09"
"LP-25","/markirovka-avtozapchastej-1c/","https://lk.corvonero.ru/markirovka-avtozapchastej-1c/","CORV-G06-10"
"LP-26","/markirovka-masel-1c/","https://lk.corvonero.ru/markirovka-masel-1c/","CORV-G06-11"
"LP-27","/markirovka-tehniki-1c/","https://lk.corvonero.ru/markirovka-tehniki-1c/","CORV-G06-12"
"LP-28","/markirovka-stroymaterialov-1c/","https://lk.corvonero.ru/markirovka-stroymaterialov-1c/","CORV-G06-13"
"LP-29","/1c-ne-rabotaet/","https://lk.corvonero.ru/1c-ne-rabotaet/","CORV-G07-01; CORV-G07-02; CORV-G07-04"
"LP-30","/obmen-1c-ne-rabotaet/","https://lk.corvonero.ru/obmen-1c-ne-rabotaet/","CORV-G07-03"
"LP-31","/ts-piot-1c/","https://lk.corvonero.ru/ts-piot-1c/","CORV-G08-01; CORV-G08-02"
