"direction_id","phrase"
"CORV-C01","маркировка"
"CORV-C01","честный знак"
"CORV-C01","битрикс"
"CORV-C01","не работает"
"CORV-C01","ошибка"
"CORV-C01","вакансия программист"
"CORV-C01","отчет"
"CORV-C01","печатная форма"
"CORV-C01","рмк"
"CORV-C01","тс пиот"
"CORV-C01","интеграция сайт"
"CORV-C01","синхронизация"
"CORV-C02","маркировка"
"CORV-C02","честный знак"
"CORV-C02","отчет"
"CORV-C02","печатная форма"
"CORV-C02","рмк"
"CORV-C02","не работает"
"CORV-C02","вакансия"
"CORV-C02","курсы"
"CORV-C02","битрикс"
"CORV-C02","интеграция"
"CORV-C02","синхронизация"
"CORV-C03","маркировка"
"CORV-C03","честный знак"
"CORV-C03","программист вакансия"
"CORV-C03","битрикс"
"CORV-C03","не работает"
"CORV-C03","доработка базы"
"CORV-C03","сопровождение"
"CORV-C03","интеграция"
"CORV-C04","маркировка"
"CORV-C04","честный знак"
"CORV-C04","вакансия"
"CORV-C04","курсы"
"CORV-C04","битрикс"
"CORV-C04","программист"
"CORV-C04","доработка"
"CORV-C04","не работает"
"CORV-C05","маркировка"
"CORV-C05","честный знак"
"CORV-C05","вакансия программист"
"CORV-C05","доработка отчета"
"CORV-C05","не работает"
"CORV-C05","сопровождение"
"CORV-C05","программист услуги"
"CORV-C06","программист вакансия"
"CORV-C06","доработка 1с"
"CORV-C06","сопровождение абонент"
"CORV-C06","битрикс"
"CORV-C06","интеграция сайт"
"CORV-C06","отчет"
"CORV-C06","печатная форма"
"CORV-C06","не работает 1с"
"CORV-C06","тс пиот"
"CORV-C06","как настроить"
"CORV-C06","как сделать"
"CORV-C06","подлежит маркировке"
"CORV-C06","сроки маркировки"
"CORV-C06","список маркируемых"
"CORV-C07","вакансия"
"CORV-C07","работа программист"
"CORV-C07","курсы"
"CORV-C07","маркировка"
"CORV-C07","битрикс"
"CORV-C07","доработка"
"CORV-C07","внедрение"
"CORV-C07","сопровождение"
"CORV-C07","как настроить"
"CORV-C07","инструкция"
"CORV-C08","вакансия"
"CORV-C08","курсы"
"CORV-C08","маркировка пива"
"CORV-C08","маркировка воды"
"CORV-C08","лекарства маркировка"
"CORV-C08","автозапчасти маркировка"
"CORV-C08","программист"
"CORV-C08","доработка"
