"keyword_id","phrase","status","reason"
"kw-corv01-019","ТС ПИОТ 1С","EXCLUDE_REGULATORY","regulatory_non_service"
"kw-corv01-disc-021","программист 1с вакансии","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-022","программист 1с обучение","EXCLUDE_TRAINING","training_signal"
"kw-corv01-disc-023","работа программист 1с","EXCLUDE_INFORMATIONAL","v3_hard_exclude_list"
"kw-corv01-disc-024","курсы программист 1с","DEFER_AMBIGUOUS","no_group_match"
"kw-corv01-disc-025","программист 1с с нуля","EXCLUDE_TRAINING","training_signal"
"kw-corv01-disc-027","программист 1с обучение с нуля","EXCLUDE_TRAINING","training_signal"
"kw-corv01-disc-028","программист 1с зарплата","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-029","программист 1с москва","EXCLUDE_GEO_IRRELEVANT","foreign_geo"
"kw-corv01-disc-030","программист 1с стажер","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-031","программист 1с удаленно вакансии","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-032","собеседование 1с программиста","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-035","программист 1с без опыта","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-040","стажировка 1с программист","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-043","программист 1с вакансии москва","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-045","программист 1с hh","EXCLUDE_INFORMATIONAL","v3_hard_exclude_list"
"kw-corv01-disc-046","программист 1с бесплатно","EXCLUDE_INFORMATIONAL","v3_hard_exclude_list"
"kw-corv01-disc-047","1с программист стажер вакансии","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-049","вакансия программист 1с без опыта","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-051","резюме программист 1с","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-055","вопросы на собеседовании 1с программист","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-063","как стать программистом 1с","EXCLUDE_INFORMATIONAL","operator_explicit_list"
"kw-corv01-disc-065","курсы программист 1с с нуля","EXCLUDE_TRAINING","training_signal"
"kw-corv01-disc-067","1с для начинающих программистов","EXCLUDE_DUPLICATE","group_CORV-G01-01_tier_limit"
"kw-corv01-disc-068","работа программистом 1с удаленно","EXCLUDE_EMPLOYMENT","employment_signal"
"kw-corv01-disc-069","учиться на программиста 1с","EXCLUDE_TRAINING","training_signal"
