"group_id","phrase"
"CORV-G08-01","интеграц"
"CORV-G08-01","маркировка"
"CORV-G08-01","честный знак"
"CORV-G08-01","вакансия"
"CORV-G08-01","курсы"
"CORV-G08-01","маркировка пива"
"CORV-G08-01","маркировка воды"
"CORV-G08-01","лекарства маркировка"
"CORV-G08-01","автозапчасти маркировка"
"CORV-G08-01","программист"
"CORV-G08-01","доработка"
"CORV-G08-02","настрой"
"CORV-G08-02","маркировка"
"CORV-G08-02","пиот настрой"
"CORV-G08-02","вакансия"
"CORV-G08-02","курсы"
"CORV-G08-02","маркировка пива"
"CORV-G08-02","маркировка воды"
"CORV-G08-02","лекарства маркировка"
"CORV-G08-02","автозапчасти маркировка"
"CORV-G08-02","программист"
"CORV-G08-02","доработка"
"CORV-G06-05","вода"
"CORV-G06-05","лекарств"
"CORV-G06-05","косметик"
"CORV-G06-05","автозапчаст"
"CORV-G06-05","масл"
"CORV-G06-05","алкогол"
"CORV-G06-05","программист вакансия"
"CORV-G06-05","доработка 1с"
"CORV-G06-05","сопровождение абонент"
"CORV-G06-05","битрикс"
"CORV-G06-05","интеграция сайт"
"CORV-G06-05","отчет"
"CORV-G06-05","печатная форма"
"CORV-G06-05","не работает 1с"
"CORV-G06-05","тс пиот"
"CORV-G06-05","как настроить"
"CORV-G06-05","как сделать"
"CORV-G06-05","подлежит маркировке"
"CORV-G06-05","сроки маркировки"
"CORV-G06-05","список маркируемых"
"CORV-G06-06","пив"
"CORV-G06-06","алкогол"
"CORV-G06-06","лекарств"
"CORV-G06-06","косметик"
"CORV-G06-06","автозапчаст"
"CORV-G06-06","программист вакансия"
"CORV-G06-06","доработка 1с"
"CORV-G06-06","сопровождение абонент"
"CORV-G06-06","битрикс"
"CORV-G06-06","интеграция сайт"
"CORV-G06-06","отчет"
"CORV-G06-06","печатная форма"
"CORV-G06-06","не работает 1с"
"CORV-G06-06","тс пиот"
"CORV-G06-06","как настроить"
"CORV-G06-06","как сделать"
"CORV-G06-06","подлежит маркировке"
"CORV-G06-06","сроки маркировки"
"CORV-G06-06","список маркируемых"
"CORV-G06-07","пив"
"CORV-G06-07","вода"
"CORV-G06-07","лекарств"
"CORV-G06-07","автозапчаст"
"CORV-G06-07","масл"
"CORV-G06-07","программист вакансия"
"CORV-G06-07","доработка 1с"
"CORV-G06-07","сопровождение абонент"
"CORV-G06-07","битрикс"
"CORV-G06-07","интеграция сайт"
"CORV-G06-07","отчет"
"CORV-G06-07","печатная форма"
"CORV-G06-07","не работает 1с"
"CORV-G06-07","тс пиот"
"CORV-G06-07","как настроить"
"CORV-G06-07","как сделать"
"CORV-G06-07","подлежит маркировке"
"CORV-G06-07","сроки маркировки"
"CORV-G06-07","список маркируемых"
"CORV-G06-08","пив"
"CORV-G06-08","вода"
"CORV-G06-08","косметик"
"CORV-G06-08","автозапчаст"
"CORV-G06-08","подлежит"
"CORV-G06-08","сроки"
"CORV-G06-08","как настроить"
"CORV-G06-08","программист вакансия"
"CORV-G06-08","доработка 1с"
"CORV-G06-08","сопровождение абонент"
"CORV-G06-08","битрикс"
"CORV-G06-08","интеграция сайт"
"CORV-G06-08","отчет"
"CORV-G06-08","печатная форма"
"CORV-G06-08","не работает 1с"
"CORV-G06-08","тс пиот"
"CORV-G06-08","как сделать"
"CORV-G06-08","подлежит маркировке"
"CORV-G06-08","сроки маркировки"
"CORV-G06-08","список маркируемых"
"CORV-G06-09","пив"
"CORV-G06-09","вода"
"CORV-G06-09","лекарств"
"CORV-G06-09","косметик"
"CORV-G06-09","программист вакансия"
"CORV-G06-09","доработка 1с"
"CORV-G06-09","сопровождение абонент"
"CORV-G06-09","битрикс"
"CORV-G06-09","интеграция сайт"
"CORV-G06-09","отчет"
