"group_id","ad_id","status","issues","headline_1","text"
"CORV-G08-01","ad-CORV-G08-01-a1","PASS","","Настройка ТС ПИОТ в 1С","Подключим и настроим ТС ПИОТ в 1С. Оценка по задаче."
"CORV-G08-02","ad-CORV-G08-02-a1","PASS","","Интеграция ТС ПИОТ с 1С","Свяжем ТС ПИОТ с учётом в 1С. Договор и безнал."
"CORV-G06-05","ad-CORV-G06-05-a1","PASS","","Маркировка напитков в 1С","Настроим маркировку напитков в 1С. Работа по договору."
"CORV-G06-06","ad-CORV-G06-06-a1","PASS","","Маркировка воды в 1С","Подключим маркировку воды в 1С. Оценка по базе."
"CORV-G06-07","ad-CORV-G06-07-a1","PASS","","Маркировка косметики в 1С","Настроим маркировку косметики в 1С для юрлиц. Работа по договору."
"CORV-G06-08","ad-CORV-G06-08-a1","PASS","","Маркировка лекарств в 1С","Настроим маркировку лекарств в 1С. Договор и безнал."
"CORV-G06-09","ad-CORV-G06-09-a1","PASS","","Маркировка бытовой химии в 1С","Подключим маркировку бытовой химии в 1С."
"CORV-G06-10","ad-CORV-G06-10-a1","PASS","","Маркировка автозапчастей в 1С","Настроим маркировку автозапчастей в 1С. Оценка по номенклатуре."
"CORV-G06-11","ad-CORV-G06-11-a1","PASS","","Маркировка масел в 1С","Подключим маркировку масел в 1С. Работаем с юрлицами."
"CORV-G06-12","ad-CORV-G06-12-a1","PASS","","Маркировка техники в 1С","Настроим маркировку техники в 1С. Оценка по задаче. Договор, безнал."
"CORV-G06-13","ad-CORV-G06-13-a1","PASS","","Маркировка стройматериалов в 1С","Подключим маркировку стройматериалов в 1С."
"CORV-G06-03","ad-CORV-G06-03-a1","PASS","","Честный знак и 1С","Настроим работу с Честным знаком в 1С. Договор и безнал."
"CORV-G06-03","ad-CORV-G06-03-a2","PASS","","Честный знак и 1С","Разовые работы по 1С для юрлиц. Минимум 2 часа. Оставьте заявку."
"CORV-G06-04","ad-CORV-G06-04-a1","PASS","","Ошибки маркировки в 1С","Поможем устранить ошибки маркировки и обмена в 1С. Оценка по симптомам."
"CORV-G06-01","ad-CORV-G06-01-a1","PASS","","Подключение маркировки в 1С","Настроим маркировку товаров в 1С. Работаем с юрлицами."
"CORV-G06-02","ad-CORV-G06-02-a1","PASS","","Настройка маркировки в 1С","Подключим маркировку и обмен с ГИС МТ. Оценка по номенклатуре."
"CORV-G07-03","ad-CORV-G07-03-a1","PASS","","Не работает обмен в 1С","Поможем восстановить обмен и синхронизацию между базами 1С."
"CORV-G07-02","ad-CORV-G07-02-a1","PASS","","Ошибка 1С после обновления","Поможем устранить ошибки 1С после релиза. Оценка по симптомам."
"CORV-G07-04","ad-CORV-G07-04-a1","PASS","","Восстановление работы 1С","Поможем вернуть 1С в рабочее состояние. Удалённо и с выездом."
"CORV-G07-01","ad-CORV-G07-01-a1","PASS","","1С не работает — поможем","Поможем восстановить работу 1С. От 6000 ₽. Оставьте заявку."
"CORV-G07-01","ad-CORV-G07-01-a2","PASS","","Программа 1С не запускается","Проверим причину сбоя и предложим решение. Договор, безнал."
"CORV-G05-02","ad-CORV-G05-02-a1","PASS","","Интеграция 1С и Битрикс","Настроим обмен 1С с Битрикс24. Работаем по договору."
"CORV-G05-01","ad-CORV-G05-01-a1","PASS","","Интеграция 1С с сайтом","Свяжем 1С с сайтом: каталог, заказы, остатки. Оценка интеграции."
"CORV-G05-03","ad-CORV-G05-03-a1","PASS","","Интеграция 1С с кассой","Подключим кассу и фискализацию к 1С. Оценка по оборудованию."
"CORV-G05-06","ad-CORV-G05-06-a1","PASS","","Перенос данных в 1С","Перенесём справочники и документы в 1С. Оценка объёма заранее."
"CORV-G05-04","ad-CORV-G05-04-a1","PASS","","Синхронизация и обмен 1С","Настроим обмен и синхронизацию данных в 1С."
"CORV-G05-05","ad-CORV-G05-05-a1","PASS","","Настройка обмена в 1С","Настроим правила обмена между базами 1С. Договор, безнал."
"CORV-G04-01","ad-CORV-G04-01-a1","PASS","","Расчёт себестоимости в 1С","Настроим расчёт себестоимости в 1С. Оценка по вашей базе."
"CORV-G04-02","ad-CORV-G04-02-a1","PASS","","Планирование закупок в 1С","Настроим планирование закупок в 1С. Работа по договору."
"CORV-G04-03","ad-CORV-G04-03-a1","PASS","","Платёжный календарь в 1С","Настроим календарь платежей в 1С. Оценка по задаче."
"CORV-G03-04","ad-CORV-G03-04-a1","PASS","","Доработка печатной формы 1С","Изменим форму документа в 1С под ваши требования. Работа по договору."
"CORV-G03-06","ad-CORV-G03-06-a1","PASS","","Настройка РМК в 1С","Доработаем рабочее место кассира в 1С. Оценка по конфигурации."
"CORV-G03-05","ad-CORV-G03-05-a1","PASS","","Внешние отчёты и обработки 1С","Разработка внешних отчётов и обработок. Договор и безнал."
"CORV-G03-02","ad-CORV-G03-02-a1","PASS","","Создание отчёта в 1С","Разработаем новый отчёт в 1С. Работаем с юрлицами по договору."
"CORV-G03-01","ad-CORV-G03-01-a1","PASS","","Доработка отчёта в 1С","Настроим или изменим отчёт под ваш учёт. Оценка до начала работ."
"CORV-G03-01","ad-CORV-G03-01-a2","PASS","","Доработка отчёта в 1С","Разовые работы по 1С для юрлиц. Минимум 2 часа. Оставьте заявку."
"CORV-G03-03","ad-CORV-G03-03-a1","PASS","","Печатные формы в 1С","Создадим или изменим печатные формы. Оценка по макету."
"CORV-G02-04","ad-CORV-G02-04-a1","PASS","","Обновление доработанной 1С","Обновление доработанной 1С с предварительной оценкой. Работа по договору."
"CORV-G02-05","ad-CORV-G02-05-a1","PASS","","Перенос доработок при обновлении","Перенос и адаптация доработок при обновлении. Оценка по базе."
"CORV-G02-06","ad-CORV-G02-06-a1","PASS","","Исправление доработок после обновления","Поможем восстановить работу доработок в 1С после релиза."
"CORV-G02-02","ad-CORV-G02-02-a1","PASS","","Доработка конфигурации 1С","Модули, расширения и логика в 1С. Работаем по договору."
"CORV-G02-03","ad-CORV-G02-03-a1","PASS","","Доработка базы 1С","Изменения в базе 1С с предварительной оценкой. Работа по договору."
"CORV-G02-01","ad-CORV-G02-01-a1","PASS","","Доработка 1С под вашу задачу","Изменим конфигурацию и логику 1С. Оценка работ до старта."
"CORV-G02-01","ad-CORV-G02-01-a2","PASS","","Доработка 1С под вашу задачу","Разовые работы по 1С для юрлиц. Минимум 2 часа. Оставьте заявку."
"CORV-G01-02","ad-CORV-G01-02-a1","PASS","","Программист 1С в Новосибирске","Задачи по 1С для организаций. Договор, безнал. Оценка по запросу."
"CORV-G01-07","ad-CORV-G01-07-a1","PASS","","Абонентское сопровождение 1С","Регулярная поддержка базы 1С. Договор и безналичная оплата."
"CORV-G01-06","ad-CORV-G01-06-a1","PASS","","Обслуживание 1С для компании","Техническая поддержка и задачи по 1С. Работаем с юрлицами и ИП."
"CORV-G01-05","ad-CORV-G01-05-a1","PASS","","Сопровождение 1С для бизнеса","Поддержка и доработки базы 1С. Договор, безнал, удалённо и с выездом."
"CORV-G01-04","ad-CORV-G01-04-a1","PASS","","Внедрение 1С для организации","Запуск и настройка 1С под задачи бизнеса. Оценка объёма по брифу."
"CORV-G01-03","ad-CORV-G01-03-a1","PASS","","Настройка 1С под вашу работу","Настроим учёт и процессы в 1С. Работаем по договору с юрлицами."
"CORV-G01-08","ad-CORV-G01-08-a1","PASS","","Разовые работы по 1С","Точечные задачи программиста 1С. Минимальный заказ от 2 часов."
"CORV-G01-01","ad-CORV-G01-01-a1","PASS","","Программист 1С для бизнеса","Доработки и поддержка 1С для юрлиц и ИП. От 6000 ₽. Оставьте заявку."
"CORV-G01-01","ad-CORV-G01-01-a2","PASS","","Программист 1С для бизнеса","Разовые работы по 1С для юрлиц. Минимум 2 часа. Оставьте заявку."
