"group_id","keyword","positive_base","negative","level","match_type","result_before","correction","result_after"
"CORV-G08-01","1с розница подключение тс пиот","1с розница подключение тс пиот","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","1с розница подключение тс пиот","1с розница подключение тс пиот","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка подключения к тс пиот 1с","настройка подключения к тс пиот 1с","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка подключения к тс пиот 1с","настройка подключения к тс пиот 1с","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка подключения к тс пиот 1с розница","настройка подключения к тс пиот 1с розница","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка подключения к тс пиот 1с розница","настройка подключения к тс пиот 1с розница","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с розница","настройка тс пиот в 1с розница","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с розница","настройка тс пиот в 1с розница","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с розница 2.3","настройка тс пиот в 1с розница 2.3","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с розница 2.3","настройка тс пиот в 1с розница 2.3","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с розница 3","настройка тс пиот в 1с розница 3","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с розница 3","настройка тс пиот в 1с розница 3","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с розница 3.0","настройка тс пиот в 1с розница 3.0","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с розница 3.0","настройка тс пиот в 1с розница 3.0","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с унф","настройка тс пиот в 1с унф","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с унф","настройка тс пиот в 1с унф","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с ут","настройка тс пиот в 1с ут","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с ут","настройка тс пиот в 1с ут","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с ут 11.5","настройка тс пиот в 1с ут 11.5","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","настройка тс пиот в 1с ут 11.5","настройка тс пиот в 1с ут 11.5","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","не удалось подключиться к тс пиоту 1с","не удалось подключиться к тс пиоту 1с","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","не удалось подключиться к тс пиоту 1с","не удалось подключиться к тс пиоту 1с","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","подключение тс пиот к 1с","подключение тс пиот к 1с","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","подключение тс пиот к 1с","подключение тс пиот к 1с","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","тс пиот настройка в 1с","тс пиот настройка в 1с","интеграц","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-01","тс пиот настройка в 1с","тс пиот настройка в 1с","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","1с ут тс пиот","1с ут тс пиот","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","1с ут тс пиот","1с ут тс пиот","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","модуль тс пиот 1с","модуль тс пиот 1с","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","модуль тс пиот 1с","модуль тс пиот 1с","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с атол","тс пиот 1с атол","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с атол","тс пиот 1с атол","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с бухгалтерия","тс пиот 1с бухгалтерия","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с бухгалтерия","тс пиот 1с бухгалтерия","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с касса","тс пиот 1с касса","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с касса","тс пиот 1с касса","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с рмк","тс пиот 1с рмк","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с рмк","тс пиот 1с рмк","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с розница 2.3","тс пиот 1с розница 2.3","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с розница 2.3","тс пиот 1с розница 2.3","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с розница 3","тс пиот 1с розница 3","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с розница 3","тс пиот 1с розница 3","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с розница 3.0","тс пиот 1с розница 3.0","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот 1с розница 3.0","тс пиот 1с розница 3.0","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот в 1с унф","тс пиот в 1с унф","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот в 1с унф","тс пиот в 1с унф","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот и 1с розница","тс пиот и 1с розница","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот и 1с розница","тс пиот и 1с розница","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот установка 1с","тс пиот установка 1с","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот установка 1с","тс пиот установка 1с","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот честный знак 1с","тс пиот честный знак 1с","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот честный знак 1с","тс пиот честный знак 1с","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот честный знак 1с розница","тс пиот честный знак 1с розница","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G08-02","тс пиот честный знак 1с розница","тс пиот честный знак 1с розница","маркировка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","1с бухгалтерия честный знак","1с бухгалтерия честный знак","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","1с бухгалтерия честный знак","1с бухгалтерия честный знак","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","1с номенклатура честный знак","1с номенклатура честный знак","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","1с номенклатура честный знак","1с номенклатура честный знак","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","1с торговля честный знак","1с торговля честный знак","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","1с торговля честный знак","1с торговля честный знак","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","1с унф честный знак","1с унф честный знак","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","1с унф честный знак","1с унф честный знак","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","агрегация кодов маркировки честный знак в 1с","агрегация кодов маркировки честный знак в 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","агрегация кодов маркировки честный знак в 1с","агрегация кодов маркировки честный знак в 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","интеграция 1с и честный знак","интеграция 1с и честный знак","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","интеграция 1с и честный знак","интеграция 1с и честный знак","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","коды маркировки честный знак в 1с","коды маркировки честный знак в 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","коды маркировки честный знак в 1с","коды маркировки честный знак в 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","лм честный знак 1с","лм честный знак 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","лм честный знак 1с","лм честный знак 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка остатков честный знак в 1с","маркировка остатков честный знак в 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка остатков честный знак в 1с","маркировка остатков честный знак в 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка товаров в 1с честный знак","маркировка товаров в 1с честный знак","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка товаров в 1с честный знак","маркировка товаров в 1с честный знак","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с","маркировка честный знак в 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с","маркировка честный знак в 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с бухгалтерия","маркировка честный знак в 1с бухгалтерия","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с бухгалтерия","маркировка честный знак в 1с бухгалтерия","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с розница","маркировка честный знак в 1с розница","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с розница","маркировка честный знак в 1с розница","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с унф","маркировка честный знак в 1с унф","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с унф","маркировка честный знак в 1с унф","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с ут","маркировка честный знак в 1с ут","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с ут","маркировка честный знак в 1с ут","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с erp","маркировка честный знак в 1с erp","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","маркировка честный знак в 1с erp","маркировка честный знак в 1с erp","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","настройка честного знака в 1с","настройка честного знака в 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","настройка честного знака в 1с","настройка честного знака в 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","работа с маркировкой честный знак в 1с","работа с маркировкой честный знак в 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","работа с маркировкой честный знак в 1с","работа с маркировкой честный знак в 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","честный знак 1с","честный знак 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","честный знак 1с","честный знак 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","честный знак в 1с","честный знак в 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","честный знак в 1с","честный знак в 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","честный знак в 1с ут","честный знак в 1с ут","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","честный знак в 1с ут","честный знак в 1с ут","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","честный знак модуль 1с","честный знак модуль 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","честный знак модуль 1с","честный знак модуль 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","честный знак через 1с","честный знак через 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","честный знак через 1с","честный знак через 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","1с 8.3 честный знак","1с 8.3 честный знак","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","1с 8.3 честный знак","1с 8.3 честный знак","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","работа с честным знаком в 1с","работа с честным знаком в 1с","доработка","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-03","работа с честным знаком в 1с","работа с честным знаком в 1с","программист","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-04","ошибка маркировки 1с","ошибка маркировки 1с","настрой","group_cross","STEM_RISK","OK","","PASS"
"CORV-G06-01","внедрение маркировки в 1с","внедрение маркировки в 1с","ошибк","group_cross","STEM_RISK","OK","","PASS"
