"group_id","token","stem_risk"
"CORV-G08-01","интеграц","STEM_REVIEWED"
"CORV-G08-01","маркировка","LOW"
"CORV-G08-01","честный знак","LOW"
"CORV-G08-02","настрой","STEM_REVIEWED"
"CORV-G08-02","маркировка","LOW"
"CORV-G08-02","пиот настрой","LOW"
"CORV-G06-05","вода","LOW"
"CORV-G06-05","лекарств","STEM_REVIEWED"
"CORV-G06-05","косметик","LOW"
"CORV-G06-05","автозапчаст","STEM_REVIEWED"
"CORV-G06-05","масл","LOW"
"CORV-G06-05","алкогол","LOW"
"CORV-G06-06","пив","LOW"
"CORV-G06-06","алкогол","LOW"
"CORV-G06-06","лекарств","STEM_REVIEWED"
"CORV-G06-06","косметик","LOW"
"CORV-G06-06","автозапчаст","STEM_REVIEWED"
"CORV-G06-07","пив","LOW"
"CORV-G06-07","вода","LOW"
"CORV-G06-07","лекарств","STEM_REVIEWED"
"CORV-G06-07","автозапчаст","STEM_REVIEWED"
"CORV-G06-07","масл","LOW"
"CORV-G06-08","пив","LOW"
"CORV-G06-08","вода","LOW"
"CORV-G06-08","косметик","LOW"
"CORV-G06-08","автозапчаст","STEM_REVIEWED"
"CORV-G06-08","подлежит","LOW"
"CORV-G06-08","сроки","LOW"
"CORV-G06-08","как настроить","LOW"
"CORV-G06-09","пив","LOW"
"CORV-G06-09","вода","LOW"
"CORV-G06-09","лекарств","STEM_REVIEWED"
"CORV-G06-09","косметик","LOW"
"CORV-G06-10","лекарств","STEM_REVIEWED"
"CORV-G06-10","пив","LOW"
"CORV-G06-10","вода","LOW"
"CORV-G06-10","косметик","LOW"
"CORV-G06-10","подлежит","LOW"
"CORV-G06-10","сроки","LOW"
"CORV-G06-10","какие","LOW"
"CORV-G06-11","пив","LOW"
"CORV-G06-11","вода","LOW"
"CORV-G06-11","лекарств","STEM_REVIEWED"
"CORV-G06-11","автозапчаст","STEM_REVIEWED"
"CORV-G06-12","пив","LOW"
"CORV-G06-12","вода","LOW"
"CORV-G06-12","лекарств","STEM_REVIEWED"
"CORV-G06-12","косметик","LOW"
"CORV-G06-13","пив","LOW"
"CORV-G06-13","вода","LOW"
"CORV-G06-13","лекарств","STEM_REVIEWED"
"CORV-G06-13","косметик","LOW"
"CORV-G06-03","доработка","LOW"
"CORV-G06-03","программист","LOW"
"CORV-G06-03","отчет","LOW"
"CORV-G06-03","пив","LOW"
"CORV-G06-03","вода","LOW"
"CORV-G06-03","подключ","LOW"
"CORV-G06-04","подключ","LOW"
"CORV-G06-04","настрой","STEM_REVIEWED"
"CORV-G06-04","пив","LOW"
"CORV-G06-04","вода","LOW"
"CORV-G06-04","лекарств","STEM_REVIEWED"
"CORV-G06-01","честный знак","LOW"
"CORV-G06-01","пив","LOW"
"CORV-G06-01","вода","LOW"
"CORV-G06-01","лекарств","STEM_REVIEWED"
"CORV-G06-01","косметик","LOW"
"CORV-G06-01","автозапчаст","STEM_REVIEWED"
"CORV-G06-01","ошибк","LOW"
"CORV-G06-02","честный знак","LOW"
"CORV-G06-02","пив","LOW"
"CORV-G06-02","вода","LOW"
"CORV-G06-02","лекарств","STEM_REVIEWED"
"CORV-G06-02","подключ","LOW"
"CORV-G07-03","ошибка после обновления","LOW"
"CORV-G07-03","восстановлен","LOW"
"CORV-G07-03","запуска","LOW"
"CORV-G07-02","не работает","LOW"
"CORV-G07-02","обмен","LOW"
"CORV-G07-02","синхронизация","STEM_REVIEWED"
"CORV-G07-02","восстановлен","LOW"
"CORV-G07-04","не работает","LOW"
"CORV-G07-04","обмен","LOW"
"CORV-G07-04","ошибка","LOW"
"CORV-G07-04","синхронизация","STEM_REVIEWED"
"CORV-G07-01","ошибка","LOW"
"CORV-G07-01","обмен","LOW"
"CORV-G07-01","синхронизация","STEM_REVIEWED"
"CORV-G07-01","восстановлен","LOW"
"CORV-G07-01","после обновлен","LOW"
"CORV-G05-02","касса","LOW"
"CORV-G05-02","маркировка","LOW"
"CORV-G05-02","обмен","LOW"
"CORV-G05-02","перенос","LOW"
"CORV-G05-01","битрикс","LOW"
"CORV-G05-01","касса","LOW"
"CORV-G05-01","маркировка","LOW"
"CORV-G05-01","перенос данных","LOW"
"CORV-G05-03","сайт","LOW"
"CORV-G05-03","битрикс","LOW"
"CORV-G05-03","маркировка","LOW"
"CORV-G05-03","перенос","LOW"
"CORV-G05-06","синхронизация","STEM_REVIEWED"
"CORV-G05-06","обмен","LOW"
"CORV-G05-06","сайт","LOW"
"CORV-G05-06","битрикс","LOW"
"CORV-G05-06","касса","LOW"
"CORV-G05-04","сайт","LOW"
"CORV-G05-04","битрикс","LOW"
"CORV-G05-04","перенос данных","LOW"
"CORV-G05-04","касса","LOW"
