"direction_id","phrase","level"
"CORV-C01","маркировка","direction"
"CORV-C01","честный знак","direction"
"CORV-C01","битрикс","direction"
"CORV-C01","не работает","direction"
"CORV-C01","ошибка","direction"
"CORV-C01","вакансия программист","direction"
"CORV-C01","отчет","direction"
"CORV-C01","печатная форма","direction"
"CORV-C01","рмк","direction"
"CORV-C01","тс пиот","direction"
"CORV-C01","интеграция сайт","direction"
"CORV-C01","синхронизация","direction"
"CORV-C02","маркировка","direction"
"CORV-C02","честный знак","direction"
"CORV-C02","отчет","direction"
"CORV-C02","печатная форма","direction"
"CORV-C02","рмк","direction"
"CORV-C02","не работает","direction"
"CORV-C02","вакансия","direction"
"CORV-C02","курсы","direction"
"CORV-C02","битрикс","direction"
"CORV-C02","интеграция","direction"
"CORV-C02","синхронизация","direction"
"CORV-C03","маркировка","direction"
"CORV-C03","честный знак","direction"
"CORV-C03","программист вакансия","direction"
"CORV-C03","битрикс","direction"
"CORV-C03","не работает","direction"
"CORV-C03","доработка базы","direction"
"CORV-C03","сопровождение","direction"
"CORV-C03","интеграция","direction"
"CORV-C04","маркировка","direction"
"CORV-C04","честный знак","direction"
"CORV-C04","вакансия","direction"
"CORV-C04","курсы","direction"
"CORV-C04","битрикс","direction"
"CORV-C04","программист","direction"
"CORV-C04","доработка","direction"
"CORV-C04","не работает","direction"
"CORV-C05","маркировка","direction"
"CORV-C05","честный знак","direction"
"CORV-C05","вакансия программист","direction"
"CORV-C05","доработка отчета","direction"
"CORV-C05","не работает","direction"
"CORV-C05","сопровождение","direction"
"CORV-C05","программист услуги","direction"
"CORV-C06","программист вакансия","direction"
"CORV-C06","доработка 1с","direction"
"CORV-C06","сопровождение абонент","direction"
"CORV-C06","битрикс","direction"
"CORV-C06","интеграция сайт","direction"
"CORV-C06","отчет","direction"
"CORV-C06","печатная форма","direction"
"CORV-C06","не работает 1с","direction"
"CORV-C06","тс пиот","direction"
"CORV-C06","как настроить","direction"
"CORV-C06","как сделать","direction"
"CORV-C06","подлежит маркировке","direction"
"CORV-C06","сроки маркировки","direction"
"CORV-C06","список маркируемых","direction"
"CORV-C07","вакансия","direction"
"CORV-C07","работа программист","direction"
"CORV-C07","курсы","direction"
"CORV-C07","маркировка","direction"
"CORV-C07","битрикс","direction"
"CORV-C07","доработка","direction"
"CORV-C07","внедрение","direction"
"CORV-C07","сопровождение","direction"
"CORV-C07","как настроить","direction"
"CORV-C07","инструкция","direction"
"CORV-C08","вакансия","direction"
"CORV-C08","курсы","direction"
"CORV-C08","маркировка пива","direction"
"CORV-C08","маркировка воды","direction"
"CORV-C08","лекарства маркировка","direction"
"CORV-C08","автозапчасти маркировка","direction"
"CORV-C08","программист","direction"
"CORV-C08","доработка","direction"
