"keyword_id","group_id","phrase","decision","reason"
"kw-corv01-disc-2330","CORV-G08-01","как подключить тс пиот к 1с","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2358","CORV-G08-01","тс пиот в 1с настройка инструкция","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2340","CORV-G08-02","тс пиот как установить в 1с","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2277","CORV-G06-08","лекарство без маркировки","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2262","CORV-G06-08","маркировка лекарств личный кабинет","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2272","CORV-G06-08","маркировка лекарств проверить","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2263","CORV-G06-08","маркировка лекарств честный знак личный кабинет","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2275","CORV-G06-08","маркировка лекарства с какого","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2266","CORV-G06-08","обязательной маркировки лекарств","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2276","CORV-G06-08","проверка маркировки лекарств","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2312","CORV-G06-10","автозапчасти попадают под маркировку","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2311","CORV-G06-10","когда начнется маркировка автозапчастей","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2300","CORV-G06-10","маркировка автозапчастей 2026","EXCLUDE EMPLOYMENT","operator_forensic_anchor_v4"
"kw-corv01-disc-2313","CORV-G06-10","маркировка автозапчастей с какого года","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2308","CORV-G06-10","маркировка автозапчастей честный знак 2026","EXCLUDE EMPLOYMENT","operator_forensic_anchor_v4"
"kw-corv01-disc-2299","CORV-G06-10","обязательная маркировка автозапчастей","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-1600","CORV-G03-04","как в 1с изменить печатную форму документа","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-809","CORV-G02-01","тестирование доработок 1с","EXCLUDE TRAINING","operator_forensic_anchor_v4"
"kw-corv01-disc-037","CORV-G01-01","1с программист 2026","EXCLUDE EMPLOYMENT","operator_forensic_anchor_v4"
"kw-corv01-disc-057","CORV-G01-01","часа работы программиста 1с","EXCLUDE EMPLOYMENT","operator_forensic_anchor_v4"
"kw-corv01-disc-058","CORV-G01-01","часы работы программиста 1с","EXCLUDE EMPLOYMENT","operator_forensic_anchor_v4"
