"phrase","collision_test","risk_status","approval"
"работа программист","PASS","LOW","approved"
"работа 1с","PASS","LOW","approved"
"работа на 1с","PASS","LOW","approved"
"удаленная работа","PASS","LOW","approved"
"ищу работу","PASS","LOW","approved"
"вакансии","PASS","LOW","approved"
"вакансия","PASS","LOW","approved"
"резюме","PASS","LOW","approved"
"зарплата","PASS","LOW","approved"
"стажировка","PASS","LOW","approved"
"стажер","PASS","LOW","approved"
"работодатель","PASS","LOW","approved"
"трудоустройство","PASS","LOW","approved"
"собеседование","PASS","LOW","approved"
"hh.ru","PASS","LOW","approved"
"hh","PASS","LOW","approved"
"superjob","PASS","LOW","approved"
"gorodrabot.ru","PASS","LOW","approved"
"zarplata.ru","PASS","LOW","approved"
"обучение","PASS","LOW","approved"
"курсы","PASS","LOW","approved"
"курс","PASS","LOW","approved"
"урок","PASS","LOW","approved"
"уроки","PASS","LOW","approved"
"учебник","PASS","LOW","approved"
"учиться","PASS","LOW","approved"
"профессия","PASS","LOW","approved"
"экзамен","PASS","LOW","approved"
"диплом","PASS","LOW","approved"
"курсовая","PASS","LOW","approved"
"реферат","PASS","LOW","approved"
"студент","PASS","LOW","approved"
"сертификация специалиста","PASS","LOW","approved"
"школа","PASS","LOW","approved"
"с нуля","PASS","LOW","approved"
"скачать","PASS","LOW","approved"
"торрент","PASS","LOW","approved"
"crack","PASS","LOW","approved"
"кряк","PASS","LOW","approved"
"ключ активации","PASS","LOW","approved"
"бесплатно скачать","PASS","LOW","approved"
"установка платформы бесплатно","PASS","LOW","approved"
"инструкция","PASS","LOW","approved"
"руководство","PASS","LOW","approved"
"форум","PASS","LOW","approved"
"pdf","PASS","LOW","approved"
"книга","PASS","LOW","approved"
"своими руками","PASS","LOW","approved"
"самостоятельно","PASS","LOW","approved"
"что такое","PASS","LOW","approved"
"как стать","PASS","LOW","approved"
"документация","PASS","LOW","approved"
