"group_id","phrase","level"
"CORV-G08-01","интеграц","group"
"CORV-G08-01","маркировка","group"
"CORV-G08-01","честный знак","group"
"CORV-G08-01","вакансия","group"
"CORV-G08-01","курсы","group"
"CORV-G08-01","маркировка пива","group"
"CORV-G08-01","маркировка воды","group"
"CORV-G08-01","лекарства маркировка","group"
"CORV-G08-01","автозапчасти маркировка","group"
"CORV-G08-01","программист","group"
"CORV-G08-01","доработка","group"
"CORV-G08-02","настрой","group"
"CORV-G08-02","маркировка","group"
"CORV-G08-02","пиот настрой","group"
"CORV-G08-02","вакансия","group"
"CORV-G08-02","курсы","group"
"CORV-G08-02","маркировка пива","group"
"CORV-G08-02","маркировка воды","group"
"CORV-G08-02","лекарства маркировка","group"
"CORV-G08-02","автозапчасти маркировка","group"
"CORV-G08-02","программист","group"
"CORV-G08-02","доработка","group"
"CORV-G06-05","вода","group"
"CORV-G06-05","лекарств","group"
"CORV-G06-05","косметик","group"
"CORV-G06-05","автозапчаст","group"
"CORV-G06-05","масл","group"
"CORV-G06-05","алкогол","group"
"CORV-G06-05","программист вакансия","group"
"CORV-G06-05","доработка 1с","group"
"CORV-G06-05","сопровождение абонент","group"
"CORV-G06-05","битрикс","group"
"CORV-G06-05","интеграция сайт","group"
"CORV-G06-05","отчет","group"
"CORV-G06-05","печатная форма","group"
"CORV-G06-05","не работает 1с","group"
"CORV-G06-05","тс пиот","group"
"CORV-G06-05","как настроить","group"
"CORV-G06-05","как сделать","group"
"CORV-G06-05","подлежит маркировке","group"
"CORV-G06-05","сроки маркировки","group"
"CORV-G06-05","список маркируемых","group"
"CORV-G06-06","пив","group"
"CORV-G06-06","алкогол","group"
"CORV-G06-06","лекарств","group"
"CORV-G06-06","косметик","group"
"CORV-G06-06","автозапчаст","group"
"CORV-G06-06","программист вакансия","group"
"CORV-G06-06","доработка 1с","group"
"CORV-G06-06","сопровождение абонент","group"
"CORV-G06-06","битрикс","group"
"CORV-G06-06","интеграция сайт","group"
"CORV-G06-06","отчет","group"
"CORV-G06-06","печатная форма","group"
"CORV-G06-06","не работает 1с","group"
"CORV-G06-06","тс пиот","group"
"CORV-G06-06","как настроить","group"
"CORV-G06-06","как сделать","group"
"CORV-G06-06","подлежит маркировке","group"
"CORV-G06-06","сроки маркировки","group"
"CORV-G06-06","список маркируемых","group"
"CORV-G06-07","пив","group"
"CORV-G06-07","вода","group"
"CORV-G06-07","лекарств","group"
"CORV-G06-07","автозапчаст","group"
"CORV-G06-07","масл","group"
"CORV-G06-07","программист вакансия","group"
"CORV-G06-07","доработка 1с","group"
"CORV-G06-07","сопровождение абонент","group"
"CORV-G06-07","битрикс","group"
"CORV-G06-07","интеграция сайт","group"
"CORV-G06-07","отчет","group"
"CORV-G06-07","печатная форма","group"
"CORV-G06-07","не работает 1с","group"
"CORV-G06-07","тс пиот","group"
"CORV-G06-07","как настроить","group"
"CORV-G06-07","как сделать","group"
"CORV-G06-07","подлежит маркировке","group"
"CORV-G06-07","сроки маркировки","group"
"CORV-G06-07","список маркируемых","group"
"CORV-G06-08","пив","group"
"CORV-G06-08","вода","group"
"CORV-G06-08","косметик","group"
"CORV-G06-08","автозапчаст","group"
"CORV-G06-08","подлежит","group"
"CORV-G06-08","сроки","group"
"CORV-G06-08","как настроить","group"
"CORV-G06-08","программист вакансия","group"
"CORV-G06-08","доработка 1с","group"
"CORV-G06-08","сопровождение абонент","group"
"CORV-G06-08","битрикс","group"
"CORV-G06-08","интеграция сайт","group"
"CORV-G06-08","отчет","group"
"CORV-G06-08","печатная форма","group"
"CORV-G06-08","не работает 1с","group"
"CORV-G06-08","тс пиот","group"
"CORV-G06-08","как сделать","group"
"CORV-G06-08","подлежит маркировке","group"
"CORV-G06-08","сроки маркировки","group"
"CORV-G06-08","список маркируемых","group"
"CORV-G06-09","пив","group"
"CORV-G06-09","вода","group"
"CORV-G06-09","лекарств","group"
"CORV-G06-09","косметик","group"
"CORV-G06-09","программист вакансия","group"
"CORV-G06-09","доработка 1с","group"
"CORV-G06-09","сопровождение абонент","group"
"CORV-G06-09","битрикс","group"
