"keyword_id","group_id","positive_phrase","likely_intent","commercial_service","confidence","decision","reason","ad_match","landing_match","reviewer_status"
"kw-corv01-disc-2339","CORV-G08-01","1с розница подключение тс пиот","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2332","CORV-G08-01","настройка подключения к тс пиот 1с","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2351","CORV-G08-01","настройка подключения к тс пиот 1с розница","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2318","CORV-G08-01","настройка тс пиот в 1с розница","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2320","CORV-G08-01","настройка тс пиот в 1с розница 2.3","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2363","CORV-G08-01","настройка тс пиот в 1с розница 3","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2342","CORV-G08-01","настройка тс пиот в 1с розница 3.0","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2336","CORV-G08-01","настройка тс пиот в 1с унф","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2324","CORV-G08-01","настройка тс пиот в 1с ут","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2331","CORV-G08-01","настройка тс пиот в 1с ут 11.5","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2334","CORV-G08-01","не удалось подключиться к тс пиоту 1с","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2321","CORV-G08-01","подключение тс пиот к 1с","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2315","CORV-G08-01","тс пиот настройка в 1с","Заказ настройки или подключения системы в 1С","Настройка ТС ПИОТ в 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
"kw-corv01-disc-2317","CORV-G08-02","1с ут тс пиот","Коммерческий запрос по услуге группы CORV-G08-02","Интеграция ТС ПИОТ с 1С","HIGH","ACTIVE COMMERCIAL","clear_commercial_service_intent","yes","yes","REVIEWED"
