"keyword_id","phrase","group_id","change","decision","reason"
"kw-corv01-disc-2330","как подключить тс пиот к 1с","CORV-G08-01","EXCLUDED","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2358","тс пиот в 1с настройка инструкция","CORV-G08-01","EXCLUDED","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2340","тс пиот как установить в 1с","CORV-G08-02","EXCLUDED","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2277","лекарство без маркировки","CORV-G06-08","EXCLUDED","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2262","маркировка лекарств личный кабинет","CORV-G06-08","EXCLUDED","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2272","маркировка лекарств проверить","CORV-G06-08","EXCLUDED","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2263","маркировка лекарств честный знак личный кабинет","CORV-G06-08","EXCLUDED","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2275","маркировка лекарства с какого","CORV-G06-08","EXCLUDED","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2266","обязательной маркировки лекарств","CORV-G06-08","EXCLUDED","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2276","проверка маркировки лекарств","CORV-G06-08","EXCLUDED","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-2312","автозапчасти попадают под маркировку","CORV-G06-10","EXCLUDED","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2311","когда начнется маркировка автозапчастей","CORV-G06-10","EXCLUDED","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2300","маркировка автозапчастей 2026","CORV-G06-10","EXCLUDED","EXCLUDE EMPLOYMENT","operator_forensic_anchor_v4"
"kw-corv01-disc-2313","маркировка автозапчастей с какого года","CORV-G06-10","EXCLUDED","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"kw-corv01-disc-2308","маркировка автозапчастей честный знак 2026","CORV-G06-10","EXCLUDED","EXCLUDE EMPLOYMENT","operator_forensic_anchor_v4"
"kw-corv01-disc-2299","обязательная маркировка автозапчастей","CORV-G06-10","EXCLUDED","EXCLUDE REGULATORY","operator_forensic_anchor_v4"
"seed-CORV-G07-03-core-не-работает-","не работает обмен 1с","CORV-G07-03","EXCLUDED","ACTIVE COMMERCIAL","clear_commercial_service_intent"
"kw-corv01-disc-1600","как в 1с изменить печатную форму документа","CORV-G03-04","EXCLUDED","EXCLUDE INFORMATIONAL","operator_forensic_anchor_v4"
"kw-corv01-disc-809","тестирование доработок 1с","CORV-G02-01","EXCLUDED","EXCLUDE TRAINING","operator_forensic_anchor_v4"
"seed-CORV-G01-06-core-обслуживание","обслуживание 1с","CORV-G01-06","EXCLUDED","ACTIVE COMMERCIAL","clear_commercial_service_intent"
"kw-corv01-disc-037","1с программист 2026 стать","CORV-G01-01","EXCLUDED","EXCLUDE EMPLOYMENT","operator_forensic_anchor_v4"
"kw-corv01-disc-057","часа работы программиста 1с","CORV-G01-01","EXCLUDED","EXCLUDE EMPLOYMENT","operator_forensic_anchor_v4"
"kw-corv01-disc-058","часы работы программиста 1с","CORV-G01-01","EXCLUDED","EXCLUDE EMPLOYMENT","operator_forensic_anchor_v4"
