"ad_id","group_id","h1","h2","text","factual_risk","certainty_risk","unsupported","action","final_status"
"ad-CORV-G08-01-a1","CORV-G08-01","Настройка ТС ПИОТ в 1С","Корво Неро","Подключим и настроим ТС ПИОТ в 1С. Оценка по задаче.","none","none","none","KEEP","PASS"
"ad-CORV-G08-02-a1","CORV-G08-02","Интеграция ТС ПИОТ с 1С","Корво Неро","Свяжем ТС ПИОТ с учётом в 1С. Договор и безнал.","none","none","none","KEEP","PASS"
"ad-CORV-G06-05-a1","CORV-G06-05","Маркировка напитков в 1С","Пиво и алкоголь","Настроим маркировку напитков в 1С. Работа по договору.","none","none","none","KEEP","PASS"
"ad-CORV-G06-06-a1","CORV-G06-06","Маркировка воды в 1С","Корво Неро","Подключим маркировку воды в 1С. Оценка по базе.","none","none","none","KEEP","PASS"
"ad-CORV-G06-07-a1","CORV-G06-07","Маркировка косметики в 1С","Корво Неро","Настроим маркировку косметики в 1С для юрлиц. Работа по договору.","none","none","none","KEEP","PASS"
"ad-CORV-G06-08-a1","CORV-G06-08","Маркировка лекарств в 1С","Аптеки и опт","Настроим маркировку лекарств в 1С. Договор и безнал.","none","none","none","KEEP","PASS"
"ad-CORV-G06-09-a1","CORV-G06-09","Маркировка бытовой химии в 1С","Корво Неро","Подключим маркировку бытовой химии в 1С.","none","none","none","KEEP","PASS"
"ad-CORV-G06-10-a1","CORV-G06-10","Маркировка автозапчастей в 1С","Под задачу","Настроим маркировку автозапчастей в 1С. Оценка по номенклатуре.","none","none","none","KEEP","PASS"
"ad-CORV-G06-11-a1","CORV-G06-11","Маркировка масел в 1С","Корво Неро","Подключим маркировку масел в 1С. Работаем с юрлицами.","none","none","none","KEEP","PASS"
"ad-CORV-G06-12-a1","CORV-G06-12","Маркировка техники в 1С","Корво Неро","Настроим маркировку техники в 1С. Оценка по задаче. Договор, безнал.","none","none","none","KEEP","PASS"
"ad-CORV-G06-13-a1","CORV-G06-13","Маркировка стройматериалов в 1С","Корво Неро","Подключим маркировку стройматериалов в 1С.","none","none","none","KEEP","PASS"
"ad-CORV-G06-03-a1","CORV-G06-03","Честный знак и 1С","От 6000 ₽","Настроим работу с Честным знаком в 1С. Договор и безнал.","none","none","none","KEEP","PASS"
"ad-CORV-G06-03-a2","CORV-G06-03","Честный знак и 1С","3000 ₽/час","Разовые работы по 1С для юрлиц. Минимум 2 часа. Оставьте заявку.","none","none","none","KEEP","PASS"
"ad-CORV-G06-04-a1","CORV-G06-04","Ошибки маркировки в 1С","Помощь при сбоях","Поможем устранить ошибки маркировки и обмена в 1С. Оценка по симптомам.","none","none","none","KEEP","PASS"
"ad-CORV-G06-01-a1","CORV-G06-01","Подключение маркировки в 1С","Корво Неро","Настроим маркировку товаров в 1С. Работаем с юрлицами.","none","none","none","KEEP","PASS"
"ad-CORV-G06-02-a1","CORV-G06-02","Настройка маркировки в 1С","Под ваш товар","Подключим маркировку и обмен с ГИС МТ. Оценка по номенклатуре.","none","none","none","KEEP","PASS"
"ad-CORV-G07-03-a1","CORV-G07-03","Не работает обмен в 1С","Синхронизация","Поможем восстановить обмен и синхронизацию между базами 1С.","none","none","none","KEEP","PASS"
"ad-CORV-G07-02-a1","CORV-G07-02","Ошибка 1С после обновления","После обновления","Поможем устранить ошибки 1С после релиза. Оценка по симптомам.","none","none","none","SOFTEN","CORRECTED"
"ad-CORV-G07-04-a1","CORV-G07-04","Восстановление работы 1С","Корво Неро","Поможем вернуть 1С в рабочее состояние. Удалённо и с выездом.","none","none","none","KEEP","PASS"
"ad-CORV-G07-01-a1","CORV-G07-01","1С не работает — поможем","Новосибирск","Поможем восстановить работу 1С. От 6000 ₽. Оставьте заявку.","none","none","none","KEEP","PASS"
"ad-CORV-G07-01-a2","CORV-G07-01","Программа 1С не запускается","Диагностика","Проверим причину сбоя и предложим решение. Договор, безнал.","none","none","none","KEEP","PASS"
"ad-CORV-G05-02-a1","CORV-G05-02","Интеграция 1С и Битрикс","CRM и учёт","Настроим обмен 1С с Битрикс24. Работаем по договору.","none","none","none","KEEP","PASS"
"ad-CORV-G05-01-a1","CORV-G05-01","Интеграция 1С с сайтом","Обмен заказами","Свяжем 1С с сайтом: каталог, заказы, остатки. Оценка интеграции.","none","none","none","KEEP","PASS"
"ad-CORV-G05-03-a1","CORV-G05-03","Интеграция 1С с кассой","ККТ и розница","Подключим кассу и фискализацию к 1С. Оценка по оборудованию.","none","none","none","KEEP","PASS"
