"keyword_id","phrase","previous_group","new_group","semantic_reason","ad_landing_impact","negative_impact"
"kw-corv01-disc-2316","тс пиот 1с розница 2.3","CORV-G08-02","CORV-G08-01","pattern тс пиот.*розница → general owner CORV-G08-01","Ad/URL now /ts-piot-1c/","Cross-negatives recalculated for CORV-G08-01"
"kw-corv01-disc-2338","тс пиот 1с розница 3","CORV-G08-02","CORV-G08-01","pattern тс пиот.*розница → general owner CORV-G08-01","Ad/URL now /ts-piot-1c/","Cross-negatives recalculated for CORV-G08-01"
"kw-corv01-disc-2322","тс пиот 1с розница 3.0","CORV-G08-02","CORV-G08-01","pattern тс пиот.*розница → general owner CORV-G08-01","Ad/URL now /ts-piot-1c/","Cross-negatives recalculated for CORV-G08-01"
"kw-corv01-disc-2329","тс пиот и 1с розница","CORV-G08-02","CORV-G08-01","pattern тс пиот.*розница → general owner CORV-G08-01","Ad/URL now /ts-piot-1c/","Cross-negatives recalculated for CORV-G08-01"
"kw-corv01-disc-1257","тс пиот честный знак 1с розница","CORV-G08-02","CORV-G08-01","pattern тс пиот.*розница → general owner CORV-G08-01","Ad/URL now /ts-piot-1c/","Cross-negatives recalculated for CORV-G08-01"
"kw-corv01-disc-968","1с маркировка в производстве","CORV-G06-06","CORV-G06-01","pattern маркиров.*(производств|ввод в оборот) → general owner CORV-G06-01","Ad/URL now /markirovka-1c/","Cross-negatives recalculated for CORV-G06-01"
"kw-corv01-disc-922","1с маркировка ввод в оборот","CORV-G06-06","CORV-G06-01","pattern маркиров.*(производств|ввод в оборот) → general owner CORV-G06-01","Ad/URL now /markirovka-1c/","Cross-negatives recalculated for CORV-G06-01"
"kw-corv01-disc-1181","настройка обмена суз 1с честный знак","CORV-G06-03","CORV-G05-05","filter_priority 68 vs current score 65→90","Ad/URL now /sinhronizaciya-1c/","Cross-negatives recalculated for CORV-G05-05"
"kw-corv01-disc-1221","настройка обмена с честным знаком 1с","CORV-G06-03","CORV-G05-05","filter_priority 68 vs current score 50→90","Ad/URL now /sinhronizaciya-1c/","Cross-negatives recalculated for CORV-G05-05"
"kw-corv01-disc-1259","настройка обмена суз 1с честный знак розница","CORV-G06-03","CORV-G05-05","filter_priority 68 vs current score 65→90","Ad/URL now /sinhronizaciya-1c/","Cross-negatives recalculated for CORV-G05-05"
