"keyword_id","phrase","group_id","change","decision","reason"
"kw-corv01-disc-2265","маркировка лекарств препаратов","CORV-G06-08","EXCLUDED_OR_REASSIGNED_OUT","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «маркировка лекарств препаратов» — generic_pharma_listing_not_1c_service; не соответствует платной услуге «Маркировка лекарств в 1С»."
"kw-corv01-disc-2274","маркировка лекарств средств","CORV-G06-08","EXCLUDED_OR_REASSIGNED_OUT","EXCLUDE REGULATORY","EXCLUDE REGULATORY: «маркировка лекарств средств» — generic_pharma_listing_not_1c_service; не соответствует платной услуге «Маркировка лекарств в 1С»."
"kw-corv01-disc-036","вопрос программисту 1с","CORV-G01-01","EXCLUDED_OR_REASSIGNED_OUT","EXCLUDE INFORMATIONAL","EXCLUDE INFORMATIONAL: «вопрос программисту 1с» — qa_forum_style_not_hire_intent; не соответствует платной услуге «Услуги программиста 1С для организаций»."
"kw-corv01-disc-2340","тс пиот как установить в 1с","CORV-G08-02","ADDED_OR_RETAINED","ACTIVE COMMERCIAL",""
"kw-corv01-disc-2272","маркировка лекарств проверить","CORV-G06-08","ADDED_OR_RETAINED","ACTIVE COMMERCIAL",""
"kw-corv01-disc-2276","проверка маркировки лекарств","CORV-G06-08","ADDED_OR_RETAINED","ACTIVE COMMERCIAL",""
"kw-corv01-disc-2300","маркировка автозапчастей 2026","CORV-G06-10","ADDED_OR_RETAINED","ACTIVE COMMERCIAL",""
"kw-corv01-disc-2308","маркировка автозапчастей честный знак 2026","CORV-G06-10","ADDED_OR_RETAINED","ACTIVE COMMERCIAL",""
"kw-corv01-disc-1221","настройка обмена с честным знаком 1с","CORV-G05-05","ADDED_OR_RETAINED","REASSIGN GROUP",""
"kw-corv01-disc-1181","настройка обмена суз 1с честный знак","CORV-G05-05","ADDED_OR_RETAINED","REASSIGN GROUP",""
"kw-corv01-disc-1259","настройка обмена суз 1с честный знак розница","CORV-G05-05","ADDED_OR_RETAINED","REASSIGN GROUP",""
"kw-corv01-disc-809","тестирование доработок 1с","CORV-G02-01","ADDED_OR_RETAINED","ACTIVE COMMERCIAL",""
"kw-corv01-disc-037","1с программист 2026","CORV-G01-01","ADDED_OR_RETAINED","ACTIVE COMMERCIAL",""
"kw-corv01-disc-2316","тс пиот 1с розница 2.3","CORV-G08-01","REASSIGNED","","pattern тс пиот.*розница → general owner CORV-G08-01"
"kw-corv01-disc-2338","тс пиот 1с розница 3","CORV-G08-01","REASSIGNED","","pattern тс пиот.*розница → general owner CORV-G08-01"
"kw-corv01-disc-2322","тс пиот 1с розница 3.0","CORV-G08-01","REASSIGNED","","pattern тс пиот.*розница → general owner CORV-G08-01"
"kw-corv01-disc-2329","тс пиот и 1с розница","CORV-G08-01","REASSIGNED","","pattern тс пиот.*розница → general owner CORV-G08-01"
"kw-corv01-disc-1257","тс пиот честный знак 1с розница","CORV-G08-01","REASSIGNED","","pattern тс пиот.*розница → general owner CORV-G08-01"
"kw-corv01-disc-968","1с маркировка в производстве","CORV-G06-01","REASSIGNED","","pattern маркиров.*(производств|ввод в оборот) → general owner CORV-G06-01"
"kw-corv01-disc-922","1с маркировка ввод в оборот","CORV-G06-01","REASSIGNED","","pattern маркиров.*(производств|ввод в оборот) → general owner CORV-G06-01"
"kw-corv01-disc-1181","настройка обмена суз 1с честный знак","CORV-G05-05","REASSIGNED","","filter_priority 68 vs current score 65→90"
"kw-corv01-disc-1221","настройка обмена с честным знаком 1с","CORV-G05-05","REASSIGNED","","filter_priority 68 vs current score 50→90"
"kw-corv01-disc-1259","настройка обмена суз 1с честный знак розница","CORV-G05-05","REASSIGNED","","filter_priority 68 vs current score 65→90"
