"group_id","ad_id","headline_1","headline_2","text","landing_url","certainty_status"
"CORV-G08-01","ad-CORV-G08-01-a1","Настройка ТС ПИОТ в 1С","Корво Неро","Подключим и настроим ТС ПИОТ в 1С. Оценка по задаче.","https://lk.corvonero.ru/ts-piot-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G08-01&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G08-02","ad-CORV-G08-02-a1","Интеграция ТС ПИОТ с 1С","Корво Неро","Свяжем ТС ПИОТ с учётом в 1С. Договор и безнал.","https://lk.corvonero.ru/ts-piot-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G08-02&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-05","ad-CORV-G06-05-a1","Маркировка напитков в 1С","Пиво и алкоголь","Настроим маркировку напитков в 1С. Работа по договору.","https://lk.corvonero.ru/markirovka-napitkov-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-05&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-06","ad-CORV-G06-06-a1","Маркировка воды в 1С","Корво Неро","Подключим маркировку воды в 1С. Оценка по базе.","https://lk.corvonero.ru/markirovka-vody-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-06&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-07","ad-CORV-G06-07-a1","Маркировка косметики в 1С","Корво Неро","Настроим маркировку косметики в 1С для юрлиц. Работа по договору.","https://lk.corvonero.ru/markirovka-kosmetiki-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-07&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-08","ad-CORV-G06-08-a1","Маркировка лекарств в 1С","Аптеки и опт","Настроим маркировку лекарств в 1С. Договор и безнал.","https://lk.corvonero.ru/markirovka-lekarstv-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-08&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-09","ad-CORV-G06-09-a1","Маркировка бытовой химии в 1С","Корво Неро","Подключим маркировку бытовой химии в 1С.","https://lk.corvonero.ru/markirovka-byt-himii-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-09&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-10","ad-CORV-G06-10-a1","Маркировка автозапчастей в 1С","Под задачу","Настроим маркировку автозапчастей в 1С. Оценка по номенклатуре.","https://lk.corvonero.ru/markirovka-avtozapchastej-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-10&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-11","ad-CORV-G06-11-a1","Маркировка масел в 1С","Корво Неро","Подключим маркировку масел в 1С. Работаем с юрлицами.","https://lk.corvonero.ru/markirovka-masel-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-11&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-12","ad-CORV-G06-12-a1","Маркировка техники в 1С","Корво Неро","Настроим маркировку техники в 1С. Оценка по задаче. Договор, безнал.","https://lk.corvonero.ru/markirovka-tehniki-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-12&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-13","ad-CORV-G06-13-a1","Маркировка стройматериалов в 1С","Корво Неро","Подключим маркировку стройматериалов в 1С.","https://lk.corvonero.ru/markirovka-stroymaterialov-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-13&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-03","ad-CORV-G06-03-a1","Честный знак и 1С","От 6000 ₽","Настроим работу с Честным знаком в 1С. Договор и безнал.","https://lk.corvonero.ru/chestnyj-znak-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-03&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-03","ad-CORV-G06-03-a2","Честный знак и 1С","3000 ₽/час","Разовые работы по 1С для юрлиц. Минимум 2 часа. Оставьте заявку.","https://lk.corvonero.ru/chestnyj-znak-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-03_a2&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-04","ad-CORV-G06-04-a1","Ошибки маркировки в 1С","Помощь при сбоях","Поможем устранить ошибки маркировки и обмена в 1С. Оценка по симптомам.","https://lk.corvonero.ru/markirovka-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-04&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-01","ad-CORV-G06-01-a1","Подключение маркировки в 1С","Корво Неро","Настроим маркировку товаров в 1С. Работаем с юрлицами.","https://lk.corvonero.ru/markirovka-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-01&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G06-02","ad-CORV-G06-02-a1","Настройка маркировки в 1С","Под ваш товар","Подключим маркировку и обмен с ГИС МТ. Оценка по номенклатуре.","https://lk.corvonero.ru/markirovka-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G06-02&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G07-03","ad-CORV-G07-03-a1","Не работает обмен в 1С","Синхронизация","Поможем восстановить обмен и синхронизацию между базами 1С.","https://lk.corvonero.ru/obmen-1c-ne-rabotaet/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G07-03&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G07-02","ad-CORV-G07-02-a1","Ошибка 1С после обновления","После обновления","Поможем устранить ошибки 1С после релиза. Оценка по симптомам.","https://lk.corvonero.ru/1c-ne-rabotaet/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G07-02&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G07-01","ad-CORV-G07-01-a1","1С не работает — поможем","Новосибирск","Поможем восстановить работу 1С. От 6000 ₽. Оставьте заявку.","https://lk.corvonero.ru/1c-ne-rabotaet/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G07-01&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G07-01","ad-CORV-G07-01-a2","Программа 1С не запускается","Диагностика","Проверим причину сбоя и предложим решение. Договор, безнал.","https://lk.corvonero.ru/1c-ne-rabotaet/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G07-01_a2&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G05-02","ad-CORV-G05-02-a1","Интеграция 1С и Битрикс","CRM и учёт","Настроим обмен 1С с Битрикс24. Работаем по договору.","https://lk.corvonero.ru/integraciya-1c-bitrix/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G05-02&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G05-01","ad-CORV-G05-01-a1","Интеграция 1С с сайтом","Обмен заказами","Свяжем 1С с сайтом: каталог, заказы, остатки. Оценка интеграции.","https://lk.corvonero.ru/integraciya-1c-s-sajtom/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G05-01&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G05-03","ad-CORV-G05-03-a1","Интеграция 1С с кассой","ККТ и розница","Подключим кассу и фискализацию к 1С. Оценка по оборудованию.","https://lk.corvonero.ru/integraciya-1c-kassa/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G05-03&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G05-04","ad-CORV-G05-04-a1","Синхронизация и обмен 1С","Между базами","Настроим обмен и синхронизацию данных в 1С.","https://lk.corvonero.ru/sinhronizaciya-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G05-04&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G05-05","ad-CORV-G05-05-a1","Настройка обмена в 1С","Корво Неро","Настроим правила обмена между базами 1С. Договор, безнал.","https://lk.corvonero.ru/sinhronizaciya-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G05-05&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G03-04","ad-CORV-G03-04-a1","Доработка печатной формы 1С","Корво Неро","Изменим форму документа в 1С под ваши требования. Работа по договору.","https://lk.corvonero.ru/pechatnye-formy-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G03-04&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G03-06","ad-CORV-G03-06-a1","Настройка РМК в 1С","Касса и розница","Доработаем рабочее место кассира в 1С. Оценка по конфигурации.","https://lk.corvonero.ru/rmk-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G03-06&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G03-05","ad-CORV-G03-05-a1","Внешние отчёты и обработки 1С","Под задачу","Разработка внешних отчётов и обработок. Договор и безнал.","https://lk.corvonero.ru/otchety-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G03-05&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G03-02","ad-CORV-G03-02-a1","Создание отчёта в 1С","Под ваши данные","Разработаем новый отчёт в 1С. Работаем с юрлицами по договору.","https://lk.corvonero.ru/otchety-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G03-02&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G03-01","ad-CORV-G03-01-a1","Доработка отчёта в 1С","От 6000 ₽","Настроим или изменим отчёт под ваш учёт. Оценка до начала работ.","https://lk.corvonero.ru/otchety-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G03-01&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G03-01","ad-CORV-G03-01-a2","Доработка отчёта в 1С","3000 ₽/час","Разовые работы по 1С для юрлиц. Минимум 2 часа. Оставьте заявку.","https://lk.corvonero.ru/otchety-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G03-01_a2&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G03-03","ad-CORV-G03-03-a1","Печатные формы в 1С","Корво Неро","Создадим или изменим печатные формы. Оценка по макету.","https://lk.corvonero.ru/pechatnye-formy-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G03-03&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G02-04","ad-CORV-G02-04-a1","Обновление доработанной 1С","Предварительная оценка","Обновление доработанной 1С с предварительной оценкой. Работа по договору.","https://lk.corvonero.ru/obnovlenie-dorabotok-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G02-04&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G02-05","ad-CORV-G02-05-a1","Перенос доработок при обновлении","Оценка переноса","Перенос и адаптация доработок при обновлении. Оценка по базе.","https://lk.corvonero.ru/obnovlenie-dorabotok-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G02-05&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G02-06","ad-CORV-G02-06-a1","Исправление доработок после обновления","После релиза","Поможем восстановить работу доработок в 1С после релиза.","https://lk.corvonero.ru/obnovlenie-dorabotok-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G02-06&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G02-02","ad-CORV-G02-02-a1","Доработка конфигурации 1С","Корво Неро","Модули, расширения и логика в 1С. Работаем по договору.","https://lk.corvonero.ru/dorabotka-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G02-02&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G02-03","ad-CORV-G02-03-a1","Доработка базы 1С","Оценка до начала","Изменения в базе 1С с предварительной оценкой. Работа по договору.","https://lk.corvonero.ru/dorabotka-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G02-03&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G02-01","ad-CORV-G02-01-a1","Доработка 1С под вашу задачу","От 6000 ₽","Изменим конфигурацию и логику 1С. Оценка работ до старта.","https://lk.corvonero.ru/dorabotka-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G02-01&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G02-01","ad-CORV-G02-01-a2","Доработка 1С под вашу задачу","3000 ₽/час","Разовые работы по 1С для юрлиц. Минимум 2 часа. Оставьте заявку.","https://lk.corvonero.ru/dorabotka-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G02-01_a2&utm_term={keyword}","EVIDENCE_REVIEWED"
"CORV-G01-07","ad-CORV-G01-07-a1","Абонентское сопровождение 1С","Для организаций","Регулярная поддержка базы 1С. Договор и безналичная оплата.","https://lk.corvonero.ru/soprovozhdenie-1c/?utm_source=yandex&utm_medium=cpc&utm_campaign=corvonero_1c_search_nsk&utm_content=CORV-G01-07&utm_term={keyword}","EVIDENCE_REVIEWED"
