"group_id","status","keyword_count","export_to_xlsx"
"CORV-G08-01","ACTIVE","18","YES"
"CORV-G08-02","ACTIVE","10","YES"
"CORV-G06-05","ACTIVE NARROW","2","YES"
"CORV-G06-06","CONTROLLED TEST","3","YES"
"CORV-G06-07","ACTIVE NARROW","1","YES"
"CORV-G06-08","ACTIVE","8","YES"
"CORV-G06-09","ACTIVE NARROW","1","YES"
"CORV-G06-10","ACTIVE","10","YES"
"CORV-G06-11","ACTIVE NARROW","2","YES"
"CORV-G06-12","ACTIVE NARROW","1","YES"
"CORV-G06-13","ACTIVE NARROW","1","YES"
"CORV-G06-03","ACTIVE","25","YES"
"CORV-G06-04","ACTIVE NARROW","1","YES"
"CORV-G06-01","ACTIVE","18","YES"
"CORV-G06-02","CONTROLLED TEST","3","YES"
"CORV-G07-03","ACTIVE","4","YES"
"CORV-G07-02","ACTIVE","4","YES"
"CORV-G07-04","HOLD — NO VALID COMMERCIAL DEMAND","0","NO"
"CORV-G07-01","CONTROLLED TEST","3","YES"
"CORV-G05-02","ACTIVE","20","YES"
"CORV-G05-01","ACTIVE","9","YES"
"CORV-G05-03","ACTIVE","9","YES"
"CORV-G05-06","HOLD — NO VALID COMMERCIAL DEMAND","0","NO"
"CORV-G05-04","ACTIVE","20","YES"
"CORV-G05-05","ACTIVE","4","YES"
"CORV-G04-01","HOLD — NO VALID COMMERCIAL DEMAND","0","NO"
"CORV-G04-02","HOLD — NO VALID COMMERCIAL DEMAND","0","NO"
"CORV-G04-03","HOLD — NO VALID COMMERCIAL DEMAND","0","NO"
"CORV-G03-04","ACTIVE","6","YES"
"CORV-G03-06","ACTIVE NARROW","2","YES"
"CORV-G03-05","ACTIVE","18","YES"
"CORV-G03-02","ACTIVE NARROW","1","YES"
"CORV-G03-01","ACTIVE","4","YES"
"CORV-G03-03","ACTIVE","15","YES"
"CORV-G02-04","ACTIVE NARROW","2","YES"
"CORV-G02-05","ACTIVE NARROW","2","YES"
"CORV-G02-06","ACTIVE NARROW","1","YES"
"CORV-G02-02","ACTIVE","7","YES"
"CORV-G02-03","ACTIVE NARROW","1","YES"
"CORV-G02-01","ACTIVE","25","YES"
"CORV-G01-02","HOLD — NO VALID COMMERCIAL DEMAND","0","NO"
"CORV-G01-07","CONTROLLED TEST","3","YES"
"CORV-G01-06","HOLD — NO VALID COMMERCIAL DEMAND","0","NO"
"CORV-G01-05","ACTIVE","4","YES"
"CORV-G01-04","HOLD — NO VALID COMMERCIAL DEMAND","0","NO"
"CORV-G01-03","ACTIVE NARROW","2","YES"
"CORV-G01-08","ACTIVE NARROW","2","YES"
"CORV-G01-01","ACTIVE NARROW","2","YES"
