"keyword_id","phrase","group","decision","reason","commercial_conf","review_status"
"kw-corv01-disc-2339","1с розница подключение тс пиот","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «1с розница подключение тс пиот» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: розница, подключение, пиот.","HIGH","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2332","настройка подключения к тс пиот 1с","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка подключения к тс пиот 1с» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, подключения, пиот.","HIGH","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2351","настройка подключения к тс пиот 1с розница","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка подключения к тс пиот 1с розница» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, подключения, пиот, розница.","HIGH","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2318","настройка тс пиот в 1с розница","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с розница» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот, розница.","HIGH","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2320","настройка тс пиот в 1с розница 2.3","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «настройка тс пиот в 1с розниц","CONTROLLED","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2363","настройка тс пиот в 1с розница 3","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «настройка тс пиот в 1с розниц","CONTROLLED","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2342","настройка тс пиот в 1с розница 3.0","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «настройка тс пиот в 1с розниц","CONTROLLED","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2336","настройка тс пиот в 1с унф","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с унф» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот, унф.","HIGH","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2324","настройка тс пиот в 1с ут","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с ут» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот.","HIGH","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2331","настройка тс пиот в 1с ут 11.5","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «настройка тс пиот в 1с ут 11.5» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: настройка, пиот, 11.5.","HIGH","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2334","не удалось подключиться к тс пиоту 1с","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «не удалось подключиться к тс пиоту 1с» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: удалось, подключиться, пиоту.","HIGH","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2321","подключение тс пиот к 1с","CORV-G08-01","ACTIVE COMMERCIAL","ACTIVE: «подключение тс пиот к 1с» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: подключение, пиот.","HIGH","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2316","тс пиот 1с розница 2.3","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот 1с розница 2.3».","CONTROLLED","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2338","тс пиот 1с розница 3","CORV-G08-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот 1с розница 3».","CONTROLLED","SEMANTICALLY REVIEWED"
