"negative_id","negative","level","scope","final_state","exact_action"
"NEG-0001","работа программист","global","ALL","SAFE — PROVEN","RETAIN negative «работа программист» at global/ALL"
"NEG-0002","работа 1с","global","ALL","SAFE — PROVEN","RETAIN negative «работа 1с» at global/ALL"
"NEG-0003","работа на 1с","global","ALL","SAFE — PROVEN","RETAIN negative «работа на 1с» at global/ALL"
"NEG-0004","удаленная работа","global","ALL","SAFE — PROVEN","RETAIN negative «удаленная работа» at global/ALL"
"NEG-0005","ищу работу","global","ALL","SAFE — PROVEN","RETAIN negative «ищу работу» at global/ALL"
"NEG-0006","вакансии","global","ALL","SAFE — PROVEN","RETAIN negative «вакансии» at global/ALL"
"NEG-0007","вакансия","global","ALL","SAFE — PROVEN","RETAIN negative «вакансия» at global/ALL"
"NEG-0008","резюме","global","ALL","SAFE — PROVEN","RETAIN negative «резюме» at global/ALL"
"NEG-0009","зарплата","global","ALL","SAFE — PROVEN","RETAIN negative «зарплата» at global/ALL"
"NEG-0010","стажировка","global","ALL","SAFE — PROVEN","RETAIN negative «стажировка» at global/ALL"
"NEG-0011","стажер","global","ALL","SAFE — PROVEN","RETAIN negative «стажер» at global/ALL"
"NEG-0012","работодатель","global","ALL","SAFE — PROVEN","RETAIN negative «работодатель» at global/ALL"
"NEG-0013","трудоустройство","global","ALL","SAFE — PROVEN","RETAIN negative «трудоустройство» at global/ALL"
"NEG-0014","собеседование","global","ALL","SAFE — PROVEN","RETAIN negative «собеседование» at global/ALL"
"NEG-0015","hh.ru","global","ALL","SAFE — PROVEN","RETAIN negative «hh.ru» at global/ALL"
"NEG-0016","hh","global","ALL","SAFE — PROVEN","RETAIN negative «hh» at global/ALL"
"NEG-0017","superjob","global","ALL","SAFE — PROVEN","RETAIN negative «superjob» at global/ALL"
"NEG-0018","gorodrabot.ru","global","ALL","SAFE — PROVEN","RETAIN negative «gorodrabot.ru» at global/ALL"
"NEG-0019","zarplata.ru","global","ALL","SAFE — PROVEN","RETAIN negative «zarplata.ru» at global/ALL"
"NEG-0020","обучение","global","ALL","SAFE — PROVEN","RETAIN negative «обучение» at global/ALL"
"NEG-0021","курсы","global","ALL","SAFE — PROVEN","RETAIN negative «курсы» at global/ALL"
