"service_id","service_name","group","status","recovery_required","advertising_status"
"SVC-01","программист 1С","CORV-G01-01","ACTIVE NARROW","NO","MAY BE NARROW"
"SVC-02","услуги программиста 1С","CORV-G01-01","ACTIVE NARROW","NO","MAY BE NARROW"
"SVC-03","настройка 1С","CORV-G01-03","ACTIVE NARROW","NO","MAY BE NARROW"
"SVC-04","внедрение 1С","CORV-G01-04","HOLD — NO VALID COMMERCIAL DEMAND","YES","MUST REPRESENT IN CAMPAIGN"
"SVC-05","сопровождение 1С","CORV-G01-05","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-06","обслуживание 1С","CORV-G01-06","HOLD — NO VALID COMMERCIAL DEMAND","YES","MUST REPRESENT IN CAMPAIGN"
"SVC-07","разовые работы","CORV-G01-08","ACTIVE NARROW","NO","MAY BE NARROW"
"SVC-08","абонентское сопровождение","CORV-G01-07","CONTROLLED TEST","NO","CONTROLLED TEST"
"SVC-09","доработка 1С","CORV-G02-01","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-10","доработка конфигурации","CORV-G02-02","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-11","доработка существующей базы","CORV-G02-03","ACTIVE NARROW","NO","MAY BE NARROW"
"SVC-12","обновление доработанной 1С","CORV-G02-04","ACTIVE NARROW","NO","MAY BE NARROW"
"SVC-13","перенос и сохранение доработок","CORV-G02-05","ACTIVE NARROW","NO","MAY BE NARROW"
"SVC-14","исправление доработок после обновления","CORV-G02-06","ACTIVE NARROW","NO","MAY BE NARROW"
"SVC-15","настройка отчёта / доработка отчёта","CORV-G03-01","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-16","создание отчёта","CORV-G03-02","ACTIVE NARROW","NO","MAY BE NARROW"
"SVC-17","печатная форма / доработка печатной формы","CORV-G03-03","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-18","внешние отчёты и обработки","CORV-G03-05","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-19","РМК / рабочее место кассира","CORV-G03-06","ACTIVE NARROW","NO","MAY BE NARROW"
"SVC-20","расчёт себестоимости","CORV-G04-01","HOLD — NO VALID COMMERCIAL DEMAND","YES","MUST REPRESENT IN CAMPAIGN"
"SVC-21","планирование закупок","CORV-G04-02","HOLD — NO VALID COMMERCIAL DEMAND","YES","MUST REPRESENT IN CAMPAIGN"
"SVC-22","платёжный календарь","CORV-G04-03","HOLD — NO VALID COMMERCIAL DEMAND","YES","MUST REPRESENT IN CAMPAIGN"
"SVC-23","интеграция 1С с сайтом / обмен","CORV-G05-01","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-24","интеграция 1С Битрикс","CORV-G05-02","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-25","интеграция 1С с кассой","CORV-G05-03","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-26","синхронизация 1С","CORV-G05-04","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-27","настройка обмена","CORV-G05-05","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-28","перенос данных / миграция","CORV-G05-06","HOLD — NO VALID COMMERCIAL DEMAND","YES","MUST REPRESENT IN CAMPAIGN"
"SVC-29","маркировка и Честный знак (все категории)","CORV-G06-01","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
"SVC-30","неисправности / срочная помощь","CORV-G07-01","CONTROLLED TEST","NO","CONTROLLED TEST"
"SVC-31","ТС ПИОТ","CORV-G08-01","ACTIVE","NO","MUST REPRESENT IN CAMPAIGN"
