"keyword_id","phrase","group_id","status","source"
"seed-CORV-G07-04-core-восстановлен","восстановление работы 1с","CORV-G07-04","ACTIVE NARROW","restored_by_scope_recovery"
"kw-corv01-014","срочно программист 1с","CORV-G07-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"seed-CORV-G05-06-core-миграция-дан","миграция данных 1с","CORV-G05-06","ACTIVE NARROW","restored_by_scope_recovery"
"seed-CORV-G05-06-core-перенос-данн","перенос данных в 1с","CORV-G05-06","ACTIVE NARROW","restored_by_scope_recovery"
"seed-CORV-G04-01-core-расчет-себес","расчет себестоимости 1с","CORV-G04-01","ACTIVE NARROW","restored_by_scope_recovery"
"seed-CORV-G04-01-core-себестоимост","себестоимость в 1с","CORV-G04-01","ACTIVE NARROW","restored_by_scope_recovery"
"seed-CORV-G04-02-core-планирование","планирование закупок 1с","CORV-G04-02","ACTIVE NARROW","restored_by_scope_recovery"
"seed-CORV-G04-03-core-платежный-ка","платежный календарь 1с","CORV-G04-03","ACTIVE NARROW","restored_by_scope_recovery"
"seed-CORV-G03-02-core-новый-отчет-","новый отчет 1с","CORV-G03-02","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-002","программист 1с новосибирск","CORV-G01-02","ACTIVE NARROW","restored_by_scope_recovery"
"kw-corv01-disc-092","программисты 1с новосибирск","CORV-G01-02","ACTIVE NARROW","restored_by_scope_recovery"
"seed-CORV-G01-06-core-обслуживание","обслуживание 1с для организации","CORV-G01-06","ACTIVE NARROW","restored_by_scope_recovery"
"kw-corv01-disc-661","обслуживание и сопровождение 1с","CORV-G01-06","ACTIVE NARROW","restored_by_scope_recovery"
"kw-corv01-disc-717","сопровождение и обслуживание 1с предприятие","CORV-G01-06","ACTIVE NARROW","restored_by_scope_recovery"
"seed-CORV-G01-04-core-внедрение-1с","внедрение 1с","CORV-G01-04","ACTIVE NARROW","restored_by_scope_recovery"
"kw-corv01-disc-509","внедренцы и программисты 1с","CORV-G01-04","ACTIVE NARROW","restored_by_scope_recovery"
"kw-corv01-disc-499","1с программист без образования","CORV-G01-08","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-101","образование программист 1с","CORV-G01-08","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-591","программист 1с без высшего образования","CORV-G01-08","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-264","программист 1с высшее образование","CORV-G01-08","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"seed-CORV-G01-08-core-разовые-рабо","разовые работы 1с","CORV-G01-08","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-041","задание программисту 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-054","задачи 1с программиста","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-052","найти программиста 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-050","нужен программист 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-062","отзыв программисту 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-060","программа программист 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-001","программист 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-056","программист 1с предприятие","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-026","программист 1с удаленно","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-061","программист аналитик 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-038","программист разработчик 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-048","программисты 1с спб","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-053","работать программистом 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-064","сколько зарабатывает программист 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-033","сколько программистов 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-042","стал программистом 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-044","стоимость 1с программисты","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-059","стоимость часа 1с программиста","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-066","технические задания программистам 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
"kw-corv01-disc-034","часа программиста 1с","CORV-G01-01","ACTIVE COMMERCIAL","restored_by_scope_recovery"
