"group_id","phrase","tier","bid","rationale","source"
"CORV-G08-01","1с розница подключение тс пиот","T1","550","PRIMARY|SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-01","настройка подключения к тс пиот 1с","T1","542","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-01","настройка подключения к тс пиот 1с розница","T1","527","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-01","настройка тс пиот в 1с розница","T1","512","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-01","настройка тс пиот в 1с розница 2.3","T3","250","SPECIFIC_INTENT|V7_CONTROLLED_TIER","retained_from_v6"
"CORV-G08-01","настройка тс пиот в 1с розница 3","T3","250","SPECIFIC_INTENT|V7_CONTROLLED_TIER","retained_from_v6"
"CORV-G08-01","настройка тс пиот в 1с розница 3.0","T3","250","SPECIFIC_INTENT|V7_CONTROLLED_TIER","retained_from_v6"
"CORV-G08-01","настройка тс пиот в 1с унф","T1","452","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-01","настройка тс пиот в 1с ут","T1","450","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-01","настройка тс пиот в 1с ут 11.5","T1","450","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-01","не удалось подключиться к тс пиоту 1с","T1","450","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-01","подключение тс пиот к 1с","T1","450","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-01","тс пиот 1с розница 2.3","T3","250","SPECIFIC_INTENT|V7_CONTROLLED_TIER","retained_from_v6"
"CORV-G08-01","тс пиот 1с розница 3","T3","250","SPECIFIC_INTENT|V7_CONTROLLED_TIER","retained_from_v6"
"CORV-G08-01","тс пиот 1с розница 3.0","T3","250","SPECIFIC_INTENT|V7_CONTROLLED_TIER","retained_from_v6"
"CORV-G08-01","тс пиот и 1с розница","T3","250","SPECIFIC_INTENT|V7_CONTROLLED_TIER","retained_from_v6"
"CORV-G08-01","тс пиот настройка в 1с","T1","450","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-01","тс пиот честный знак 1с розница","T3","250","SPECIFIC_INTENT|V7_CONTROLLED_TIER","retained_from_v6"
"CORV-G08-02","1с ут тс пиот","T1","550","PRIMARY|SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-02","модуль тс пиот 1с","T1","542","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-02","тс пиот 1с атол","T1","527","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-02","тс пиот 1с бухгалтерия","T1","512","SPECIFIC_INTENT","retained_from_v6"
"CORV-G08-02","тс пиот 1с касса","T1","497","SPECIFIC_INTENT","retained_from_v6"
