"field","value"
"campaign_id","CORV-UNIFIED-01"
"campaign_name","Корво Неро — 1С услуги (Новосибирск)"
"version","v7.1"
"base_version","v7"
"regression_repair","v7.1-keyword-exclusion-and-xlsx-integrity"
"export_model","UNIFIED_SINGLE_CAMPAIGN"
"production_status","v7.1 regression repair candidate — operator XLSX review required"
"active_groups","48"
"active_keywords","305"
"held_groups","0"
"restored_groups","8"
"v6_commander_status","REJECTED — COMMERCIAL SCOPE LOSS"
"recovery_package","production/recovery/v7-production-input-package.json"
"collision_status","PASS"
