"group_id","phrase","final_action","explanation"
"CORV-G08-01","интеграц","REMOVE","blocks active phrase"
"CORV-G08-01","маркировка","REMOVE","blocks active phrase"
"CORV-G08-02","настрой","REMOVE","blocks active phrase"
"CORV-G08-02","маркировка","REMOVE","blocks active phrase"
"CORV-G08-02","пиот настрой","REMOVE","blocks active phrase"
"CORV-G06-05","вода","KEEP","no collision"
"CORV-G06-05","лекарств","REMOVE","blocks active phrase"
"CORV-G06-05","косметик","REMOVE","blocks active phrase"
"CORV-G06-05","автозапчаст","REMOVE","blocks active phrase"
"CORV-G06-05","масл","REMOVE","blocks active phrase"
"CORV-G06-05","алкогол","KEEP","no collision"
"CORV-G06-06","пив","REMOVE","blocks active phrase"
"CORV-G06-06","алкогол","KEEP","no collision"
"CORV-G06-06","лекарств","REMOVE","blocks active phrase"
"CORV-G06-06","косметик","REMOVE","blocks active phrase"
"CORV-G06-06","автозапчаст","REMOVE","blocks active phrase"
"CORV-G06-07","пив","REMOVE","blocks active phrase"
"CORV-G06-07","вода","KEEP","no collision"
"CORV-G06-07","лекарств","REMOVE","blocks active phrase"
"CORV-G06-07","автозапчаст","REMOVE","blocks active phrase"
"CORV-G06-07","масл","REMOVE","blocks active phrase"
"CORV-G06-08","пив","REMOVE","blocks active phrase"
"CORV-G06-08","вода","KEEP","no collision"
"CORV-G06-08","косметик","REMOVE","blocks active phrase"
"CORV-G06-08","автозапчаст","REMOVE","blocks active phrase"
"CORV-G06-08","подлежит","KEEP","no collision"
"CORV-G06-08","сроки","KEEP","no collision"
"CORV-G06-08","как настроить","KEEP","no collision"
"CORV-G06-09","пив","REMOVE","blocks active phrase"
"CORV-G06-09","вода","KEEP","no collision"
"CORV-G06-09","лекарств","REMOVE","blocks active phrase"
"CORV-G06-09","косметик","REMOVE","blocks active phrase"
"CORV-G06-10","лекарств","REMOVE","blocks active phrase"
"CORV-G06-10","пив","REMOVE","blocks active phrase"
"CORV-G06-10","вода","KEEP","no collision"
"CORV-G06-10","косметик","REMOVE","blocks active phrase"
"CORV-G06-10","подлежит","KEEP","no collision"
"CORV-G06-10","сроки","KEEP","no collision"
"CORV-G06-10","какие","KEEP","no collision"
"CORV-G06-11","пив","REMOVE","blocks active phrase"
"CORV-G06-11","вода","KEEP","no collision"
"CORV-G06-11","лекарств","REMOVE","blocks active phrase"
