"anchor_or_service","found","group","status","export_present"
"расчет себестоимости 1с","YES","CORV-G04-01","ACTIVE NARROW","YES"
"себестоимость в 1с","YES","CORV-G04-01","ACTIVE NARROW","YES"
"планирование закупок 1с","YES","CORV-G04-02","ACTIVE NARROW","YES"
"платежный календарь 1с","YES","CORV-G04-03","ACTIVE NARROW","YES"
"перенос данных в 1с","YES","CORV-G05-06","ACTIVE NARROW","YES"
"миграция данных 1с","YES","CORV-G05-06","ACTIVE NARROW","YES"
"внедрение 1с","YES","CORV-G01-04","ACTIVE NARROW","YES"
"обслуживание 1с","YES","CORV-G01-06","ACTIVE NARROW","YES"
"обслуживание 1с для организации","YES","CORV-G01-06","ACTIVE NARROW","YES"
"программист 1с новосибирск","YES","CORV-G01-02","ACTIVE NARROW","YES"
"восстановление работы 1с","YES","CORV-G07-04","ACTIVE NARROW","YES"
"срочно программист 1с","YES","CORV-G07-01","ACTIVE COMMERCIAL","YES"
"---","---","---","---","---"
"service_families_represented","31","","PASS",""
"commercial_seed_loss","0","","",""
