"exact path","item type","directory/file","size bytes","size readable","planned action","post_cleanup_status","protected status","reason"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-stable-v1-near-production-freeze-20260718-004137","backup","directory","1251968899","1,17 GB","PROTECT","PRESENT","PROTECTED","Hard-protected Stable/milestone freeze"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e63-before-stable-v1-closeout-20260718-003355","backup","directory","1543396000","1,44 GB","KEEP_UNTIL_PRODUCTION","PRESENT","PROTECTED","Hard-protected Stable/milestone freeze"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e58-current-baseline-freeze-before-visual-audit-20260716-225434","backup","directory","1423721749","1,33 GB","PROTECT","PRESENT","PROTECTED","Hard-protected Stable/milestone freeze"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e53-admin-ux-section-styling-freeze-accepted-before-experience-pack-20260716-053214","backup","directory","122050690","116,40 MB","PROTECT","PRESENT","PROTECTED","Hard-protected Stable/milestone freeze"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e54-after-web-gpt-chat-migration-before-floating-header-work-20260716-150606","backup","directory","1051030051","1 002,34 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e54-fix01-before-background-menu-scroll-fix-20260716-153527","backup","directory","70835","69,17 KB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e55-before-site-settings-admin-ux-20260716-162242","backup","directory","12881","12,58 KB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e56-before-operator-refinements-batch-01-20260716-181633","backup","directory","1081577529","1,01 GB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e56-fu01-before-hero-slider-font-follow-up-20260716-191824","backup","directory","1996530","1,90 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e56-fu02-before-libertinus-serif-20260716-210337","backup","directory","7227942","6,89 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
