"exact path","item type","directory/file","size bytes","size readable","created time","modified time","related wave","protected status","replacement authority","ownership confidence","planned action","deletion risk","reason"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-stable-v1-near-production-freeze-20260718-004137","backup","directory","1251968899","1,17 GB","2026-07-18T00:41:37","2026-07-18T00:41:49","E63-Stable","PROTECTED","n/a — authoritative","HIGH","PROTECT","CRITICAL","Hard-protected Stable/milestone freeze"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e63-before-stable-v1-closeout-20260718-003355","backup","directory","1543396000","1,44 GB","2026-07-18T00:33:55","2026-07-18T00:34:54","E63-Stable","PROTECTED","n/a — authoritative","HIGH","KEEP_UNTIL_PRODUCTION","CRITICAL","Hard-protected Stable/milestone freeze"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e58-current-baseline-freeze-before-visual-audit-20260716-225434","backup","directory","1423721749","1,33 GB","2026-07-16T22:54:34","2026-07-16T22:55:15","E58","PROTECTED","n/a — authoritative","HIGH","PROTECT","CRITICAL","Hard-protected Stable/milestone freeze"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e53-admin-ux-section-styling-freeze-accepted-before-experience-pack-20260716-053214","backup","directory","122050690","116,40 MB","2026-07-16T05:33:38","2026-07-16T05:33:55","E53","PROTECTED","n/a — authoritative","HIGH","PROTECT","CRITICAL","Hard-protected Stable/milestone freeze"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e54-after-web-gpt-chat-migration-before-floating-header-work-20260716-150606","backup","directory","1051030051","1 002,34 MB","2026-07-16T15:06:06","2026-07-16T15:06:17","E54","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","MED","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e54-fix01-before-background-menu-scroll-fix-20260716-153527","backup","directory","70835","69,17 KB","2026-07-16T15:35:27","2026-07-16T15:35:28","E54","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e55-before-site-settings-admin-ux-20260716-162242","backup","directory","12881","12,58 KB","2026-07-16T16:22:42","2026-07-16T16:22:42","E55","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e56-before-operator-refinements-batch-01-20260716-181633","backup","directory","1081577529","1,01 GB","2026-07-16T18:16:33","2026-07-16T18:24:43","E56","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","MED","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e56-fu01-before-hero-slider-font-follow-up-20260716-191824","backup","directory","1996530","1,90 MB","2026-07-16T19:18:24","2026-07-16T19:18:25","E56","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e56-fu02-before-libertinus-serif-20260716-210337","backup","directory","7227942","6,89 MB","2026-07-16T21:03:37","2026-07-16T21:03:37","E56","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e57-before-lifebuoy-global-parallax-20260716-212623","backup","directory","1442192","1,38 MB","2026-07-16T21:26:23","2026-07-16T21:26:23","E57","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e57-fix01-before-lifebuoy-motion-refinement-20260716-214936","backup","directory","1383175","1,32 MB","2026-07-16T21:49:36","2026-07-16T21:49:36","E57","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e57-fix02-before-lifebuoy-start-reveal-easing-rotation-20260716-220628","backup","directory","1373048","1,31 MB","2026-07-16T22:06:28","2026-07-16T22:06:28","E57","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e59-before-layout-polish-maps-footer-comfort-admin-20260717-001046","backup","directory","293509283","279,91 MB","2026-07-17T00:10:46","2026-07-17T00:10:48","E59","RETAIN_PENDING","Stable freeze may cover; mid-size DB era","HIGH","MANUAL_REVIEW","MED","Phase2 MANUAL_REVIEW mid-size checkpoint"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e59-fix01-before-comfort-contacts-footer-corrections-20260717-013408","backup","directory","295300476","281,62 MB","2026-07-17T01:34:08","2026-07-17T01:34:30","E59","RETAIN_PENDING","Stable freeze may cover; mid-size DB era","HIGH","MANUAL_REVIEW","MED","Phase2 MANUAL_REVIEW mid-size checkpoint"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e60-before-nav-breadcrumb-cta-service-links-20260717-015352","backup","directory","7724134","7,37 MB","2026-07-17T01:53:52","2026-07-17T01:53:53","E60","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e60-fix01-before-breadcrumb-subnav-reviews-correction-20260717-020758","backup","directory","9229585","8,80 MB","2026-07-17T02:07:58","2026-07-17T02:07:58","E60","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e61-before-admin-controls-contacts-blog-reviews-ocentre-home-20260717-141747","backup","directory","294330379","280,70 MB","2026-07-17T14:17:47","2026-07-17T14:19:23","E61","RETAIN_PENDING","Stable freeze may cover; mid-size DB era","HIGH","MANUAL_REVIEW","MED","Phase2 MANUAL_REVIEW mid-size checkpoint"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62a-before-404-breadcrumb-wrapper-phone-mask-20260717-160948","backup","directory","6997834","6,67 MB","2026-07-17T16:09:48","2026-07-17T16:09:59","E62A","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62b-before-blog-reviews-pagination-seo-demo-content-20260717-162925","backup","directory","7632208","7,28 MB","2026-07-17T16:29:25","2026-07-17T16:29:26","E62B","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62c-before-ocentre-service-admin-review-anchor-final-regression-20260717-164734","backup","directory","8614830","8,22 MB","2026-07-17T16:47:34","2026-07-17T16:47:48","E62C","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62d-before-program-mini-descriptions-404-figma-correction-20260717-170730","backup","directory","10284388","9,81 MB","2026-07-17T17:07:30","2026-07-17T17:07:31","E62D","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62e-before-404-decor-wordpress-search-20260717-173256","backup","directory","6191728","5,90 MB","2026-07-17T17:32:56","2026-07-17T17:33:03","E62E","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62e-fix01-before-search-wrapper-trigger-placement-20260717-174720","backup","directory","8246079","7,86 MB","2026-07-17T17:47:20","2026-07-17T17:48:45","E62E","REMOVABLE","Stable freeze + E63 pre-closeout + E58","HIGH","DELETE_CONFIRMED","LOW","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\foundation-001","backup-pre-E54","directory","53138712","50,68 MB","2026-06-29T20:39:50","2026-06-29T20:39:50","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
