"path","type","size","action","result","error","timestamp","replacement authority"
"X:\AI MARS STORAGE\git-sync-fp0002-e38-e51-20260716-031000","git-sync-empty","0","DELETE","OK","","2026-07-18T01:33:41.1398019+07:00","n/a empty"
"X:\AI MARS STORAGE\git-sync-fp0002-e58-20260716-225851","git-sync-empty","0","DELETE","OK","","2026-07-18T01:33:41.1567080+07:00","n/a empty"
"X:\AI MARS STORAGE\git-sync-fp0002-e63-stable-v1-20260718-004331","git-worktree-parent","3214791613","DELETE","OK","","2026-07-18T01:33:51.9004321+07:00","origin@9d5dcc28"
"X:\AI MARS STORAGE\git-sync-fp0002-push-divergence-20260716-040930","git-worktree-parent","2880471904","DELETE","OK","","2026-07-18T01:34:01.1444763+07:00","origin tip (ancestor)"
"X:/AI MARS STORAGE/git-sync-fp0002-e29b-fix2c-20260710-180821","git-worktree","2805949937","DELETE","OK","","2026-07-18T01:34:08.1681865+07:00","origin tip (ancestor)"
"X:\AI MARS STORAGE\git-sync-fp0002-e29c-e35-20260713-032549","git-worktree","474400474","SKIP","MANUAL_REVIEW","unpushed commits not on remote tip","2026-07-18T01:34:08.2519377+07:00","retain until operator resolves branch"
"git worktree prune","git-metadata","0","PRUNE","OK","","2026-07-18T01:34:08.3144365+07:00","stale metadata only"
"X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\debug.log","runtime-log","3847501","DELETE","OK","","2026-07-18T01:34:26.5954168+07:00","regenerable debug.log"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e54-after-web-gpt-chat-migration-before-floating-header-work-20260716-150606","backup","1051030051","DELETE","OK","","2026-07-18T01:34:30.1797630+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e54-fix01-before-background-menu-scroll-fix-20260716-153527","backup","70835","DELETE","OK","","2026-07-18T01:34:30.2021822+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e55-before-site-settings-admin-ux-20260716-162242","backup","12881","DELETE","OK","","2026-07-18T01:34:30.2276704+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e56-before-operator-refinements-batch-01-20260716-181633","backup","1081577529","DELETE","OK","","2026-07-18T01:34:34.9364142+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e56-fu01-before-hero-slider-font-follow-up-20260716-191824","backup","1996530","DELETE","OK","","2026-07-18T01:34:34.9769957+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e56-fu02-before-libertinus-serif-20260716-210337","backup","7227942","DELETE","OK","","2026-07-18T01:34:35.0063095+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e57-before-lifebuoy-global-parallax-20260716-212623","backup","1442192","DELETE","OK","","2026-07-18T01:34:35.0315331+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e57-fix01-before-lifebuoy-motion-refinement-20260716-214936","backup","1383175","DELETE","OK","","2026-07-18T01:34:35.0488499+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e57-fix02-before-lifebuoy-start-reveal-easing-rotation-20260716-220628","backup","1373048","DELETE","OK","","2026-07-18T01:34:35.0623628+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e60-before-nav-breadcrumb-cta-service-links-20260717-015352","backup","7724134","DELETE","OK","","2026-07-18T01:34:35.1389256+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e60-fix01-before-breadcrumb-subnav-reviews-correction-20260717-020758","backup","9229585","DELETE","OK","","2026-07-18T01:34:35.1647867+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62a-before-404-breadcrumb-wrapper-phone-mask-20260717-160948","backup","6997834","DELETE","OK","","2026-07-18T01:34:35.1999378+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62b-before-blog-reviews-pagination-seo-demo-content-20260717-162925","backup","7632208","DELETE","OK","","2026-07-18T01:34:35.2436785+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62c-before-ocentre-service-admin-review-anchor-final-regression-20260717-164734","backup","8614830","DELETE","OK","","2026-07-18T01:34:35.2874586+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62d-before-program-mini-descriptions-404-figma-correction-20260717-170730","backup","10284388","DELETE","OK","","2026-07-18T01:34:35.3256788+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62e-before-404-decor-wordpress-search-20260717-173256","backup","6191728","DELETE","OK","","2026-07-18T01:34:35.3618471+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62e-fix01-before-search-wrapper-trigger-placement-20260717-174720","backup","8246079","DELETE","OK","","2026-07-18T01:34:35.3993415+07:00","Stable freeze + E63 pre-closeout + E58"
"X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\REPORTS\evidence\v9-06e54-fix01-floating-header\_probe\node_modules","evidence-node_modules","17580723","DELETE","OK","","2026-07-18T01:34:35.4924015+07:00","regenerable playwright; scripts/screenshots retained"
