"route","status","bytes","php_noise","has_v9_css","has_v9_js"
"/","200","188179","False","True","True"
"/uslugi/","200","127368","False","True","True"
"/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/","200","141250","False","True","True"
"/o-centre/","200","135952","False","True","True"
"/kontakty/","200","78589","False","True","True"
"/blog/","200","89294","False","True","True"
"/blog/page/2/","200","78533","False","True","True"
"/otzyvy/","200","89552","False","True","True"
"/otzyvy/page/2/","200","94074","False","True","True"
"/?s=","200","68528","False","True","True"
"/?s=%D0%B0","200","81900","False","True","True"
"/this-route-does-not-exist-e64-404/","404","69527","False","True","True"
