"exact absolute path","artifact type","size bytes","size readable","created time","modified time","related wave","current status","unique content detected","replacement authority","documentation references","ownership confidence","proposed disposition","risk","rationale"
"X:\AI MARS STORAGE\git-sync-fp0002-e29c-e35-20260713-032549","git-worktree","474400474","452,42 MB","2026-07-13T03:29:07.1099368+07:00","2026-07-13T03:30:07.5268683+07:00","E29C-E37","PRESENT","YES-6-commits-unreachable-from-remote","X:\AI MARS STORAGE\historical-packs\fp-0002\e29c-e35","E64-GIT-WORKTREE-CLEANUP; E29C/E36 reports","HIGH","PRESERVE_COMPACT_THEN_DELETE","HIGH","Unique Git history compactly preserved; product evolved in Stable v1; worktree clean"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e59-before-layout-polish-maps-footer-comfort-admin-20260717-001046","backup","293509283","279,91 MB","2026-07-17T00:10:46.1962872+07:00","2026-07-17T00:10:48.6118882+07:00","E59","PRESENT","YES-prewave-DB-and-hashes","X:\AI MARS STORAGE\historical-packs\fp-0002\manual-review-e65-20260718-015731\e59-e61-compact\e59","REPORT-E59; Phase2 MANUAL_REVIEW","HIGH","PRESERVE_COMPACT_THEN_DELETE","MED","Not protected freeze; compact DB+manifest preserved; superseded by E63/Stable"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e59-fix01-before-comfort-contacts-footer-corrections-20260717-013408","backup","295300476","281,62 MB","2026-07-17T01:34:08.0839734+07:00","2026-07-17T01:34:30.4221604+07:00","E59-FIX01","PRESENT","YES-scoped-files+DB","X:\AI MARS STORAGE\historical-packs\fp-0002\manual-review-e65-20260718-015731\e59-e61-compact\e59-fix01","REPORT-E59-FIX01","HIGH","PRESERVE_COMPACT_THEN_DELETE","MED","Scoped evidence compacted; full tree redundant vs E63/Stable"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e61-before-admin-controls-contacts-blog-reviews-ocentre-home-20260717-141747","backup","294330379","280,70 MB","2026-07-17T14:17:47.3380044+07:00","2026-07-17T14:19:23.5760828+07:00","E61","PRESENT","YES-pre-migration-DB+operator-edits","X:\AI MARS STORAGE\historical-packs\fp-0002\manual-review-e65-20260718-015731\e59-e61-compact\e61","REPORT-E61; E63 lineage","HIGH","PRESERVE_COMPACT_THEN_DELETE","MED-HIGH","DB migration rollback covered by E63/Stable dumps; compact SQL+operator-edits kept"
"X:\AI MARS STORAGE\exports\fp-0002-shpigovsky-persistence","storage-export","24836381","23,69 MB","2026-07-13T03:25:49.5595854+07:00","2026-07-13T04:20:49.4391835+07:00","E29C-E37","PRESENT","PARTIAL-unique-commit-meta","X:\AI MARS STORAGE\historical-packs\fp-0002\manual-review-e65-20260718-015731\persistence-export-unique","E64 MANUAL_REVIEW","HIGH","PRESERVE_COMPACT_THEN_DELETE","LOW","Most inventories duplicate source validation; unique meta preserved"
"X:\AI MARS STORAGE\exports\fp-0002-shpigovsky-preview","storage-export","267736382","255,33 MB","2026-07-10T22:35:04.0156230+07:00","2026-07-10T22:37:37.3875312+07:00","E29","PRESENT","YES-preview-deploy-package+DB","KEEP","E29 preview package docs","HIGH","KEEP_UNTIL_PRODUCTION","LOW","Unique early preview deploy package; not reproducible from Stable freeze alone"
"X:\AI MARS STORAGE\exports\fp-0002-shpigovsky-home-freeze","storage-export","492273","480,74 KB","2026-07-14T03:34:07.8903017+07:00","2026-07-14T03:34:07.8903017+07:00","E42","PRESENT","YES-home-freeze-inventories","KEEP + E42 freeze backup","E42 freeze reports","HIGH","KEEP_HISTORICAL","LOW","Small unique home-freeze evidence pack"
"X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\assets\video\sergey-shpigovsky-interview.mp4.BROKEN-MPEGTS.bak","source-bak","27328432","26,06 MB","2026-07-16T18:25:32.2126847+07:00","2026-07-02T15:53:51.6296781+07:00","pre-E56","PRESENT","YES-broken-mpegts","Stable+E63 freeze copies","E64 SOURCE-JUNK","HIGH","DELETE_CONFIRMED","LOW","Identical copies in protected freezes; working MP4 differs and remains"
"X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\validation\v9-06e56-operator-refinements\group_fp02_block_comfort.pre-split.json.bak","source-bak","30790","30,07 KB","2026-07-16T18:25:10.4272246+07:00","2026-07-16T18:25:10.4282214+07:00","E56","PRESENT","YES-pre-split-ACF-group","X:\AI MARS STORAGE\historical-packs\fp-0002\manual-review-e65-20260718-015731\source-bak","TASK-I comfort split","HIGH","PRESERVE_COMPACT_THEN_DELETE","LOW","Split groups are current authority; bak compacted"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\node_modules","backup-junk","12703248","12,11 MB","2026-07-16T18:29:20.9836756+07:00","2026-07-16T18:29:21.3797510+07:00","pre-E54","PRESENT","NO-playwright-deps","n/a","E64 inventory","HIGH","DELETE_CONFIRMED","LOW","Junk under backup root"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e53-admin-ux-section-styling-freeze-accepted-before-experience-pack-20260716-053214","backup-freeze","122050690","116,40 MB","2026-07-16T05:33:38.1078061+07:00","2026-07-16T05:33:55.4124276+07:00","E53","PRESENT","YES-accepted-admin-UX","PROTECTED","Phase1/Phase2 must-retain","HIGH","KEEP_PROTECTED","n/a","Mandatory protected freeze"
