"path","bytes_before","readable","exists"
"X:\AI MARS STORAGE\git-sync-fp0002-e29c-e35-20260713-032549\repo","474400474","452,42 MB","True"
"X:\AI MARS STORAGE\git-sync-fp0002-e29c-e35-20260713-032549","474400474","452,42 MB","True"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e59-before-layout-polish-maps-footer-comfort-admin-20260717-001046","293509283","279,91 MB","True"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e59-fix01-before-comfort-contacts-footer-corrections-20260717-013408","295300476","281,62 MB","True"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e61-before-admin-controls-contacts-blog-reviews-ocentre-home-20260717-141747","294330379","280,70 MB","True"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\node_modules","12703248","12,11 MB","True"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2c-filesystem-delivery-pre-20260702T180312Z","17212","16,81 KB","True"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d1-rerun-runtime-delivery-pre-20260704-032308","22999","22,46 KB","True"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9l-admin-editor-acf-visibility-pre-20260705-221742",,"0 B","True"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e19-reusable-blocks-admin-visibility-repair-pre-20260708-004956",,"0 B","True"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e25a-service-duplicate-action-visibility-repair-pre-20260708T181644Z",,"0 B","True"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e52-generic-pages-demo-acf-sot-placeholder-before-20260716-043208","0","0 B","True"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e8-static-v9-content-main-layout-authority-repair-pre-20260706-230033",,"0 B","True"
"X:\AI MARS STORAGE\exports\fp-0002-shpigovsky-persistence","24836381","23,69 MB","True"
"X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\assets\video\sergey-shpigovsky-interview.mp4.BROKEN-MPEGTS.bak","27328432","26,06 MB","True"
"X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\validation\v9-06e56-operator-refinements\group_fp02_block_comfort.pre-split.json.bak","30790","30,07 KB","True"
