"path","disposition","status","rationale"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\node_modules","DELETE_CONFIRMED","DELETED","empty/junk/exact-duplicate-tiny"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2c-filesystem-delivery-pre-20260702T180312Z","DELETE_CONFIRMED","DELETED","empty/junk/exact-duplicate-tiny"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d1-rerun-runtime-delivery-pre-20260704-032308","DELETE_CONFIRMED","DELETED","empty/junk/exact-duplicate-tiny"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9l-admin-editor-acf-visibility-pre-20260705-221742","DELETE_CONFIRMED","DELETED","empty/junk/exact-duplicate-tiny"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e19-reusable-blocks-admin-visibility-repair-pre-20260708-004956","DELETE_CONFIRMED","DELETED","empty/junk/exact-duplicate-tiny"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e25a-service-duplicate-action-visibility-repair-pre-20260708T181644Z","DELETE_CONFIRMED","DELETED","empty/junk/exact-duplicate-tiny"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e52-generic-pages-demo-acf-sot-placeholder-before-20260716-043208","DELETE_CONFIRMED","DELETED","empty/junk/exact-duplicate-tiny"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e8-static-v9-content-main-layout-authority-repair-pre-20260706-230033","DELETE_CONFIRMED","DELETED","empty/junk/exact-duplicate-tiny"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e42-home-freeze-accepted-before-next-page-types-20260714-033407","KEEP_HISTORICAL","PRESENT","Phase1 accepted freeze / uniquely cited milestone"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e44-services-hub-freeze-before-layout-governance-20260714-051559","KEEP_HISTORICAL","PRESENT","Phase1 accepted freeze / uniquely cited milestone"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-service-general-freeze-accepted-before-next-phase-20260715-175228","KEEP_HISTORICAL","PRESENT","Phase1 accepted freeze / uniquely cited milestone"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e49-full-service-rollout-freeze-accepted-before-next-phase-20260716-021704","KEEP_HISTORICAL","PRESENT","Phase1 accepted freeze / uniquely cited milestone"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e49-full-service-rollout-freeze-accepted-after-fix01-before-next-phase-20260716-025224","KEEP_HISTORICAL","PRESENT","Phase1 accepted freeze / uniquely cited milestone"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e50-service-sections-demo-acf-sot-freeze-accepted-before-next-phase-20260715-230201","KEEP_HISTORICAL","PRESENT","Phase1 accepted freeze / uniquely cited milestone"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e51-placeholder-mode-freeze-accepted-before-next-phase-20260716-013604","KEEP_HISTORICAL","PRESENT","Phase1 accepted freeze / uniquely cited milestone"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e53-admin-ux-section-styling-freeze-accepted-before-experience-pack-20260716-053214","KEEP_PROTECTED","PRESENT","Phase1 accepted freeze / uniquely cited milestone"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\foundation-001","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\foundation-002-v9-pre-implementation","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\foundation-002a-pre-access-encoding-wpilot","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171216Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171254Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171341Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171432Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171556Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171715Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2c-filesystem-delivery-pre-20260702T180335Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\rewrite-flush-micro-gate-pre-20260704-174923","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\rewrite-rule-repair-pre-20260704-190040","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d1-rerun-runtime-delivery-pre-20260704-032355","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d2-object-skeleton-pre-20260704-040407","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d4-rerun-minimal-content-seed-pre-20260704-054146","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
