"repository_relative_source_path","category","stable_v1_hash","v9_07a01_hash","change_purpose","required_on_production","production_destination_relative_path","overwrite_action","dependency","rollback_file_source"
"workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/program-direction-helpers.php","theme","3459496AD6DB1CD36A2E4A63079B1CF36990CEDCC56B354A847F07E595BC03F2","E4338CF960C807DF5AC992B714B6C4227A07953CBDD8F8CD724372368B569459","Program auto-source from live WP children","YES","wp-content/themes/shpigovsky/inc/program-direction-helpers.php","OVERWRITE","none","production pre-upload copy (primary); Stable v1 freeze canonical-source as secondary reference"
"workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/institutional-helpers.php","theme","EEAF9992267804155A9EF1A490CF395A40B96F7439A6F268D7A475C32CA5C451","3E7119BB94BAFCA665CDDFF11FF463354E05679BD00FAA99A2933AB2C11C73BE","O-centre/home program items always auto-source","YES","wp-content/themes/shpigovsky/inc/institutional-helpers.php","OVERWRITE","program-direction-helpers.php","production pre-upload copy (primary); Stable v1 freeze canonical-source as secondary reference"
"workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/service-helpers.php","theme","B7F97A2305B59AB4BC5B84472F8998093D54DDF3DC02EBBD45668F30C19E3162","046875D1CFF918D016B98F25E3CC525C2D45F5BA421E99A04C9C8654BE9185FB","Service programme fallbacks auto-source","YES","wp-content/themes/shpigovsky/inc/service-helpers.php","OVERWRITE","program-direction-helpers.php","production pre-upload copy (primary); Stable v1 freeze canonical-source as secondary reference"
"workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/institutional-about-v9-content.php","theme","2792229BDC2C9335185DE6291B31D56DF83D83EF6021A2E7ED30AEBD7343C8E1","D9C4A4578DD90E2763DE3389290C859046549BE947C561E1CCD7266DDB30060D","O-centre content helpers aligned to auto-source","YES","wp-content/themes/shpigovsky/inc/institutional-about-v9-content.php","OVERWRITE","institutional-helpers.php","production pre-upload copy (primary); Stable v1 freeze canonical-source as secondary reference"
"workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/fancybox-vendors.php","theme","MISSING_IN_STABLE_V1","3B20D8BE35E236274B2E560995430E1866D6D4ACA519D3565EA5F2EBE8F2F4E0","NEW shared Fancybox enqueue helper","YES","wp-content/themes/shpigovsky/inc/fancybox-vendors.php","CREATE","assets/vendor/fancybox (already in Stable v1)","production pre-upload absence OR delete new file; Stable v1 has no prior copy"
"workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/services-hub-vendors.php","theme","FAB7E0EF05F06EA63CDE4E56E2F6E3B5AB75E74636457D2E8E2453E8FB79C9D2","D480D418B00824F9B10140149F6E9E942741E69734420C5922EC1C16704C3C1F","Enqueue Fancybox on /uslugi/","YES","wp-content/themes/shpigovsky/inc/services-hub-vendors.php","OVERWRITE","fancybox-vendors.php","production pre-upload copy (primary); Stable v1 freeze canonical-source as secondary reference"
"workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/service-subdivision-vendors.php","theme","7EB2936AA63BEBB90F5B7B7D560F20C5FFF766EF41070795B82EF0784EA722B9","22341BA6399FC0C168F92D0718270F627A23B29797A0C83C42EBD924139DDDF2","Enqueue Fancybox on subdivision stack","YES","wp-content/themes/shpigovsky/inc/service-subdivision-vendors.php","OVERWRITE","fancybox-vendors.php","production pre-upload copy (primary); Stable v1 freeze canonical-source as secondary reference"
"workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/alcohol-direct-v9-vendors.php","theme","7124B666AF91AD9A0FC36F7B1E094ED5B2D0C8E3F3888CEBD75AA01D824AA8E4","7F98AFDC2A76305B1697F92227813AB1772363FC346C07748015A33B1B4E4E0E","Enqueue Fancybox on service leaf stack","YES","wp-content/themes/shpigovsky/inc/alcohol-direct-v9-vendors.php","OVERWRITE","fancybox-vendors.php","production pre-upload copy (primary); Stable v1 freeze canonical-source as secondary reference"
"workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/functions.php","theme","13935917920D6C8AA6B1F75A3E91FAB7CAABB5E17C202C7C34EB0519463F6568","6C543CD504354275910161C733788E1BECF07C9F9654467BCE146E1B4C85961A","Require fancybox-vendors.php","YES","wp-content/themes/shpigovsky/functions.php","OVERWRITE","fancybox-vendors.php","production pre-upload copy (primary); Stable v1 freeze canonical-source as secondary reference"
"workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/assets/js/v9-shell.js","theme","2B9507D013C14BC0C3B5F4C52932DC59D1782E0511C7E5B003D20B97FE7A8800","7FC32C90EFFD99FC39FF0C3781C8CF4038387C27A5943235D44686C2BC8C45A1","Comfort gallery Fancybox bind + idempotent boot","YES","wp-content/themes/shpigovsky/assets/js/v9-shell.js","OVERWRITE","Fancybox vendor JS already present","production pre-upload copy (primary); Stable v1 freeze canonical-source as secondary reference"
