path,status,category,included,reason,risk,notes
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/PROJECT-STATUS.md,M,status,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/SOURCE-AUTHORITY.md,M,source_authority,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/acf-json/group_fp02_block_specialists.json,M,acf_json,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/acf-json/group_fp02_page_home.json,M,acf_json,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/acf-json/group_fp02_page_services_hub.json,M,acf_json,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/acf-json/group_fp02_service_layout_hero.json,M,acf_json,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/acf-json/group_fp02_service_structured_sections.json,M,acf_json,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/plugins/shpigovsky-core/shpigovsky-core.php,M,plugin,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/plugins/shpigovsky-core/src/Admin/EditorRestrictions.php,M,plugin,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/plugins/shpigovsky-core/src/Fields/FieldGroups.php,M,plugin,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/plugins/shpigovsky-core/src/Fields/RepeaterValidation.php,M,plugin,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/plugins/shpigovsky-core/src/ModuleRegistry.php,M,plugin,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/plugins/shpigovsky-core/src/Permalinks/ServicePermalinks.php,M,plugin,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/reports/FP-0002-V9-06D9C-HOME-HERO-PARITY-REPAIR-REPORT-v1.md,M,report,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/reports/FP-0002-V9-06D9L-ADMIN-EDITOR-ACF-VISIBILITY-REPAIR-REPORT-v1.md,M,report,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/reports/FP-0002-V9-06D9P-ADMIN-UX-QA-REPORT-v1.md,M,report,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/assets/css/v9-style.css,M,theme,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/assets/js/v9-shell.js,M,theme,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/functions.php,M,theme,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/admin-editor.php,M,theme,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/alcohol-direct-v9-vendors.php,M,theme,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/assets.php,M,theme,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/blog-helpers.php,M,theme,yes,E38-E51 accepted FP-0002 scope,low,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/hero-helpers.php,M,theme,yes,E38-E51 accepted FP-0002 scope,low,
