commit_hash,path,path_scope,file_status,suspicious,reason,result
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/exports/pc14-fu03-production-proposal/2026-07-16/PC14-FU03-PRODUCTION-PROPOSAL-MANIFEST.md",metabot,A,no,"none",OK
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/exports/pc14-fu03-production-proposal/2026-07-16/SEO-Content-Agent-Beta-v14-Worker.production-pc14-fu03.before-proposal.sanitized.json",metabot,A,no,"none",OK
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/exports/pc14-fu03-production-proposal/2026-07-16/SEO-Content-Agent-Beta-v14-Worker.sandbox-pc14-fu03.proposal-source.sanitized.json",metabot,A,no,"none",OK
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/exports/pc14-fu03-production-proposal/2026-07-16/pc14-fu03-production-proposal-code-node-index.json",metabot,A,no,"none",OK
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/exports/pc14-fu03-production-proposal/2026-07-16/pc14-fu03-production-proposal-connection-plan.json",metabot,A,no,"none",OK
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/exports/pc14-fu03-production-proposal/2026-07-16/pc14-fu03-production-proposal-diff-summary.json",metabot,A,no,"none",OK
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/exports/pc14-fu03-production-proposal/2026-07-16/pc14-fu03-production-proposal-node-plan.json",metabot,A,no,"none",OK
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/exports/pc14-fu03-production-proposal/2026-07-16/pc14-fu03-production-proposal-risk-rollback.json",metabot,A,no,"none",OK
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/exports/pc14-fu03-production-proposal/2026-07-16/pc14-fu03-production-proposal-secret-scan.json",metabot,A,no,"none",OK
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/exports/pc14-fu03-production-proposal/2026-07-16/pc14-fu03-production-proposal-side-effect-preservation.json",metabot,A,no,"none",OK
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/exports/pc14-fu03-production-proposal/2026-07-16/pc14-fu03-production-proposal-smoke-charter.md",metabot,A,no,"none",OK
"f8d859924d84c7d6a57f2662b8fe7b3e9f53a629","projects/metabot-seo-content-agent/reports/REPORT-metabot-seo-agent-v14-pc14-fu03-production-proposal.md",metabot,A,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E38-E51-persistence-microcommit-current-head.md",fp0002,A,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E38-E51-persistence-microcommit.md",fp0002,A,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E38-E51-persistence.md",fp0002,M,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-persistence-microcommit-current-head-manifest.csv",fp0002,A,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-persistence-microcommit-current-head-preflight.csv",fp0002,A,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-persistence-microcommit-current-head-safety-scan.csv",fp0002,A,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-persistence-microcommit-current-head-staged-diff.csv",fp0002,A,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-persistence-microcommit-manifest.csv",fp0002,A,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-persistence-microcommit-preflight.csv",fp0002,A,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-persistence-microcommit-safety-scan.csv",fp0002,A,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-persistence-microcommit-staged-diff.csv",fp0002,A,no,"none",OK
"d3f3fdf271eec42465a9ae5ac5e604e6c35b178c","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-persistence-postcommit-validation.csv",fp0002,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/PC14-FU03-SANDBOX-IMPLEMENTATION-MANIFEST.md",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/SEO-Content-Agent-Beta-v14-Worker.production-pc14-fu03.before-sandbox.sanitized.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/SEO-Content-Agent-Beta-v14-Worker.sandbox-pc14-fu03.after-patch.sanitized.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/SEO-Content-Agent-Beta-v14-Worker.sandbox-pc14-fu03.before-patch.sanitized.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/pc14-fu03-sandbox-implementation-code-node-index.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/pc14-fu03-sandbox-implementation-connection-diff.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/pc14-fu03-sandbox-implementation-credential-preservation.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/pc14-fu03-sandbox-implementation-graph-diff.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/pc14-fu03-sandbox-implementation-harness-results.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/pc14-fu03-sandbox-implementation-node-diff.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/pc14-fu03-sandbox-implementation-pc07-close-lock-check.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/pc14-fu03-sandbox-implementation-repair-loop-contract-fixtures.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/pc14-fu03-sandbox-implementation-scope-summary.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-implementation/2026-07-16/pc14-fu03-sandbox-implementation-secret-scan.json",metabot,A,no,"none",OK
"a64da2708aa71942b81322b4df10dd7aadcc73d7","projects/metabot-seo-content-agent/reports/REPORT-metabot-seo-agent-v14-pc14-fu03-sandbox-implementation.md",metabot,A,no,"none",OK
"fdbed1ad22109ec6d6a4d472b08694b27f8a8132","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-design/2026-07-16/PC14-FU03-SANDBOX-DESIGN-MANIFEST.md",metabot,A,no,"none",OK
"fdbed1ad22109ec6d6a4d472b08694b27f8a8132","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-design/2026-07-16/pc14-fu03-sandbox-design-data-contracts.json",metabot,A,no,"none",OK
"fdbed1ad22109ec6d6a4d472b08694b27f8a8132","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-design/2026-07-16/pc14-fu03-sandbox-design-graph-plan.json",metabot,A,no,"none",OK
"fdbed1ad22109ec6d6a4d472b08694b27f8a8132","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-design/2026-07-16/pc14-fu03-sandbox-design-harness-plan.json",metabot,A,no,"none",OK
"fdbed1ad22109ec6d6a4d472b08694b27f8a8132","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-design/2026-07-16/pc14-fu03-sandbox-design-implementation-checklist.json",metabot,A,no,"none",OK
"fdbed1ad22109ec6d6a4d472b08694b27f8a8132","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-design/2026-07-16/pc14-fu03-sandbox-design-node-plan.json",metabot,A,no,"none",OK
"fdbed1ad22109ec6d6a4d472b08694b27f8a8132","projects/metabot-seo-content-agent/exports/pc14-fu03-sandbox-design/2026-07-16/pc14-fu03-sandbox-design-risk-rollback.json",metabot,A,no,"none",OK
"fdbed1ad22109ec6d6a4d472b08694b27f8a8132","projects/metabot-seo-content-agent/reports/REPORT-metabot-seo-agent-v14-pc14-fu03-sandbox-design.md",metabot,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/HOME-PAGE-ADMIN-PARITY-MODEL-v1.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/SERVICE-GENERAL-ADMIN-PARITY-MODEL-v1.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/SERVICE-LAYOUT-VARIANT-GOVERNANCE-v1.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/SERVICE-SECTION-ADMIN-PARITY-MODEL-v1.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/SERVICES-HUB-ADMIN-PARITY-MODEL-v1.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/PROJECT-STATUS.md",fp0002,M,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E42-HOME-ACCEPTED.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E44-SERVICES-HUB-ACCEPTED.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E47-SERVICE-GENERAL-ACCEPTED.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E49-FULL-SERVICE-ROLLOUT-ACCEPTED-AFTER-FIX01.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E49-FULL-SERVICE-ROLLOUT-ACCEPTED.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E50-SERVICE-SECTIONS-DEMO-ACF-SOT-ACCEPTED.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E51-PLACEHOLDER-MODE-ACCEPTED.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E29C-E35-FIX01-selective-persistence.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E29C-excel-structure-completion-generic-pages-favicon.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E30-services-catalog-child-services-listing-controls.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E31-program-pages-direction-links-validation-relax.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E32-home-services-accordion-gallery-service-placeholder.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E33-FIX01-uslugi-sliders-match-home-gallery.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E33-service-image-admin-binding-placeholder-uslugi-slider.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E34-specialists-child-pages-auto-slider.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E35-FIX01-alcohol-article-image-restore.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E36-E37-selective-persistence.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E36-home-recovery-life-mobile.md",fp0002,A,no,"none",OK
"dba97a3833fc5853dde434aba0da3bbfc875d9fe","workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E37-home-rehabilitation-program-direction-mobile.md",fp0002,A,no,"none",OK
