order,frontend_partial,frontend_block_class,admin_section_label,source_of_truth,home_editable,toggle_field,repeaters,media_fields,notes
1,template-parts/home/hero.php,hero hero--home (+ hero--home-slider),Герой / Слайды hero,Home ACF (home_hero_slides + settings; hero_cta_label); Media Library images,yes (slides/settings/CTA); hero_media retired,home_hero_autoplay/arrows/dots_enabled,home_hero_slides,home_hero_slides[].image; legacy hero_media,Swiper when >=2 slides; standalone hero_media hidden
2,template-parts/home/recovery-intro.php,home-recovery-intro,Введение о восстановлении + карточки / преимущества,Home ACF,yes,home_recovery_intro_benefits_enabled,home_recovery_intro_benefits; home_intro_bands,none,Heading/leads + benefits + intro band cards
3,template-parts/home/founder-quote.php,founder-quote,Цитата основателя,Reusable block / site options (automated); Home toggle only,partial (visibility only),home_founder_quote_visible,n/a,n/a,Content not edited on Home
4,template-parts/home/treatment-prevention.php,home-treatment,Лечение и профилактика,Home ACF heading/lead + service CPT accordion,partial,home_treatment_prevention_visible,n/a (services from CPT),n/a,Category accordion from services; /uslugi/ links E38
5,template-parts/home/gallery.php,home-gallery,Галерея на главной,service CPT (flag show in home slider) + Home gallery mode settings,partial (mode/count/selection + toggle),home_gallery_visible,selected services relationship when mode=selected,service featured images,Modes all/random/selected; default random 12; no legacy media bands
6,template-parts/home/why-us.php,home-why-us,Почему нас выбирают,Home ACF,yes,home_why_us_body_enabled; home_why_us_items_enabled,home_why_us_body; home_why_us_items,n/a,Editable heading/body/items
7,template-parts/home/staff-photo.php,home-staff,Фото сотрудников,Home ACF image + Media Library,yes,n/a,n/a,home_staff_photo (image),Single image binding
8,template-parts/home/feature-grid.php,home-feature / advantages,Преимущества (feature grid),Home ACF home_advantages,yes,n/a,home_advantages,n/a,Classic advantages repeater
9,template-parts/home/clinic-landscape.php,clinic-landscape,Пейзаж клиники,Home ACF image + Media Library,yes,n/a,n/a,home_clinic_landscape_image,Single image binding
10,template-parts/home/recovery-life.php,home-recovery-life,Как меняется жизнь,Home ACF stages + intro,yes,home_recovery_life_intro_enabled; home_recovery_life_stages_enabled,home_recovery_life_stages (stage_label; item_enabled),optional stage media,"Labels 1 месяц / 2 месяц / 3 месяц; outer/inner stage markup E41"
11,template-parts/home/reviews.php,home-reviews,Отзывы на главной,Reusable reviews options / shared reviews; Home heading+toggle,partial,home_reviews_visible,n/a (external source),n/a,Automated from reviews system
12,template-parts/home/rehabilitation-requirements.php,rehabilitation-requirements,Условия реабилитации,Reusable block automated; Home toggle,partial,home_rehab_requirements_visible,n/a,n/a,Automated reusable
13,template-parts/home/rehabilitation-program.php,home-rehabilitation-program,Программа / направления,Home ACF intro fields + program child pages for cards,partial (intro yes; cards automatic),home_rehab_program_visible,n/a (cards from program pages),program page featured images,head/lead/intro_1/intro_2 editable; 4 direction cards from programma-lecheniya
14,template-parts/home/genotyping.php,home-genotyping,Генотипирование,Home ACF,yes,home_genotyping_body_enabled; home_genotyping_items_enabled,home_genotyping_items,optional images,Editable Home genotyping block
15,template-parts/home/comfort.php,home-comfort,Комфорт,Reusable comfort block automated; Home toggle,partial,home_comfort_visible,n/a,n/a,Automated comfort + visibility
16,template-parts/home/videos.php,home-videos,Видео,Home ACF videos repeater + Media Library,yes,home_videos_items_enabled,home_videos_items,video file/poster attachments,Media Library bound videos
17,template-parts/home/specialists.php,specialists,Специалисты,Specialists child pages under /specyalisty/ + options heading; Home toggle,partial,home_specialists_visible,n/a (pages auto),page featured images,E34 auto slider from child pages
18,template-parts/home/articles-teaser.php,home-articles,Статьи,WP blog posts + Home heading/toggle,partial,home_articles_visible,n/a,post thumbnails,Real posts slider
19,template-parts/home/faq.php,home-faq,FAQ,Home ACF home_faq_items (+ heading),yes,n/a,home_faq_items,n/a,Editable FAQ repeater
20,template-parts/components/final-form.php,final-form,CTA / форма,Home ACF home_cta_title/text + site form/settings,partial (copy on Home),n/a,n/a,n/a,Contact/consultation CTA block
