field_name,type,seeded,notes
hero_cta_label,acf,existing/legacy,
services_hero_slides,acf,yes,
services_hero_autoplay_enabled,acf,yes,
services_hero_autoplay_delay,acf,yes,
services_hero_arrows_enabled,acf,yes,
services_hero_dots_enabled,acf,yes,
hero_eyebrow,acf,existing/legacy,
hero_title_override,acf,existing/legacy,
hero_media,acf,existing/legacy,
services_hub_intro,acf,existing/legacy,
services_hub_nav_visible,acf,yes,
services_hub_catalog_visible,acf,yes,
services_hub_query_mode,acf,existing/legacy,
services_hub_show_placeholders,acf,existing/legacy,
services_hub_category_gallery_dots_enabled,acf,yes,
services_hub_program_heading,acf,yes,
services_hub_program_lead,acf,yes,
services_hub_program_intro,acf,yes,
services_hub_program_cta_title,acf,yes,
services_hub_program_cta_subtitle,acf,yes,
services_hub_program_cta_button,acf,yes,
services_hub_program_visible,acf,yes,
services_hub_founder_quote_visible,acf,yes,
services_hub_comfort_visible,acf,yes,
services_hub_secondary_cta_title,acf,yes,
services_hub_secondary_cta_subtitle,acf,yes,
services_hub_secondary_cta_button,acf,yes,
services_hub_secondary_cta_visible,acf,yes,
services_hub_faq_heading,acf,yes,
services_hub_faq_items,acf,existing/legacy,
services_hub_faq_visible,acf,yes,
services_hub_final_form_visible,acf,yes,
