file,source_path,runtime_path,hash_match,result
page-templates\services-hub.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\page-templates\services-hub.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\page-templates\services-hub.php,True,PASS
template-parts\services-hub\hero.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\services-hub\hero.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\services-hub\hero.php,True,PASS
template-parts\services-hub\service-groups.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\services-hub\service-groups.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\services-hub\service-groups.php,True,PASS
template-parts\services-hub\service-group.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\services-hub\service-group.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\services-hub\service-group.php,True,PASS
template-parts\services-hub\rehabilitation-program.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\services-hub\rehabilitation-program.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\services-hub\rehabilitation-program.php,True,PASS
template-parts\services-hub\faq.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\services-hub\faq.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\services-hub\faq.php,True,PASS
template-parts\shared\services-inner-hero-v2.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\shared\services-inner-hero-v2.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\shared\services-inner-hero-v2.php,True,PASS
template-parts\home\founder-quote.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\home\founder-quote.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\home\founder-quote.php,True,PASS
template-parts\home\comfort.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\home\comfort.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\home\comfort.php,True,PASS
inc\services-hub-helpers.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\inc\services-hub-helpers.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\inc\services-hub-helpers.php,True,PASS
inc\admin-editor.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\inc\admin-editor.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\inc\admin-editor.php,True,PASS
assets\js\v9-shell.js,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\assets\js\v9-shell.js,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\assets\js\v9-shell.js,True,PASS
assets\css\admin-home-acf.css,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\assets\css\admin-home-acf.css,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\assets\css\admin-home-acf.css,True,PASS
src\Fields\FieldGroups.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\plugins\shpigovsky-core\src\Fields\FieldGroups.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\plugins\shpigovsky-core\src\Fields\FieldGroups.php,True,PASS
src\Fields\RepeaterValidation.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\plugins\shpigovsky-core\src\Fields\RepeaterValidation.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\plugins\shpigovsky-core\src\Fields\RepeaterValidation.php,True,PASS
assets\css\v9-style.css,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\assets\css\v9-style.css,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\assets\css\v9-style.css,operator_additive_expected,PASS_OPERATOR_PRESERVED
