post_id,title,slug,parent_id,depth,children_count,current_layout_variant,inferred_role_by_depth,frontend_url,http_status,likely_correct,recommendation,notes
73,Зависимости,zavisimosti,0,0,6,subdivision,root_section,http://shpigovsky.test/uslugi/zavisimosti/,200,yes,"keep subdivision",
74,"Лечение алкогольной зависимости",lechenie-alkogolnoy-zavisimosti,73,1,0,alcohol_special,leaf_service,http://shpigovsky.test/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/,200,yes,"keep alcohol_special if unique stack needed",
75,"Профилактический анализ",profilakticheskiy-analiz,73,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/zavisimosti/profilakticheskiy-analiz/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
77,"Психическое здоровье",psihicheskoe-zdorovie,0,0,9,subdivision,root_section,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/,200,yes,"keep subdivision",
78,Депрессия,depressiya,77,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/depressiya/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
79,ПТСР,ptsr,77,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/ptsr/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
80,"Эмоциональное выгорание",emotsionalnoe-vygoranie,77,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/emotsionalnoe-vygoranie/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
81,"Тревожные расстройства",trevozhnye-rasstroystva,77,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/trevozhnye-rasstroystva/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
82,"Расстройства сна",rasstroystva-sna,77,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/rasstroystva-sna/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
83,Травма,travma,77,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/travma/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
84,"Расстройства пищевого поведения",rasstroystva-pischevogo-povedeniya,0,0,3,subdivision,root_section,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/,200,yes,"keep subdivision",
85,Анорексия,anoreksiya,84,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/anoreksiya/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
86,Булимия,buliniya,84,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/buliniya/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
87,"Компульсивное переедание",kompulsivnoe-pereedanie,84,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/kompulsivnoe-pereedanie/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
314,"Лечение наркотической зависимости",lechenie-narkoticheskoy-zavisimosti,73,1,4,placeholder,mid_section,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/,200,no,"consider subdivision","has children but layout!=placeholder"
315,"Лечение лекарственной зависимости",lekarstva,314,2,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/lekarstva/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
316,"Поведенческие зависимости",lechenie-povedencheskoy-zavisimosti,73,1,4,placeholder,mid_section,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/,200,no,"consider subdivision","has children but layout!=placeholder"
1011,"Лечение солевой зависимости",soli,314,2,0,,leaf_service,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/soli/,200,unclear,"set explicit layout","empty ACF; theme may infer"
1012,"Лечение метадоновой зависимости",matadon,314,2,0,,leaf_service,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/matadon/,200,unclear,"set explicit layout","empty ACF; theme may infer"
1013,"Лечение героиновой зависимости",geroin,314,2,0,,leaf_service,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/geroin/,200,unclear,"set explicit layout","empty ACF; theme may infer"
1016,"Лечение игровой зависимости",ludomaniya,316,2,0,,leaf_service,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/ludomaniya/,200,unclear,"set explicit layout","empty ACF; theme may infer"
1017,Интернет-зависимость,internet-zavisimost,316,2,0,,leaf_service,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/internet-zavisimost/,200,unclear,"set explicit layout","empty ACF; theme may infer"
1018,"Лечение созависимости",sozavisimost,316,2,0,,leaf_service,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/sozavisimost/,200,unclear,"set explicit layout","empty ACF; theme may infer"
1019,"Зависимость от постоянных покупок",shopogolizm,316,2,0,,leaf_service,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/shopogolizm/,200,unclear,"set explicit layout","empty ACF; theme may infer"
1047,"Компьютерная зависимость",kompyuternaya-zavisimost,73,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/zavisimosti/kompyuternaya-zavisimost/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
1048,"Лечение опиумной зависимости",lechenie-opiumnoy-zavisimosti,73,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/zavisimosti/lechenie-opiumnoy-zavisimosti/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
1049,"Хроническая усталость",hronicheskaya-ustalost,77,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/hronicheskaya-ustalost/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
1050,Стресс,stress,77,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/stress/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
1051,Нарциссизм,nartsissizm,77,1,0,placeholder,leaf_or_placeholder,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/nartsissizm/,200,yes,"keep placeholder until content ready","frontend maps to leaf"
