post_id,title,slug,parent_id,parent_title,depth,children_count,current_editor_role,current_layout_variant,override_enabled,current_effective_stack,target_editor_role,target_layout_variant,target_override,child_block_expected,migration_action,risk,notes
1019,"Зависимость от постоянных покупок",shopogolizm,316,"Поведенческие зависимости",2,0,service,,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Service page → alcohol_special stack"
1017,Интернет-зависимость,internet-zavisimost,316,"Поведенческие зависимости",2,0,service,,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Service page → alcohol_special stack"
1013,"Лечение героиновой зависимости",geroin,314,"Лечение наркотической зависимости",2,0,service,,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Service page → alcohol_special stack"
1016,"Лечение игровой зависимости",ludomaniya,316,"Поведенческие зависимости",2,0,service,,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Service page → alcohol_special stack"
1012,"Лечение метадоновой зависимости",matadon,314,"Лечение наркотической зависимости",2,0,service,,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Service page → alcohol_special stack"
1018,"Лечение созависимости",sozavisimost,316,"Поведенческие зависимости",2,0,service,,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Service page → alcohol_special stack"
1011,"Лечение солевой зависимости",soli,314,"Лечение наркотической зависимости",2,0,service,,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Service page → alcohol_special stack"
73,Зависимости,zavisimosti,0,,0,6,section,subdivision,0,subdivision,section,subdivision,0,no,set_role_layout_override_child_defaults,low,"Confirmed subdivision root"
74,"Лечение алкогольной зависимости",lechenie-alkogolnoy-zavisimosti,73,Зависимости,1,0,service,alcohol_special,1,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Alcohol page; override off preferred; stack alcohol_special"
314,"Лечение наркотической зависимости",lechenie-narkoticheskoy-zavisimosti,73,Зависимости,1,4,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,yes,set_role_layout_override_child_defaults,medium,"Former placeholder mismatch with children; now service with child block"
315,"Лечение лекарственной зависимости",lekarstva,314,"Лечение наркотической зависимости",2,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
316,"Поведенческие зависимости",lechenie-povedencheskoy-zavisimosti,73,Зависимости,1,4,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,yes,set_role_layout_override_child_defaults,medium,"Former placeholder mismatch with children; now service with child block"
75,"Профилактический анализ",profilakticheskiy-analiz,73,Зависимости,1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
77,"Психическое здоровье",psihicheskoe-zdorovie,0,,0,9,section,subdivision,0,subdivision,section,subdivision,0,no,set_role_layout_override_child_defaults,low,"Confirmed subdivision root"
78,Депрессия,depressiya,77,"Психическое здоровье",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
1047,"Компьютерная зависимость",kompyuternaya-zavisimost,73,Зависимости,1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
