post_id,title,before_role,after_role,before_layout,after_layout,before_override,after_override,child_enabled_write,role_write,layout_write,override_write,effective_stack_after,result,notes
1019,"Зависимость от постоянных покупок",service,service,,alcohol_special,0,0,1,0,1,0,alcohol-special,PASS,"Service page → alcohol_special stack"
1017,Интернет-зависимость,service,service,,alcohol_special,0,0,1,0,1,0,alcohol-special,PASS,"Service page → alcohol_special stack"
1013,"Лечение героиновой зависимости",service,service,,alcohol_special,0,0,1,0,1,0,alcohol-special,PASS,"Service page → alcohol_special stack"
1016,"Лечение игровой зависимости",service,service,,alcohol_special,0,0,1,0,1,0,alcohol-special,PASS,"Service page → alcohol_special stack"
1012,"Лечение метадоновой зависимости",service,service,,alcohol_special,0,0,1,0,1,0,alcohol-special,PASS,"Service page → alcohol_special stack"
1018,"Лечение созависимости",service,service,,alcohol_special,0,0,1,0,1,0,alcohol-special,PASS,"Service page → alcohol_special stack"
1011,"Лечение солевой зависимости",service,service,,alcohol_special,0,0,1,0,1,0,alcohol-special,PASS,"Service page → alcohol_special stack"
73,Зависимости,section,section,subdivision,subdivision,0,0,0,0,0,0,subdivision,PASS,"Confirmed subdivision root"
74,"Лечение алкогольной зависимости",service,service,alcohol_special,alcohol_special,1,0,1,0,0,1,alcohol-special,PASS,"Alcohol page; override off preferred; stack alcohol_special"
314,"Лечение наркотической зависимости",placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former placeholder mismatch with children; now service with child block"
315,"Лечение лекарственной зависимости",placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
316,"Поведенческие зависимости",placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former placeholder mismatch with children; now service with child block"
75,"Профилактический анализ",placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
77,"Психическое здоровье",section,section,subdivision,subdivision,0,0,0,0,0,0,subdivision,PASS,"Confirmed subdivision root"
78,Депрессия,placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
1047,"Компьютерная зависимость",placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
1048,"Лечение опиумной зависимости",placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
79,ПТСР,placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
80,"Эмоциональное выгорание",placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
81,"Тревожные расстройства",placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
82,"Расстройства сна",placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
83,Травма,placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
84,"Расстройства пищевого поведения",section,section,subdivision,subdivision,0,0,0,0,0,0,subdivision,PASS,"Confirmed subdivision root"
1049,"Хроническая усталость",placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
1050,Стресс,placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
1051,Нарциссизм,placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
85,Анорексия,placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
86,Булимия,placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
87,"Компульсивное переедание",placeholder,service,placeholder,alcohol_special,0,0,1,1,1,0,alcohol-special,PASS,"Former editor/technical placeholder → service + alcohol_special"
