file,line_context,reference,type,action,notes
"WORDPRESS/theme/shpigovsky/inc/service-helpers.php","alcohol_special→service-general map + is_service_general_variant","alcohol_special→service-general map + is_service_general_variant",function name,rename,"legacy alcohol-special slug still accepted in helper"
"WORDPRESS/theme/shpigovsky/inc/service-template-loader.php","alcohol-stack filename + alcohol-special alias","alcohol-stack filename + alcohol-special alias",function name,keep as legacy alias,"partial filename kept; maps service-general"
"WORDPRESS/theme/shpigovsky/inc/alcohol-direct-v9-vendors.php","alcohol-direct-v9 filename","alcohol-direct-v9 filename",function name,keep as legacy alias,"checks service-general via helper"
"WORDPRESS/theme/shpigovsky/template-parts/service/alcohol-stack.php","alcohol-stack.php","alcohol-stack.php",class/css,keep as legacy alias,"comment updated; general stack"
"WORDPRESS/theme/shpigovsky/template-parts/service/alcohol-direct-v9.php","alcohol-direct-v9.php","alcohol-direct-v9.php",class/css,keep as legacy alias,"#74 static content path"
"WORDPRESS/plugins/shpigovsky-core/src/Admin/ServiceLayoutGovernance.php","LAYOUT_ALCOHOL_SPECIAL_LEGACY + ALCOHOL_SPECIAL_POST_ID","LAYOUT_ALCOHOL_SPECIAL_LEGACY + ALCOHOL_SPECIAL_POST_ID",data value,keep as legacy alias,"post ID constants retained for content gating"
"WORDPRESS/plugins/shpigovsky-core/src/Fields/FieldGroups.php","service_general choices","service_general choices",ACF choice,rename,"alcohol_special removed from choices"
"WORDPRESS/acf-json/group_fp02_service_layout_hero.json","service_general choices","service_general choices",ACF choice,rename,"synced"
"WORDPRESS/plugins/shpigovsky-core/src/Fields/RepeaterValidation.php","alcohol_special allowed","alcohol_special allowed",data value,keep as legacy alias,"still valid for stale/legacy input"
"WORDPRESS/plugins/shpigovsky-core/src/Admin/EditorRestrictions.php","help text","help text",admin label,rename,"describes service_general"
"DOCS/SERVICE-LAYOUT-VARIANT-GOVERNANCE-v1.md","governance doc","governance doc",doc/report,rename,"updated in FIX02"
"page #74 content topic","Алкогольная зависимость","Алкогольная зависимость",page content,keep as content,"service title/topic — not layout label"
"REPORTS historical E45/FIX01","alcohol_special mentions","alcohol_special mentions",doc/report,skip historical report,"left as historical truth"
