post_id,title,editor_role,override_enabled,layout_variant_before,layout_variant_after,will_migrate,expected_effective_layout_before,expected_effective_layout_after,frontend_route,notes
73,"Зависимости",section,0,subdivision,subdivision,no,subdivision,subdivision,/uslugi/.../zavisimosti/,
74,"Лечение алкогольной зависимости",service,0,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../lechenie-alkogolnoy-zavisimosti/,alcohol content page; static copy by ID
75,"Профилактический анализ",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../profilakticheskiy-analiz/,
77,"Психическое здоровье",section,NULL,subdivision,subdivision,no,subdivision,subdivision,/uslugi/.../psihicheskoe-zdorovie/,
78,"Депрессия",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../depressiya/,
79,"ПТСР",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../ptsr/,
80,"Эмоциональное выгорание",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../emotsionalnoe-vygoranie/,
81,"Тревожные расстройства",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../trevozhnye-rasstroystva/,
82,"Расстройства сна",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../rasstroystva-sna/,
83,"Травма",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../travma/,
84,"Расстройства пищевого поведения",section,NULL,subdivision,subdivision,no,subdivision,subdivision,/uslugi/.../rasstroystva-pischevogo-povedeniya/,
85,"Анорексия",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../anoreksiya/,
86,"Булимия",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../buliniya/,
87,"Компульсивное переедание",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../kompulsivnoe-pereedanie/,
314,"Лечение наркотической зависимости",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../lechenie-narkoticheskoy-zavisimosti/,child services expected
315,"Лечение лекарственной зависимости",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../lekarstva/,
316,"Поведенческие зависимости",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../lechenie-povedencheskoy-zavisimosti/,
1011,"Лечение солевой зависимости",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../soli/,
1012,"Лечение метадоновой зависимости",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../matadon/,
1013,"Лечение героиновой зависимости",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../geroin/,
1016,"Лечение игровой зависимости",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../ludomaniya/,
1017,"Интернет-зависимость",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../internet-zavisimost/,
1018,"Лечение созависимости",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../sozavisimost/,
1019,"Зависимость от постоянных покупок",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../shopogolizm/,
1047,"Компьютерная зависимость",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../kompyuternaya-zavisimost/,
1048,"Лечение опиумной зависимости",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../lechenie-opiumnoy-zavisimosti/,
1049,"Хроническая усталость",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../hronicheskaya-ustalost/,
1050,"Стресс",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../stress/,
1051,"Нарциссизм",service,NULL,alcohol_special,service_general,yes,alcohol-special,service-general,/uslugi/.../nartsissizm/,
