post_id,title,layout_variant_before,layout_variant_after,migrated,notes
73,"Зависимости",subdivision,subdivision,no,
74,"Лечение алкогольной зависимости",alcohol_special,service_general,yes,
75,"Профилактический анализ",alcohol_special,service_general,yes,
77,"Психическое здоровье",subdivision,subdivision,no,
78,"Депрессия",alcohol_special,service_general,yes,
79,"ПТСР",alcohol_special,service_general,yes,
80,"Эмоциональное выгорание",alcohol_special,service_general,yes,
81,"Тревожные расстройства",alcohol_special,service_general,yes,
82,"Расстройства сна",alcohol_special,service_general,yes,
83,"Травма",alcohol_special,service_general,yes,
84,"Расстройства пищевого поведения",subdivision,subdivision,no,
85,"Анорексия",alcohol_special,service_general,yes,
86,"Булимия",alcohol_special,service_general,yes,
87,"Компульсивное переедание",alcohol_special,service_general,yes,
314,"Лечение наркотической зависимости",alcohol_special,service_general,yes,
315,"Лечение лекарственной зависимости",alcohol_special,service_general,yes,
316,"Поведенческие зависимости",alcohol_special,service_general,yes,
1011,"Лечение солевой зависимости",alcohol_special,service_general,yes,
1012,"Лечение метадоновой зависимости",alcohol_special,service_general,yes,
1013,"Лечение героиновой зависимости",alcohol_special,service_general,yes,
1016,"Лечение игровой зависимости",alcohol_special,service_general,yes,
1017,"Интернет-зависимость",alcohol_special,service_general,yes,
1018,"Лечение созависимости",alcohol_special,service_general,yes,
1019,"Зависимость от постоянных покупок",alcohol_special,service_general,yes,
1047,"Компьютерная зависимость",alcohol_special,service_general,yes,
1048,"Лечение опиумной зависимости",alcohol_special,service_general,yes,
1049,"Хроническая усталость",alcohol_special,service_general,yes,
1050,"Стресс",alcohol_special,service_general,yes,
1051,"Нарциссизм",alcohol_special,service_general,yes,
