post_id,title,slug,parent_id,depth,children_count,current_layout_variant,inferred_editor_role,proposed_editor_role,proposed_override,proposed_layout_variant_after,will_update_editor_role,will_update_override,will_update_layout_variant,risk,notes
73,Зависимости,zavisimosti,0,0,6,subdivision,section,section,false,subdivision,yes,no,no,low,"seed role + override off; preserve existing technical layout"
74,"Лечение алкогольной зависимости",lechenie-alkogolnoy-zavisimosti,73,1,0,alcohol_special,service,service,true,alcohol_special,yes,yes,no,low,"alcohol_special: role=service override=on preserve alcohol_special"
75,"Профилактический анализ",profilakticheskiy-analiz,73,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
77,"Психическое здоровье",psihicheskoe-zdorovie,0,0,9,subdivision,section,section,false,subdivision,yes,no,no,low,"seed role + override off; preserve existing technical layout"
78,Депрессия,depressiya,77,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
79,ПТСР,ptsr,77,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
80,"Эмоциональное выгорание",emotsionalnoe-vygoranie,77,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
81,"Тревожные расстройства",trevozhnye-rasstroystva,77,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
82,"Расстройства сна",rasstroystva-sna,77,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
83,Травма,travma,77,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
84,"Расстройства пищевого поведения",rasstroystva-pischevogo-povedeniya,0,0,3,subdivision,section,section,false,subdivision,yes,no,no,low,"seed role + override off; preserve existing technical layout"
85,Анорексия,anoreksiya,84,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
86,Булимия,buliniya,84,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
87,"Компульсивное переедание",kompulsivnoe-pereedanie,84,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
314,"Лечение наркотической зависимости",lechenie-narkoticheskoy-zavisimosti,73,1,4,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,high,"E44 mismatch: has children but placeholder — do not auto-fix technical layout; seed role=placeholder with warning"
315,"Лечение лекарственной зависимости",lekarstva,314,2,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
316,"Поведенческие зависимости",lechenie-povedencheskoy-zavisimosti,73,1,4,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,high,"E44 mismatch: has children but placeholder — do not auto-fix technical layout; seed role=placeholder with warning"
1011,"Лечение солевой зависимости",soli,314,2,0,,service,service,false,(unchanged/empty),yes,no,no,medium,"empty technical layout preserved; role seeded from nesting"
1012,"Лечение метадоновой зависимости",matadon,314,2,0,,service,service,false,(unchanged/empty),yes,no,no,medium,"empty technical layout preserved; role seeded from nesting"
1013,"Лечение героиновой зависимости",geroin,314,2,0,,service,service,false,(unchanged/empty),yes,no,no,medium,"empty technical layout preserved; role seeded from nesting"
1016,"Лечение игровой зависимости",ludomaniya,316,2,0,,service,service,false,(unchanged/empty),yes,no,no,medium,"empty technical layout preserved; role seeded from nesting"
1017,Интернет-зависимость,internet-zavisimost,316,2,0,,service,service,false,(unchanged/empty),yes,no,no,medium,"empty technical layout preserved; role seeded from nesting"
1018,"Лечение созависимости",sozavisimost,316,2,0,,service,service,false,(unchanged/empty),yes,no,no,medium,"empty technical layout preserved; role seeded from nesting"
1019,"Зависимость от постоянных покупок",shopogolizm,316,2,0,,service,service,false,(unchanged/empty),yes,no,no,medium,"empty technical layout preserved; role seeded from nesting"
1047,"Компьютерная зависимость",kompyuternaya-zavisimost,73,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
1048,"Лечение опиумной зависимости",lechenie-opiumnoy-zavisimosti,73,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
1049,"Хроническая усталость",hronicheskaya-ustalost,77,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
1050,Стресс,stress,77,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
1051,Нарциссизм,nartsissizm,77,1,0,placeholder,placeholder,placeholder,false,placeholder,yes,no,no,low,"seed role + override off; preserve existing technical layout"
