post_id,title,role_before,role_after,override_before,override_after,layout_before,layout_after,role_written,override_written,layout_written,result,notes
73,Зависимости,,section,0,0,subdivision,subdivision,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
74,"Лечение алкогольной зависимости",,service,0,1,alcohol_special,alcohol_special,yes,yes,no,ok,"alcohol_special: role=service override=on preserve alcohol_special"
75,"Профилактический анализ",,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
77,"Психическое здоровье",,section,0,0,subdivision,subdivision,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
78,Депрессия,,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
79,ПТСР,,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
80,"Эмоциональное выгорание",,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
81,"Тревожные расстройства",,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
82,"Расстройства сна",,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
83,Травма,,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
84,"Расстройства пищевого поведения",,section,0,0,subdivision,subdivision,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
85,Анорексия,,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
86,Булимия,,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
87,"Компульсивное переедание",,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
314,"Лечение наркотической зависимости",,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"E44 mismatch: has children but placeholder — do not auto-fix technical layout; seed role=placeholder with warning"
315,"Лечение лекарственной зависимости",,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
316,"Поведенческие зависимости",,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"E44 mismatch: has children but placeholder — do not auto-fix technical layout; seed role=placeholder with warning"
1011,"Лечение солевой зависимости",,service,0,0,,,yes,no,no,ok,"empty technical layout preserved; role seeded from nesting"
1012,"Лечение метадоновой зависимости",,service,0,0,,,yes,no,no,ok,"empty technical layout preserved; role seeded from nesting"
1013,"Лечение героиновой зависимости",,service,0,0,,,yes,no,no,ok,"empty technical layout preserved; role seeded from nesting"
1016,"Лечение игровой зависимости",,service,0,0,,,yes,no,no,ok,"empty technical layout preserved; role seeded from nesting"
1017,Интернет-зависимость,,service,0,0,,,yes,no,no,ok,"empty technical layout preserved; role seeded from nesting"
1018,"Лечение созависимости",,service,0,0,,,yes,no,no,ok,"empty technical layout preserved; role seeded from nesting"
1019,"Зависимость от постоянных покупок",,service,0,0,,,yes,no,no,ok,"empty technical layout preserved; role seeded from nesting"
1047,"Компьютерная зависимость",,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
1048,"Лечение опиумной зависимости",,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
1049,"Хроническая усталость",,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
1050,Стресс,,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
1051,Нарциссизм,,placeholder,0,0,placeholder,placeholder,yes,no,no,ok,"seed role + override off; preserve existing technical layout"
