post_id,title,block,field_name,field_type,current_value_state,frontend_currently_depends_on_fallback,seed_required,seed_source,action,notes
73,"Зависимости",dependencies,section_dependencies_heading,text,demo,no,no,n/a,OK,
73,"Зависимости",dependencies,section_dependencies_lead,textarea,demo,no,no,n/a,OK,
73,"Зависимости",dependencies,section_dependencies_footer,textarea,demo,no,no,n/a,OK,
73,"Зависимости",nature,section_nature_heading,text,demo,no,no,n/a,OK,
73,"Зависимости",nature,section_nature_lead,textarea,meaningful,no,no,n/a,OK,
73,"Зависимости",nature,section_nature_text_blocks,repeater,meaningful,no,no,n/a,OK,
73,"Зависимости",nature,section_nature_cards,repeater,meaningful,no,no,n/a,OK,
73,"Зависимости",program,section_program_heading,text,demo,no,no,n/a,OK,
73,"Зависимости",program,section_program_intro_items,repeater,meaningful,no,no,n/a,OK,
73,"Зависимости",stages,section_stages_items,repeater,meaningful,no,no,n/a,OK,
73,"Зависимости",stages,section_stages_support_items,repeater,meaningful,no,no,n/a,OK,
73,"Зависимости",approach,section_approach_heading,text,meaningful,no,no,n/a,OK,
73,"Зависимости",approach,section_team_image,image,meaningful,no,no,n/a,OK,
73,"Зависимости",approach,section_corridor_image,image,meaningful,no,no,n/a,OK,
73,"Зависимости",approach,section_approach_cards,repeater,meaningful,no,no,n/a,OK,
73,"Зависимости",landscape,section_clinic_landscape_image,image,meaningful,no,no,n/a,OK,
73,"Зависимости",faq,section_faq_heading,text,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",dependencies,section_dependencies_heading,text,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",dependencies,section_dependencies_lead,textarea,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",dependencies,section_dependencies_footer,textarea,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",nature,section_nature_heading,text,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",nature,section_nature_lead,textarea,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",nature,section_nature_text_blocks,repeater,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",nature,section_nature_cards,repeater,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",program,section_program_heading,text,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",program,section_program_intro_items,repeater,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",stages,section_stages_items,repeater,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",stages,section_stages_support_items,repeater,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",approach,section_approach_heading,text,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",approach,section_team_image,image,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",approach,section_corridor_image,image,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",approach,section_approach_cards,repeater,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",landscape,section_clinic_landscape_image,image,meaningful,no,no,n/a,OK,
77,"Психическое здоровье",faq,section_faq_heading,text,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",dependencies,section_dependencies_heading,text,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",dependencies,section_dependencies_lead,textarea,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",dependencies,section_dependencies_footer,textarea,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",nature,section_nature_heading,text,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",nature,section_nature_lead,textarea,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",nature,section_nature_text_blocks,repeater,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",nature,section_nature_cards,repeater,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",program,section_program_heading,text,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",program,section_program_intro_items,repeater,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",stages,section_stages_items,repeater,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",stages,section_stages_support_items,repeater,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",approach,section_approach_heading,text,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",approach,section_team_image,image,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",approach,section_corridor_image,image,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",approach,section_approach_cards,repeater,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",landscape,section_clinic_landscape_image,image,meaningful,no,no,n/a,OK,
84,"Расстройства пищевого поведения",faq,section_faq_heading,text,meaningful,no,no,n/a,OK,
