field_name,field_label,current_group,also_in_group,used_by_frontend,parity_field_exists,target_group,target_action,meta_key_preserved,notes
intro_text,Intro text,group_fp02_service_structured_sections,group_fp02_service_general_parity,partial,yes,group_fp02_service_general_parity,hide_legacy,yes,Parity uses service_general_intro_*
intro_note,Intro note,group_fp02_service_structured_sections,group_fp02_service_general_parity,partial,yes,group_fp02_service_general_parity,hide_legacy,yes,Parity intro fields
signs_items,Признаки / симптомы,group_fp02_service_structured_sections,group_fp02_service_general_parity,yes,yes,group_fp02_service_general_parity,hide_legacy,yes,service_general_signs_items
programme_items,Пункты программы,group_fp02_service_structured_sections,group_fp02_service_general_parity,partial,yes,group_fp02_service_general_parity,hide_legacy_keep_meta,yes,Alcohol stack uses approach/program parity
stages,Этапы,group_fp02_service_structured_sections,group_fp02_service_general_parity,yes,yes,group_fp02_service_general_parity,hide_legacy,yes,service_general_stages_items
cta_title,CTA title,group_fp02_service_structured_sections,group_fp02_service_general_parity,yes,yes,group_fp02_service_general_parity,move_fields_to_parity,yes,FIX01 mirrored into parity with same meta key
cta_text,CTA text,group_fp02_service_structured_sections,group_fp02_service_general_parity,yes,yes,group_fp02_service_general_parity,move_fields_to_parity,yes,FIX01 mirrored
cta_button_label,CTA button label,group_fp02_service_structured_sections,group_fp02_service_general_parity,yes,yes,group_fp02_service_general_parity,move_fields_to_parity,yes,FIX01 mirrored
cta_button_target,CTA button target,group_fp02_service_structured_sections,group_fp02_service_general_parity,yes,yes,group_fp02_service_general_parity,move_fields_to_parity,yes,FIX01 mirrored
faq_items,FAQ,group_fp02_service_faq,group_fp02_service_general_parity,yes,yes,group_fp02_service_general_parity,hide_legacy,yes,service_general_faq_items
manual_related_services,Связанные услуги вручную,group_fp02_service_relationships,group_fp02_service_general_parity,partial,no,meta_only_hidden_legacy,hide_legacy_keep_meta,yes,Children tiles use CPT; override meta retained
