field_order,field_name,field_label,field_type,parent_group,visible_after yes/no,notes
"1","","1. Hero","message","group_fp02_service_general_parity","yes","no field conditional"
"2","","2. Навигация по якорям","message","group_fp02_service_general_parity","yes","no field conditional"
"3","service_general_nav_visible","Показывать навигацию по якорям","true_false","group_fp02_service_general_parity","yes","no field conditional"
"4","","3. Intro","message","group_fp02_service_general_parity","yes","no field conditional"
"5","service_general_intro_visible","Показывать intro","true_false","group_fp02_service_general_parity","yes","no field conditional"
"6","service_general_intro_heading","Заголовок intro","text","group_fp02_service_general_parity","yes","no field conditional"
"7","service_general_intro_highlight","Выделенный текст intro","textarea","group_fp02_service_general_parity","yes","no field conditional"
"8","","4. Информационные полосы","message","group_fp02_service_general_parity","yes","no field conditional"
"9","service_general_bordered_info_visible","Показывать информационные полосы","true_false","group_fp02_service_general_parity","yes","no field conditional"
"10","service_general_bordered_info_items","Блоки информационных полос","repeater","group_fp02_service_general_parity","yes","no field conditional"
"11","","5. Средний CTA","message","group_fp02_service_general_parity","yes","no field conditional"
"12","service_general_mid_cta_visible","Показывать средний CTA","true_false","group_fp02_service_general_parity","yes","no field conditional"
"13","cta_title","Заголовок среднего CTA","text","group_fp02_service_general_parity","yes","no field conditional"
"14","cta_text","Текст среднего CTA","textarea","group_fp02_service_general_parity","yes","no field conditional"
"15","cta_button_label","Текст кнопки среднего CTA","text","group_fp02_service_general_parity","yes","no field conditional"
"16","cta_button_target","Ссылка кнопки среднего CTA","url","group_fp02_service_general_parity","yes","no field conditional"
"17","","6. Признаки","message","group_fp02_service_general_parity","yes","no field conditional"
"18","service_general_signs_visible","Показывать блок признаков","true_false","group_fp02_service_general_parity","yes","no field conditional"
"19","service_general_signs_heading","Заголовок признаков","text","group_fp02_service_general_parity","yes","no field conditional"
"20","service_general_signs_intro","Intro признаков","textarea","group_fp02_service_general_parity","yes","no field conditional"
"21","service_general_signs_items","Пункты признаков","repeater","group_fp02_service_general_parity","yes","no field conditional"
"22","service_general_signs_editorial","Редакционный текст после признаков","textarea","group_fp02_service_general_parity","yes","no field conditional"
"23","","7. Наш подход к лечению","message","group_fp02_service_general_parity","yes","no field conditional"
"24","service_general_approach_visible","Показывать блок «Наш подход»","true_false","group_fp02_service_general_parity","yes","no field conditional"
"25","service_general_approach_heading","Заголовок подхода","text","group_fp02_service_general_parity","yes","no field conditional"
"26","service_general_approach_more_label","Текст ссылки «подробнее»","text","group_fp02_service_general_parity","yes","no field conditional"
"27","service_general_approach_more_url","URL ссылки «подробнее»","url","group_fp02_service_general_parity","yes","no field conditional"
"28","service_general_approach_highlight","Выделенный абзац (красная линия)","textarea","group_fp02_service_general_parity","yes","no field conditional"
"29","service_general_approach_intro","Intro подхода","textarea","group_fp02_service_general_parity","yes","no field conditional"
"30","service_general_team_image","Изображение команды","image","group_fp02_service_general_parity","yes","no field conditional"
"31","service_general_team_image_alt","Alt изображения команды","text","group_fp02_service_general_parity","yes","no field conditional"
"32","service_general_approach_cards","Карточки подхода","repeater","group_fp02_service_general_parity","yes","no field conditional"
"33","","8. Территория клиники","message","group_fp02_service_general_parity","yes","no field conditional"
"34","service_general_clinic_landscape_visible","Показывать территорию клиники","true_false","group_fp02_service_general_parity","yes","no field conditional"
"35","service_general_clinic_landscape_image","Изображение территории клиники","image","group_fp02_service_general_parity","yes","no field conditional"
"36","","9. Программа лечения","message","group_fp02_service_general_parity","yes","no field conditional"
"37","service_general_program_visible","Показывать программу лечения","true_false","group_fp02_service_general_parity","yes","no field conditional"
"38","service_general_program_heading","Заголовок программы","text","group_fp02_service_general_parity","yes","no field conditional"
"39","service_general_program_more_label","Текст ссылки «подробнее»","text","group_fp02_service_general_parity","yes","no field conditional"
"40","service_general_program_lead","Лид программы","textarea","group_fp02_service_general_parity","yes","no field conditional"
"41","service_general_program_intro_items","Intro программы","repeater","group_fp02_service_general_parity","yes","no field conditional"
"42","","10. Этапы лечения","message","group_fp02_service_general_parity","yes","no field conditional"
"43","service_general_stages_visible","Показывать блок этапов","true_false","group_fp02_service_general_parity","yes","no field conditional"
"44","service_general_stages_heading","Заголовок этапов","text","group_fp02_service_general_parity","yes","no field conditional"
"45","service_general_stages_lead","Лид этапов","textarea","group_fp02_service_general_parity","yes","no field conditional"
"46","service_general_stages_items","Этапы","repeater","group_fp02_service_general_parity","yes","no field conditional"
"47","service_general_stages_support_heading","Заголовок поддержки","text","group_fp02_service_general_parity","yes","no field conditional"
"48","service_general_stages_support_items","Пункты поддержки","repeater","group_fp02_service_general_parity","yes","no field conditional"
"49","","11. Коридор / интерьер","message","group_fp02_service_general_parity","yes","no field conditional"
"50","service_general_corridor_visible","Показывать блок коридора","true_false","group_fp02_service_general_parity","yes","no field conditional"
"51","service_general_corridor_image","Изображение коридора","image","group_fp02_service_general_parity","yes","no field conditional"
"52","service_general_corridor_image_alt","Alt изображения коридора","text","group_fp02_service_general_parity","yes","no field conditional"
"53","","12. Специалисты","message","group_fp02_service_general_parity","yes","no field conditional"
"54","service_general_specialists_visible","Показывать специалистов","true_false","group_fp02_service_general_parity","yes","no field conditional"
"55","","13. Слово основателя","message","group_fp02_service_general_parity","yes","no field conditional"
"56","service_general_founder_quote_visible","Показывать слово основателя","true_false","group_fp02_service_general_parity","yes","no field conditional"
"57","","14. Условия центра","message","group_fp02_service_general_parity","yes","no field conditional"
"58","service_general_comfort_visible","Показывать условия центра","true_false","group_fp02_service_general_parity","yes","no field conditional"
"59","","15. Отзывы","message","group_fp02_service_general_parity","yes","no field conditional"
"60","service_general_reviews_visible","Показывать отзывы","true_false","group_fp02_service_general_parity","yes","no field conditional"
"61","","16. Дочерние услуги","message","group_fp02_service_general_parity","yes","no field conditional"
"62","service_general_children_visible","Показывать плитки дочерних услуг","true_false","group_fp02_service_general_parity","yes","no field conditional"
