admin_order,field_name,field_label,field_type,field_group,visible_for_service,currently_used_frontend,frontend_block,action,notes
1,service_general_hero_notice,"1. Hero",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
2,service_general_nav_notice,"2. Навигация по якорям",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
3,service_general_nav_visible,"Показывать навигацию по якорям",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
4,service_general_intro_notice,"3. Intro",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
5,service_general_intro_visible,"Показывать intro",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
6,service_general_intro_heading,"Заголовок intro",text,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
7,service_general_intro_highlight,"Выделенный текст intro",textarea,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
8,service_general_bordered_info_notice,"4. Информационные полосы",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
9,service_general_bordered_info_visible,"Показывать информационные полосы",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
10,service_general_bordered_info_items,"Блоки информационных полос",repeater,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
11,service_general_mid_cta_notice,"5. Средний CTA",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
12,service_general_mid_cta_visible,"Показывать средний CTA",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
13,service_general_signs_notice,"6. Признаки",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
14,service_general_signs_visible,"Показывать блок признаков",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
15,service_general_signs_heading,"Заголовок признаков",text,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
16,service_general_signs_intro,"Intro признаков",textarea,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
17,service_general_signs_items,"Пункты признаков",repeater,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
18,service_general_signs_editorial,"Редакционный текст после признаков",textarea,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
19,service_general_approach_notice,"7. Наш подход к лечению",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
20,service_general_approach_visible,"Показывать блок «Наш подход»",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
