post_id,field,action,note,preview
74,service_general_intro_heading,seeded,"alcohol intro","Алкогольная зависимость — это не персональ"
74,service_general_intro_highlight,seeded,"alcohol intro","ЗАВИСИМОСТЬ — НЕ ПРОСТУПОК И НЕ ЧЕРТА ХАРАК"
74,service_general_bordered_info_items,seeded,"alcohol bordered",array:3
74,service_general_signs_heading,seeded,"alcohol signs","Признаки алкогольной зависимости"
74,service_general_signs_intro,seeded,"alcohol signs","Если вы подозреваете у себя или вашего близ�"
74,service_general_signs_items,seeded,"alcohol signs",array:9
74,service_general_signs_editorial,seeded,"alcohol signs","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor i"
74,service_general_approach_heading,seeded,"alcohol approach","Наш подход к лечению алкогольной зависимос�"
74,service_general_approach_highlight,seeded,"alcohol approach","Мы используем мультидисциплинарный подход "
74,service_general_approach_intro,seeded,"alcohol approach","Лечение в нашем реабилитационном центре со�"
74,service_general_approach_more_label,seeded,"alcohol approach",подробнее
74,service_general_approach_more_url,seeded,"alcohol approach",http://shpigovsky.test/o-centre/programma-lecheniya/
74,service_general_approach_cards,seeded,"alcohol approach",array:4
74,service_general_team_image,seeded,"team image #1238",1238
74,service_general_clinic_landscape_image,seeded,"landscape #1239",1239
74,service_general_corridor_image,seeded,"corridor #1709",1709
74,service_general_program_heading,seeded,"alcohol program","Наша программа включает 4 направления"
74,service_general_program_more_label,seeded,"alcohol program",подробнее
74,service_general_program_lead,seeded,"alcohol program","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor i"
74,service_general_program_intro_items,seeded,"alcohol program",array:2
74,service_general_stages_heading,seeded,"alcohol stages","Что нужно для прохождения реабилитации и ле"
74,service_general_stages_lead,seeded,"alcohol stages","Мы гарантируем конфиденциальность, уважени"
74,service_general_stages_items,seeded,"alcohol stages",array:4
74,service_general_stages_support_heading,seeded,"alcohol stages","Поддержка осуществляется на всех этапах:"
74,service_general_stages_support_items,seeded,"alcohol stages",array:4
74,service_general_faq_heading,seeded,"alcohol faq","Нас часто спрашивают"
74,service_general_faq_items,seeded,"alcohol faq",array:10
74,service_general_specialists_visible,seeded,"alcohol specialists toggle",1
314,service_general_clinic_landscape_image,seeded,"rep landscape shared demo asset",1239
314,service_general_corridor_image,seeded,"rep corridor shared demo asset",1709
314,service_general_specialists_visible,seeded,"preserve no-specialists layout",0
78,service_general_clinic_landscape_image,seeded,"rep landscape shared demo asset",1239
78,service_general_corridor_image,seeded,"rep corridor shared demo asset",1709
78,service_general_specialists_visible,seeded,"preserve no-specialists layout",0
