post_id,title,url,parent_id,parent_title,depth,editor_role,effective_layout,has_children,current_status,current_template,selected_for_e48,selection_reason,notes
73,Зависимости,http://shpigovsky.test/uslugi/zavisimosti/,0,,1,section,subdivision,yes,publish,default,no,,
77,"Психическое здоровье",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/,0,,1,section,subdivision,yes,publish,default,no,,
84,"Расстройства пищевого поведения",http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/,0,,1,section,subdivision,yes,publish,default,no,,
74,"Лечение алкогольной зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/,73,Зависимости,2,service,service_general,no,publish,default,yes,"E47 accepted/frozen alcohol base; control only",
314,"Лечение наркотической зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/,73,Зависимости,2,service,service_general,yes,publish,default,yes,"Parent under Зависимости with automatic child service tiles",
316,"Поведенческие зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/,73,Зависимости,2,service,service_general,yes,publish,default,no,,
75,"Профилактический анализ",http://shpigovsky.test/uslugi/zavisimosti/profilakticheskiy-analiz/,73,Зависимости,2,service,service_general,no,publish,default,no,,
1047,"Компьютерная зависимость",http://shpigovsky.test/uslugi/zavisimosti/kompyuternaya-zavisimost/,73,Зависимости,2,service,service_general,no,publish,default,no,,
1048,"Лечение опиумной зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-opiumnoy-zavisimosti/,73,Зависимости,2,service,service_general,no,publish,default,no,,
78,Депрессия,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/depressiya/,77,"Психическое здоровье",2,service,service_general,no,publish,default,yes,"Ordinary nested leaf (Депрессия) under Психическое здоровье",
79,ПТСР,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/ptsr/,77,"Психическое здоровье",2,service,service_general,no,publish,default,no,,
80,"Эмоциональное выгорание",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/emotsionalnoe-vygoranie/,77,"Психическое здоровье",2,service,service_general,no,publish,default,no,,
81,"Тревожные расстройства",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/trevozhnye-rasstroystva/,77,"Психическое здоровье",2,service,service_general,no,publish,default,yes,"Representative Услуга under section #77 besides #78",
82,"Расстройства сна",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/rasstroystva-sna/,77,"Психическое здоровье",2,service,service_general,no,publish,default,no,,
83,Травма,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/travma/,77,"Психическое здоровье",2,service,service_general,no,publish,default,no,,
1049,"Хроническая усталость",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/hronicheskaya-ustalost/,77,"Психическое здоровье",2,service,service_general,no,publish,default,no,,
1050,Стресс,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/stress/,77,"Психическое здоровье",2,service,service_general,no,publish,default,no,,
1051,Нарциссизм,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/nartsissizm/,77,"Психическое здоровье",2,service,service_general,no,publish,default,no,,
85,Анорексия,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/anoreksiya/,84,"Расстройства пищевого поведения",2,service,service_general,no,publish,default,yes,"Representative Услуга under RPP section #84",
86,Булимия,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/buliniya/,84,"Расстройства пищевого поведения",2,service,service_general,no,publish,default,no,,
87,"Компульсивное переедание",http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/kompulsivnoe-pereedanie/,84,"Расстройства пищевого поведения",2,service,service_general,no,publish,default,no,,
1011,"Лечение солевой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/soli/,314,"Лечение наркотической зависимости",3,service,service_general,no,publish,default,no,,
1012,"Лечение метадоновой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/matadon/,314,"Лечение наркотической зависимости",3,service,service_general,no,publish,default,no,,
1013,"Лечение героиновой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/geroin/,314,"Лечение наркотической зависимости",3,service,service_general,no,publish,default,no,,
315,"Лечение лекарственной зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/lekarstva/,314,"Лечение наркотической зависимости",3,service,service_general,no,publish,default,no,,
1016,"Лечение игровой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/ludomaniya/,316,"Поведенческие зависимости",3,service,service_general,no,publish,default,no,,
1017,Интернет-зависимость,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/internet-zavisimost/,316,"Поведенческие зависимости",3,service,service_general,no,publish,default,no,,
1018,"Лечение созависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/sozavisimost/,316,"Поведенческие зависимости",3,service,service_general,no,publish,default,no,,
1019,"Зависимость от постоянных покупок",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/shopogolizm/,316,"Поведенческие зависимости",3,service,service_general,no,publish,default,no,,
