post_id,title,expected_role,actual_role,expected_layout,actual_layout,placeholder_stack_frontend,result,notes
73,Зависимости,section,section,subdivision,subdivision,no,PASS,"section excluded from individual service requirement"
74,"Лечение алкогольной зависимости",service,service,service_general,service_general,no,PASS,"individual service"
75,"Профилактический анализ",service,service,service_general,service_general,no,PASS,"individual service"
77,"Психическое здоровье",section,section,subdivision,subdivision,no,PASS,"section excluded from individual service requirement"
78,Депрессия,service,service,service_general,service_general,no,PASS,"individual service"
79,ПТСР,service,service,service_general,service_general,no,PASS,"individual service"
80,"Эмоциональное выгорание",service,service,service_general,service_general,no,PASS,"individual service"
81,"Тревожные расстройства",service,service,service_general,service_general,no,PASS,"individual service"
82,"Расстройства сна",service,service,service_general,service_general,no,PASS,"individual service"
83,Травма,service,service,service_general,service_general,no,PASS,"individual service"
84,"Расстройства пищевого поведения",section,section,subdivision,subdivision,no,PASS,"section excluded from individual service requirement"
85,Анорексия,service,service,service_general,service_general,no,PASS,"individual service"
86,Булимия,service,service,service_general,service_general,no,PASS,"individual service"
87,"Компульсивное переедание",service,service,service_general,service_general,no,PASS,"individual service"
314,"Лечение наркотической зависимости",service,service,service_general,service_general,no,PASS,"individual service"
315,"Лечение лекарственной зависимости",service,service,service_general,service_general,no,PASS,"individual service"
316,"Поведенческие зависимости",service,service,service_general,service_general,no,PASS,"individual service"
1011,"Лечение солевой зависимости",service,service,service_general,service_general,no,PASS,"individual service"
1012,"Лечение метадоновой зависимости",service,service,service_general,service_general,no,PASS,"individual service"
1013,"Лечение героиновой зависимости",service,service,service_general,service_general,no,PASS,"individual service"
1016,"Лечение игровой зависимости",service,service,service_general,service_general,no,PASS,"individual service"
1017,Интернет-зависимость,service,service,service_general,service_general,no,PASS,"individual service"
1018,"Лечение созависимости",service,service,service_general,service_general,no,PASS,"individual service"
1019,"Зависимость от постоянных покупок",service,service,service_general,service_general,no,PASS,"individual service"
1047,"Компьютерная зависимость",service,service,service_general,service_general,no,PASS,"individual service"
1048,"Лечение опиумной зависимости",service,service,service_general,service_general,no,PASS,"individual service"
1049,"Хроническая усталость",service,service,service_general,service_general,no,PASS,"individual service"
1050,Стресс,service,service,service_general,service_general,no,PASS,"individual service"
1051,Нарциссизм,service,service,service_general,service_general,no,PASS,"individual service"
