post_id,title,freeze_category,editor_role,layout,populated_required_text,images_ok,repeaters_ok,url
74,"Лечение алкогольной зависимости",accepted_base,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/
75,"Профилактический анализ",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/profilakticheskiy-analiz/
78,Депрессия,e48_representative,service,service_general,6,3,6,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/depressiya/
79,ПТСР,e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/ptsr/
80,"Эмоциональное выгорание",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/emotsionalnoe-vygoranie/
81,"Тревожные расстройства",e48_representative,service,service_general,6,3,6,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/trevozhnye-rasstroystva/
82,"Расстройства сна",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/rasstroystva-sna/
83,Травма,e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/travma/
85,Анорексия,e48_representative,service,service_general,6,3,6,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/anoreksiya/
86,Булимия,e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/buliniya/
87,"Компульсивное переедание",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/kompulsivnoe-pereedanie/
314,"Лечение наркотической зависимости",e48_representative,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/
315,"Лечение лекарственной зависимости",fix01_restored,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/lekarstva/
316,"Поведенческие зависимости",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/
1011,"Лечение солевой зависимости",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/soli/
1012,"Лечение метадоновой зависимости",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/matadon/
1013,"Лечение героиновой зависимости",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/geroin/
1016,"Лечение игровой зависимости",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/ludomaniya/
1017,Интернет-зависимость,e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/internet-zavisimost/
1018,"Лечение созависимости",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/sozavisimost/
1019,"Зависимость от постоянных покупок",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/shopogolizm/
1047,"Компьютерная зависимость",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/kompyuternaya-zavisimost/
1048,"Лечение опиумной зависимости",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/zavisimosti/lechenie-opiumnoy-zavisimosti/
1049,"Хроническая усталость",e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/hronicheskaya-ustalost/
1050,Стресс,e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/stress/
1051,Нарциссизм,e49_target,service,service_general,6,3,6,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/nartsissizm/
