post_id,title,url,post_status,parent_id,parent_title,depth,has_children,editor_role,effective_layout,freeze_category,expected_state,actual_state,result,notes
73,Зависимости,http://shpigovsky.test/uslugi/zavisimosti/,publish,0,,1,yes,section,subdivision,section_excluded,section/subdivision,section/subdivision,PASS,
74,"Лечение алкогольной зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/,publish,73,Зависимости,2,no,service,service_general,accepted_base,service/service_general,service/service_general,PASS,
75,"Профилактический анализ",http://shpigovsky.test/uslugi/zavisimosti/profilakticheskiy-analiz/,publish,73,Зависимости,2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
77,"Психическое здоровье",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/,publish,0,,1,yes,section,subdivision,section_excluded,section/subdivision,section/subdivision,PASS,
78,Депрессия,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/depressiya/,publish,77,"Психическое здоровье",2,no,service,service_general,e48_representative,service/service_general,service/service_general,PASS,"must remain Услуга after E51 freeze"
79,ПТСР,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/ptsr/,publish,77,"Психическое здоровье",2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
80,"Эмоциональное выгорание",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/emotsionalnoe-vygoranie/,publish,77,"Психическое здоровье",2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
81,"Тревожные расстройства",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/trevozhnye-rasstroystva/,publish,77,"Психическое здоровье",2,no,service,service_general,e48_representative,service/service_general,service/service_general,PASS,
82,"Расстройства сна",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/rasstroystva-sna/,publish,77,"Психическое здоровье",2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
83,Травма,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/travma/,publish,77,"Психическое здоровье",2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
84,"Расстройства пищевого поведения",http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/,publish,0,,1,yes,section,subdivision,section_excluded,section/subdivision,section/subdivision,PASS,
85,Анорексия,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/anoreksiya/,publish,84,"Расстройства пищевого поведения",2,no,service,service_general,e48_representative,service/service_general,service/service_general,PASS,
86,Булимия,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/buliniya/,publish,84,"Расстройства пищевого поведения",2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
87,"Компульсивное переедание",http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/kompulsivnoe-pereedanie/,publish,84,"Расстройства пищевого поведения",2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
314,"Лечение наркотической зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/,publish,73,Зависимости,2,yes,service,service_general,e48_representative,service/service_general,service/service_general,PASS,
315,"Лечение лекарственной зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/lekarstva/,publish,314,"Лечение наркотической зависимости",3,no,service,service_general,fix01_restored,service/service_general,service/service_general,PASS,"E49-FIX01 restored to Услуга; must remain service/service_general"
316,"Поведенческие зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/,publish,73,Зависимости,2,yes,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1011,"Лечение солевой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/soli/,publish,314,"Лечение наркотической зависимости",3,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1012,"Лечение метадоновой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/matadon/,publish,314,"Лечение наркотической зависимости",3,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1013,"Лечение героиновой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/geroin/,publish,314,"Лечение наркотической зависимости",3,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1016,"Лечение игровой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/ludomaniya/,publish,316,"Поведенческие зависимости",3,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1017,Интернет-зависимость,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/internet-zavisimost/,publish,316,"Поведенческие зависимости",3,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1018,"Лечение созависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/sozavisimost/,publish,316,"Поведенческие зависимости",3,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1019,"Зависимость от постоянных покупок",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/shopogolizm/,publish,316,"Поведенческие зависимости",3,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1047,"Компьютерная зависимость",http://shpigovsky.test/uslugi/zavisimosti/kompyuternaya-zavisimost/,publish,73,Зависимости,2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1048,"Лечение опиумной зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-opiumnoy-zavisimosti/,publish,73,Зависимости,2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1049,"Хроническая усталость",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/hronicheskaya-ustalost/,publish,77,"Психическое здоровье",2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1050,Стресс,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/stress/,publish,77,"Психическое здоровье",2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
1051,Нарциссизм,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/nartsissizm/,publish,77,"Психическое здоровье",2,no,service,service_general,e49_target,service/service_general,service/service_general,PASS,
