file,source_path,runtime_path,hash_match,result,notes
service-general-helpers.php,theme/shpigovsky/inc/service-general-helpers.php,wp-content/themes/shpigovsky/inc/service-general-helpers.php,YES,PASS," src=e6bf5480e6de07e29c72681d69716d910f09e0ea58005637d67441a35202496a rt=e6bf5480e6de07e29c72681d69716d910f09e0ea58005637d67441a35202496a"
alcohol-direct-v9.php,theme/shpigovsky/template-parts/service/alcohol-direct-v9.php,wp-content/themes/shpigovsky/template-parts/service/alcohol-direct-v9.php,YES,PASS," src=b5e02fe0c25d414d487f53bcadb665b6e4d169438128d0a8ca36de4b6d082e73 rt=b5e02fe0c25d414d487f53bcadb665b6e4d169438128d0a8ca36de4b6d082e73"
ServiceGeneralParity.php,plugins/shpigovsky-core/src/Fields/ServiceGeneralParity.php,wp-content/plugins/shpigovsky-core/src/Fields/ServiceGeneralParity.php,YES,PASS," src=ae77215e49a611fbf195db89e3dd5acb03f870efc56fd8955a5359b35d46497a rt=ae77215e49a611fbf195db89e3dd5acb03f870efc56fd8955a5359b35d46497a"
ServiceLayoutGovernance.php,plugins/shpigovsky-core/src/Admin/ServiceLayoutGovernance.php,wp-content/plugins/shpigovsky-core/src/Admin/ServiceLayoutGovernance.php,YES,PASS," src=278bdb3f2cd774cb97bf75b8f5b4c62b0f0c2fd659f18456cdf9fd53b8bb4e1c rt=278bdb3f2cd774cb97bf75b8f5b4c62b0f0c2fd659f18456cdf9fd53b8bb4e1c"
FieldGroups.php,plugins/shpigovsky-core/src/Fields/FieldGroups.php,wp-content/plugins/shpigovsky-core/src/Fields/FieldGroups.php,YES,PASS," src=96e53c53a03966dc6ee0e85cc540ca426f9cc02c372a4242ca6486654cf074f2 rt=96e53c53a03966dc6ee0e85cc540ca426f9cc02c372a4242ca6486654cf074f2"
group_fp02_service_general_parity.json,acf-json/group_fp02_service_general_parity.json,wp-content/acf-json/group_fp02_service_general_parity.json,YES,PASS," src=322ca4583b9ffbe8ce59386a56922af0b1e45b59c021010ad9d112bd6556c42f rt=322ca4583b9ffbe8ce59386a56922af0b1e45b59c021010ad9d112bd6556c42f"
group_fp02_service_section_parity.json,acf-json/group_fp02_service_section_parity.json,wp-content/acf-json/group_fp02_service_section_parity.json,YES,PASS," src=a9f7629db878168c963a7a7cebd72b4134c48673b28595358da6637ab456f09e rt=a9f7629db878168c963a7a7cebd72b4134c48673b28595358da6637ab456f09e"
group_fp02_service_layout_hero.json,acf-json/group_fp02_service_layout_hero.json,wp-content/acf-json/group_fp02_service_layout_hero.json,YES,PASS," src=c8b8a01edb8bbd3403944b03c7b441900e3fbcebbc0517222afef5e97e88fe4d rt=c8b8a01edb8bbd3403944b03c7b441900e3fbcebbc0517222afef5e97e88fe4d"
group_fp02_service_hero.json,acf-json/group_fp02_service_hero.json,wp-content/acf-json/group_fp02_service_hero.json,YES,PASS," src=0befafc851370314015202a909c4e9ac31854f1941d45b528180a76b860c532b rt=0befafc851370314015202a909c4e9ac31854f1941d45b528180a76b860c532b"
placeholder-stack.php,theme/shpigovsky/template-parts/service/placeholder-stack.php,wp-content/themes/shpigovsky/template-parts/service/placeholder-stack.php,YES,PASS," src=1829ddbafbcfa86787c1cdff29837e0826221dc3d8b30e34e0350fdd093a9805 rt=1829ddbafbcfa86787c1cdff29837e0826221dc3d8b30e34e0350fdd093a9805"
service-helpers.php,theme/shpigovsky/inc/service-helpers.php,wp-content/themes/shpigovsky/inc/service-helpers.php,YES,PASS," src=8ca8b461cca713f5738076475b9a317c4fe4cf10878a5ab24560045044e9a718 rt=8ca8b461cca713f5738076475b9a317c4fe4cf10878a5ab24560045044e9a718"
v9-style.css,theme/shpigovsky/assets/css/v9-style.css,wp-content/themes/shpigovsky/assets/css/v9-style.css,NO,PASS_DRIFT_OK,"operator runtime CSS authority; drift from source may be intentional src=4cc96175ac64e7d1d6f26f3411c9daf3a336d4f82a05c06e5f36c8db9e1c96fd rt=11a45abe87ae54b755133f3abb5807d388b45f5fd06070ee9310cd513f2fcf5a"
"group_fp02_page_layout_mode.json (page_layout_mode)",acf-json/group_fp02_page_layout_mode.json,wp-content/acf-json/group_fp02_page_layout_mode.json,YES,PASS," src=5e5f98f40b5d0539aa74332bc7bc6bd15d690758ba1c5c55ed6da2093b38e08d rt=5e5f98f40b5d0539aa74332bc7bc6bd15d690758ba1c5c55ed6da2093b38e08d"
